,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.18940897,0.0044368776,0.14133391,0.0038125648,0.1976272,0.0073268428,0.14575084,0.008391993
Q1_Q3_0.25,0.21689887,0.00170645,0.16818666,0.00209722,0.21634567,0.010550442,0.16910312,0.010179176
Q1_Q4_0.25,0.31433535,0.0016749362,0.24721989,0.0018765673,0.31427607,0.009146033,0.24692926,0.00892666
Q2_Q3_0.25,0.18488897,0.006217284,0.14313804,0.005794553,0.18194127,0.006855527,0.14136791,0.0061551146
Q2_Q4_0.25,0.278881,0.003700061,0.21251807,0.005146242,0.27814293,0.0180371,0.21247402,0.01562484
Q3_Q4_0.25,0.29953173,0.007907668,0.23802471,0.0084053315,0.29961765,0.018921085,0.23746102,0.014322316
Q1_0.25,0.22398837,0.007296421,0.17026389,0.007198559,0.20903966,0.008375079,0.1582995,0.00553913
Q2_0.25,0.14204922,0.0036812807,0.10742539,0.00273028,0.14491291,0.010865897,0.107576214,0.0095543
Q3_0.25,0.2164758,0.008121421,0.17351702,0.0077189337,0.20888849,0.006294315,0.16727033,0.0070866817
Q4_0.25,0.35862976,0.013119731,0.30284363,0.014369954,0.35753444,0.010387517,0.2990444,0.008257285
Q1_Q2_0.5,0.18657917,0.0019233065,0.13868397,0.0019847718,0.18724315,0.004660383,0.13957831,0.0037640382
Q1_Q3_0.5,0.22080071,0.0014784577,0.17175844,0.0022184148,0.22606511,0.0046191406,0.17729703,0.004528403
Q1_Q4_0.5,0.31503955,0.003772983,0.24958424,0.00389935,0.31076345,0.0096654715,0.24396876,0.008941847
Q2_Q3_0.5,0.17973915,0.0050209514,0.13863268,0.0044163438,0.18772034,0.0058505246,0.14440915,0.003523243
Q2_Q4_0.5,0.27789152,0.0045410115,0.21038744,0.005012782,0.28493366,0.008995911,0.2171391,0.006089769
Q3_Q4_0.5,0.2786835,0.0067000994,0.21838534,0.006364286,0.27951783,0.008709505,0.21979275,0.0051408065
Q1_0.5,0.20527825,0.0035120007,0.15524265,0.0029576083,0.2030296,0.0075883702,0.15353253,0.008274847
Q2_0.5,0.14348409,0.0035049953,0.10863302,0.0028135483,0.14670506,0.0054190694,0.11099664,0.0052727084
Q3_0.5,0.20608202,0.005580846,0.16484317,0.0055376682,0.21536353,0.012072623,0.17305732,0.010911882
Q4_0.5,0.35022908,0.00858246,0.28846094,0.00937958,0.3521511,0.012893376,0.29078627,0.011158512
Q1_Q2_0.75,0.18274724,0.0016496585,0.13556162,0.0014682424,0.18364887,0.003334225,0.13698149,0.003237554
Q1_Q3_0.75,0.22347581,0.0019093647,0.17412801,0.002083077,0.22621158,0.002251548,0.17749466,0.0021564052
Q1_Q4_0.75,0.3183306,0.002000277,0.25338668,0.002642479,0.31928375,0.0070899324,0.25532684,0.0073587066
Q2_Q3_0.75,0.18357417,0.0027034974,0.14066656,0.0030547748,0.1871886,0.004334384,0.14431441,0.0020291354
Q2_Q4_0.75,0.27133223,0.0044886125,0.20670815,0.004398489,0.27242637,0.0075106127,0.20634742,0.0058196625
Q3_Q4_0.75,0.27054864,0.003810718,0.21002722,0.0044482443,0.270135,0.0067534093,0.21030307,0.004946877
Q1_0.75,0.2009385,0.0024394884,0.1501098,0.002299698,0.1977801,0.004673962,0.14992604,0.0032868758
Q2_0.75,0.14514478,0.0033416122,0.11027791,0.0029873943,0.14711404,0.005865618,0.11113944,0.0049423515
Q3_0.75,0.20138673,0.0052063065,0.16008584,0.0051984205,0.20929405,0.0069479267,0.16813584,0.0059646643
Q4_0.75,0.33433783,0.008180265,0.27221614,0.008943126,0.32778198,0.017003158,0.26711816,0.012624992
Q1_Q2_1.0,0.18219444,0.0024185816,0.13523073,0.002747755,0.18089166,0.0032742745,0.13523641,0.0032914153
Q1_Q3_1.0,0.22619176,0.001866659,0.17612322,0.002375164,0.22637007,0.0011387512,0.1775796,0.0017852199
Q1_Q4_1.0,0.3259574,0.0019391031,0.26170713,0.0023500286,0.32618356,0.006684777,0.26236147,0.005979211
Q2_Q3_1.0,0.18446246,0.0026850211,0.14177398,0.0028608171,0.18934707,0.0042220135,0.14659376,0.0033334568
Q2_Q4_1.0,0.2678717,0.0032203211,0.20511821,0.0033355108,0.27035925,0.009040912,0.20746128,0.007366033
Q3_Q4_1.0,0.25726885,0.0032102633,0.19897546,0.0036159868,0.2586554,0.006726038,0.19989818,0.0035984914
Q1_1.0,0.194174,0.002099381,0.14487812,0.0021247182,0.19175701,0.003265412,0.14482293,0.002597054
Q2_1.0,0.14525852,0.0028800473,0.10967554,0.0028352027,0.14775507,0.005452099,0.11113292,0.0040782103
Q3_1.0,0.20207079,0.0048082126,0.15991296,0.004944632,0.20795572,0.005403014,0.16622493,0.0036275603
Q4_1.0,0.3158431,0.0064670574,0.255799,0.007390988,0.3171304,0.011068749,0.25591585,0.009120439
