,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.67368,0.65782,0.69063,0.68037,0.68403,0.80125,0.68797,0.68371,0.68105,0.72433,0.79124,0.80862,5.85157,0.69311
Q1_Q3_0.25,0.67958,0.65251,0.68325,0.67549,0.66649,0.68194,0.68714,0.66882,0.68490,0.70942,0.79078,0.79387,5.82594,0.67670
Q1_Q4_0.25,0.68116,0.66003,0.68346,0.68045,0.67239,0.80197,0.68692,0.67712,0.68228,0.73214,0.82236,0.81195,5.79209,0.67178
Q2_Q3_0.25,0.67431,0.65892,0.66473,0.66784,0.67826,3.05329,0.67284,0.66803,0.67560,0.72409,0.78272,0.77736,5.80221,0.66134
Q2_Q4_0.25,0.66546,0.66255,0.69847,0.68283,0.69524,2.13108,0.68469,0.68429,0.68072,0.75023,0.79919,0.82395,5.78489,0.68268
Q3_Q4_0.25,0.67403,0.66760,0.68531,0.68288,0.70061,3.71686,0.69568,0.67508,0.68625,0.73750,0.83698,0.83096,5.80259,0.68658
Q1_0.25,0.67374,0.65310,0.68275,0.67102,0.67532,3.54324,0.68164,0.67561,0.67638,0.70673,0.78512,0.80698,5.81383,0.68026
Q2_0.25,0.66396,0.65422,0.66975,0.67269,0.67115,3.85065,0.67274,0.66495,0.67061,0.72387,0.77955,0.78535,5.75106,0.66588
Q3_0.25,0.66954,0.65584,0.66903,0.66607,0.66480,1.08892,0.66718,0.66308,0.66620,0.71880,0.79000,0.79379,5.78792,0.66039
Q4_0.25,0.66327,0.66630,0.71273,0.69714,0.70477,2.98005,0.69644,0.68579,0.69871,0.75361,0.82546,0.83526,5.76565,0.70083
Q1_Q2_0.5,0.72476,0.66372,0.72518,0.68203,0.68688,1.71880,0.70896,0.68253,0.68972,0.75926,0.83576,0.82860,5.83197,0.71803
Q1_Q3_0.5,0.71029,0.65942,0.68776,0.67515,0.67646,3.62882,0.68124,0.67023,0.67151,0.71541,0.80153,0.79876,5.94629,0.67639
Q1_Q4_0.5,0.71632,0.68775,0.72104,0.70594,0.71385,3.76388,0.72928,0.68694,0.71425,0.76331,0.81227,0.83258,5.81161,0.69677
Q2_Q3_0.5,0.69900,0.66636,0.67080,0.67235,0.67188,2.24287,0.68394,0.66845,0.68210,0.72035,0.79061,0.77307,5.84079,0.66539
Q2_Q4_0.5,0.69046,0.68892,0.72038,0.71168,0.69948,2.64465,0.72806,0.70118,0.71574,0.79254,0.85666,0.86154,5.75890,0.68585
Q3_Q4_0.5,0.68740,0.71985,0.71294,0.68947,0.69421,3.75485,0.71829,0.67949,0.70499,0.73802,0.89301,0.91283,5.90560,0.70319
Q1_0.5,0.70006,0.65668,0.70272,0.68489,0.67008,3.66027,0.69296,0.67324,0.68281,0.73326,0.81219,0.80235,5.76706,0.69642
Q2_0.5,0.67855,0.65810,0.67165,0.66913,0.66662,3.77923,0.67155,0.65963,0.66660,0.72168,0.77851,0.78506,5.79908,0.66456
Q3_0.5,0.67049,0.65959,0.66613,0.67559,0.67365,2.50845,0.67162,0.66910,0.67339,0.72621,0.77670,0.78426,5.81735,0.66834
Q4_0.5,0.66787,0.70075,0.73002,0.70051,0.71354,4.64923,0.72108,0.70536,0.69517,0.82774,0.89159,0.90278,5.77829,0.72104
Q1_Q2_0.75,0.78895,0.66944,0.90139,0.77380,0.76282,4.68267,0.81537,0.73546,0.72913,0.85713,1.00989,0.98772,5.76926,0.78813
Q1_Q3_0.75,0.74447,0.66719,0.72954,0.69098,0.70252,4.75668,0.71127,0.68358,0.70137,0.78960,0.81535,0.83453,5.79012,0.70948
Q1_Q4_0.75,0.75431,0.69804,0.73151,0.70387,0.72488,2.72028,0.73558,0.71650,0.72278,0.86468,0.90513,0.98180,5.81502,0.70345
Q2_Q3_0.75,0.71033,0.67923,0.67277,0.66844,0.68090,1.77075,0.70273,0.66701,0.69571,0.71846,0.79497,0.79169,5.81181,0.67121
Q2_Q4_0.75,0.70083,0.75550,0.79454,0.73448,0.75587,3.88899,0.77626,0.69692,0.73000,0.93390,0.91338,0.95853,5.89596,0.73201
Q3_Q4_0.75,0.70005,0.84800,0.89527,0.75228,0.80108,3.76286,0.86553,0.81484,0.78305,0.92820,1.16606,1.28642,5.73469,0.80210
Q1_0.75,0.75022,0.65787,0.71796,0.68485,0.68663,2.70536,0.71006,0.69693,0.70249,0.76827,0.86030,0.83718,5.84151,0.71062
Q2_0.75,0.68776,0.66356,0.67427,0.67004,0.66689,3.72328,0.67963,0.66317,0.67070,0.72250,0.79281,0.78307,5.82201,0.66753
Q3_0.75,0.68398,0.66044,0.66224,0.67215,0.66923,5.52523,0.67236,0.66124,0.66870,0.72539,0.79005,0.80512,5.79436,0.66882
Q4_0.75,0.67583,0.75486,0.80781,0.73569,0.75455,5.43688,0.81323,0.71380,0.70969,0.97273,1.01048,1.01763,5.80526,0.78060
Q1_Q2_1.0,0.84796,0.67365,1.29550,1.16717,1.15001,3.25763,1.13121,0.90791,0.99310,1.19016,1.47730,1.44725,5.85326,1.12529
Q1_Q3_1.0,0.79008,0.67023,0.84723,0.77418,0.77704,1.79594,0.79628,0.72944,0.75948,0.79059,0.96205,0.92891,5.88585,0.78525
Q1_Q4_1.0,0.78076,0.76011,0.97873,0.97408,0.98942,1.90801,0.97954,0.97136,0.98683,1.05529,0.98583,0.98279,5.81991,0.86581
