,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.64267,0.63541,0.64204,0.63439,0.63546,0.74155,0.63764,0.63780,0.63668,0.69673,0.71543,0.69291,0.81923,0.64300
Q1_Q3_0.25,0.65030,0.64332,0.63713,0.63395,0.63263,0.63803,0.63667,0.63590,0.63627,0.67849,0.73239,0.69413,0.81303,0.64488
Q1_Q4_0.25,0.64824,0.64720,0.65193,0.64042,0.64748,0.73087,0.64733,0.65585,0.64195,0.69639,0.71335,0.70718,0.82459,0.65304
Q2_Q3_0.25,0.63997,0.64929,0.63286,0.63325,0.63434,0.84213,0.63332,0.63202,0.63366,0.68433,0.68539,0.70120,0.81455,0.63817
Q2_Q4_0.25,0.64033,0.65989,0.64434,0.63924,0.63967,0.72436,0.64094,0.64567,0.63587,0.69091,0.70300,0.70307,0.81973,0.65060
Q3_Q4_0.25,0.64292,0.65862,0.64068,0.63774,0.63645,0.80903,0.63613,0.64026,0.63582,0.66644,0.70451,0.72706,0.81711,0.64243
Q1_0.25,0.64508,0.63676,0.64361,0.63863,0.63936,0.81039,0.64083,0.63972,0.63776,0.68320,0.69883,0.69197,0.82210,0.64116
Q2_0.25,0.64295,0.63884,0.63445,0.63389,0.63311,0.80787,0.63390,0.63246,0.63214,0.68081,0.67516,0.68722,0.82991,0.63551
Q3_0.25,0.64460,0.64653,0.63275,0.63262,0.63377,0.80214,0.63236,0.63298,0.63216,0.67758,0.69444,0.69740,0.82667,0.63261
Q4_0.25,0.63709,0.65695,0.64004,0.63757,0.63818,0.84908,0.63623,0.64020,0.63515,0.66693,0.70799,0.72596,0.85180,0.64184
Q1_Q2_0.5,0.67427,0.64379,0.65418,0.64527,0.64429,0.69327,0.64981,0.65433,0.64582,0.69763,0.72422,0.72822,0.81194,0.65526
Q1_Q3_0.5,0.67487,0.65238,0.65253,0.64427,0.64808,0.77506,0.64692,0.64448,0.64453,0.70286,0.70984,0.70610,0.81769,0.64867
Q1_Q4_0.5,0.67104,0.67654,0.67858,0.66664,0.65601,0.77917,0.66218,0.67440,0.65021,0.70555,0.73658,0.74131,0.83788,0.67093
Q2_Q3_0.5,0.66111,0.66092,0.63747,0.64204,0.64282,0.80851,0.63910,0.63897,0.63741,0.68597,0.70108,0.67850,0.80862,0.64316
Q2_Q4_0.5,0.67064,0.68384,0.65818,0.64185,0.64614,0.77467,0.65022,0.65281,0.64086,0.68477,0.73878,0.71858,0.82442,0.66489
Q3_Q4_0.5,0.65302,0.71625,0.67250,0.65954,0.65712,0.77920,0.65558,0.66722,0.65580,0.69045,0.71859,0.73391,0.82818,0.68029
Q1_0.5,0.66572,0.63457,0.65329,0.64471,0.64382,0.78804,0.64841,0.64805,0.64262,0.69834,0.70847,0.69860,0.82086,0.65387
Q2_0.5,0.64609,0.64631,0.63538,0.63545,0.63254,0.80525,0.63444,0.63692,0.63337,0.68966,0.68255,0.68386,0.82649,0.63768
Q3_0.5,0.64575,0.65458,0.63312,0.63282,0.63373,0.77766,0.63573,0.63522,0.63497,0.67873,0.68387,0.68124,0.81406,0.63591
Q4_0.5,0.64956,0.69528,0.66212,0.65103,0.64934,0.82053,0.65374,0.66129,0.65064,0.68053,0.74477,0.75699,0.81962,0.65883
Q1_Q2_0.75,0.70917,0.65039,0.68611,0.67583,0.66367,0.81013,0.66974,0.67894,0.65998,0.70695,0.73318,0.73657,0.82843,0.68339
Q1_Q3_0.75,0.68938,0.66231,0.67686,0.66654,0.65728,0.81901,0.66316,0.67307,0.65304,0.72025,0.71986,0.72973,0.80821,0.67538
Q1_Q4_0.75,0.68656,0.68218,0.71430,0.70580,0.68092,0.79115,0.70767,0.71347,0.67640,0.74529,0.89794,1.00613,0.82354,0.71021
Q2_Q3_0.75,0.66184,0.67326,0.64171,0.64067,0.64253,0.72356,0.64574,0.64555,0.64222,0.68138,0.71982,0.69949,0.81581,0.64973
Q2_Q4_0.75,0.66599,0.70050,0.67994,0.67663,0.66123,0.78229,0.66877,0.68072,0.66578,0.71311,0.76613,0.73783,0.81663,0.68130
Q3_Q4_0.75,0.66284,0.74058,0.70375,0.68691,0.67233,0.78443,0.67960,0.68968,0.65734,0.72699,0.77303,0.82313,0.81724,0.69782
Q1_0.75,0.67168,0.63665,0.67283,0.64838,0.64736,0.78616,0.65482,0.65664,0.64717,0.70948,0.72683,0.71580,0.81738,0.65704
Q2_0.75,0.65195,0.65043,0.63901,0.63946,0.63457,0.80865,0.63672,0.63713,0.63893,0.69332,0.69950,0.67970,0.81419,0.64317
Q3_0.75,0.65474,0.66695,0.63367,0.64000,0.64277,0.84901,0.63970,0.63883,0.64293,0.68201,0.69215,0.70353,0.81734,0.64143
Q4_0.75,0.65490,0.70803,0.67892,0.66280,0.64981,0.84905,0.66190,0.67062,0.65570,0.71247,0.76062,0.79581,0.81872,0.68232
Q1_Q2_1.0,0.77578,0.66017,1.05189,0.86698,0.81998,0.87221,0.85607,0.88719,0.78188,0.84159,0.78590,0.82678,0.83304,0.79695
Q1_Q3_1.0,0.70803,0.67270,0.75696,0.72337,0.68285,0.78661,0.71639,0.70470,0.70186,0.75001,0.77860,0.78260,0.82635,0.74188
Q1_Q4_1.0,0.74919,0.75570,1.09126,0.94275,0.88061,1.06558,0.89165,1.06984,0.80750,0.79442,0.91621,1.07809,0.83597,0.75709
Q2_Q3_1.0,0.68196,0.70473,0.64984,0.64970,0.64448,0.76659,0.65676,0.64717,0.65854,0.69444,0.68435,0.67576,0.81832,0.64541
