,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.67368 ± 0.025,0.65782 ± 0.019,0.69063 ± 0.025,0.68037 ± 0.022,0.68403 ± 0.031,0.80125 ± 0.152,0.68797 ± 0.024,0.68371 ± 0.026,0.68105 ± 0.019,0.72433 ± 0.032,0.79124 ± 0.036,0.80862 ± 0.045,5.85157 ± 0.082,0.69311 ± 0.026
Q1_Q3_0.25,0.67958 ± 0.029,0.65251 ± 0.020,0.68325 ± 0.030,0.67549 ± 0.030,0.66649 ± 0.024,0.68194 ± 0.027,0.68714 ± 0.029,0.66882 ± 0.028,0.68490 ± 0.023,0.70942 ± 0.033,0.79078 ± 0.044,0.79387 ± 0.029,5.82594 ± 0.056,0.67670 ± 0.033
Q1_Q4_0.25,0.68116 ± 0.029,0.66003 ± 0.020,0.68346 ± 0.024,0.68045 ± 0.026,0.67239 ± 0.026,0.80197 ± 0.165,0.68692 ± 0.030,0.67712 ± 0.021,0.68228 ± 0.027,0.73214 ± 0.030,0.82236 ± 0.040,0.81195 ± 0.046,5.79209 ± 0.016,0.67178 ± 0.027
Q2_Q3_0.25,0.67431 ± 0.022,0.65892 ± 0.017,0.66473 ± 0.020,0.66784 ± 0.023,0.67826 ± 0.017,3.05329 ± 2.236,0.67284 ± 0.024,0.66803 ± 0.022,0.67560 ± 0.021,0.72409 ± 0.031,0.78272 ± 0.044,0.77736 ± 0.046,5.80221 ± 0.031,0.66134 ± 0.022
Q2_Q4_0.25,0.66546 ± 0.020,0.66255 ± 0.019,0.69847 ± 0.033,0.68283 ± 0.026,0.69524 ± 0.036,2.13108 ± 1.889,0.68469 ± 0.029,0.68429 ± 0.035,0.68072 ± 0.028,0.75023 ± 0.044,0.79919 ± 0.037,0.82395 ± 0.032,5.78489 ± 0.068,0.68268 ± 0.031
Q3_Q4_0.25,0.67403 ± 0.022,0.66760 ± 0.021,0.68531 ± 0.023,0.68288 ± 0.019,0.70061 ± 0.024,3.71686 ± 2.454,0.69568 ± 0.018,0.67508 ± 0.012,0.68625 ± 0.019,0.73750 ± 0.035,0.83698 ± 0.040,0.83096 ± 0.046,5.80259 ± 0.043,0.68658 ± 0.020
Q1_0.25,0.67374 ± 0.026,0.65310 ± 0.016,0.68275 ± 0.022,0.67102 ± 0.021,0.67532 ± 0.018,3.54324 ± 2.276,0.68164 ± 0.022,0.67561 ± 0.018,0.67638 ± 0.020,0.70673 ± 0.027,0.78512 ± 0.035,0.80698 ± 0.034,5.81383 ± 0.038,0.68026 ± 0.023
Q2_0.25,0.66396 ± 0.017,0.65422 ± 0.019,0.66975 ± 0.021,0.67269 ± 0.021,0.67115 ± 0.021,3.85065 ± 2.192,0.67274 ± 0.021,0.66495 ± 0.019,0.67061 ± 0.021,0.72387 ± 0.027,0.77955 ± 0.022,0.78535 ± 0.034,5.75106 ± 0.079,0.66588 ± 0.022
Q3_0.25,0.66954 ± 0.026,0.65584 ± 0.019,0.66903 ± 0.019,0.66607 ± 0.019,0.66480 ± 0.023,1.08892 ± 0.323,0.66718 ± 0.021,0.66308 ± 0.022,0.66620 ± 0.019,0.71880 ± 0.034,0.79000 ± 0.039,0.79379 ± 0.030,5.78792 ± 0.032,0.66039 ± 0.021
Q4_0.25,0.66327 ± 0.022,0.66630 ± 0.019,0.71273 ± 0.032,0.69714 ± 0.016,0.70477 ± 0.017,2.98005 ± 2.191,0.69644 ± 0.013,0.68579 ± 0.026,0.69871 ± 0.025,0.75361 ± 0.025,0.82546 ± 0.037,0.83526 ± 0.050,5.76565 ± 0.016,0.70083 ± 0.041
