,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.64267 ± 0.022,0.63541 ± 0.014,0.64204 ± 0.017,0.63439 ± 0.017,0.63546 ± 0.016,0.74155 ± 0.110,0.63764 ± 0.016,0.63780 ± 0.015,0.63668 ± 0.017,0.69673 ± 0.046,0.71543 ± 0.012,0.69291 ± 0.026,0.81923 ± 0.036,0.64300 ± 0.020
Q1_Q3_0.25,0.65030 ± 0.025,0.64332 ± 0.015,0.63713 ± 0.016,0.63395 ± 0.014,0.63263 ± 0.013,0.63803 ± 0.014,0.63667 ± 0.016,0.63590 ± 0.015,0.63627 ± 0.015,0.67849 ± 0.022,0.73239 ± 0.029,0.69413 ± 0.039,0.81303 ± 0.023,0.64488 ± 0.016
Q1_Q4_0.25,0.64824 ± 0.018,0.64720 ± 0.019,0.65193 ± 0.012,0.64042 ± 0.017,0.64748 ± 0.017,0.73087 ± 0.107,0.64733 ± 0.015,0.65585 ± 0.011,0.64195 ± 0.016,0.69639 ± 0.027,0.71335 ± 0.009,0.70718 ± 0.040,0.82459 ± 0.018,0.65304 ± 0.012
Q2_Q3_0.25,0.63997 ± 0.024,0.64929 ± 0.016,0.63286 ± 0.017,0.63325 ± 0.017,0.63434 ± 0.017,0.84213 ± 0.028,0.63332 ± 0.016,0.63202 ± 0.014,0.63366 ± 0.018,0.68433 ± 0.021,0.68539 ± 0.032,0.70120 ± 0.027,0.81455 ± 0.035,0.63817 ± 0.017
Q2_Q4_0.25,0.64033 ± 0.018,0.65989 ± 0.016,0.64434 ± 0.012,0.63924 ± 0.014,0.63967 ± 0.018,0.72436 ± 0.101,0.64094 ± 0.017,0.64567 ± 0.014,0.63587 ± 0.018,0.69091 ± 0.034,0.70300 ± 0.029,0.70307 ± 0.029,0.81973 ± 0.027,0.65060 ± 0.013
Q3_Q4_0.25,0.64292 ± 0.018,0.65862 ± 0.014,0.64068 ± 0.013,0.63774 ± 0.017,0.63645 ± 0.017,0.80903 ± 0.083,0.63613 ± 0.014,0.64026 ± 0.013,0.63582 ± 0.021,0.66644 ± 0.019,0.70451 ± 0.011,0.72706 ± 0.020,0.81711 ± 0.032,0.64243 ± 0.016
Q1_0.25,0.64508 ± 0.021,0.63676 ± 0.014,0.64361 ± 0.020,0.63863 ± 0.018,0.63936 ± 0.017,0.81039 ± 0.092,0.64083 ± 0.018,0.63972 ± 0.018,0.63776 ± 0.017,0.68320 ± 0.013,0.69883 ± 0.031,0.69197 ± 0.035,0.82210 ± 0.016,0.64116 ± 0.018
Q2_0.25,0.64295 ± 0.019,0.63884 ± 0.017,0.63445 ± 0.017,0.63389 ± 0.015,0.63311 ± 0.018,0.80787 ± 0.097,0.63390 ± 0.015,0.63246 ± 0.016,0.63214 ± 0.016,0.68081 ± 0.024,0.67516 ± 0.018,0.68722 ± 0.025,0.82991 ± 0.040,0.63551 ± 0.014
Q3_0.25,0.64460 ± 0.018,0.64653 ± 0.014,0.63275 ± 0.015,0.63262 ± 0.017,0.63377 ± 0.016,0.80214 ± 0.064,0.63236 ± 0.018,0.63298 ± 0.015,0.63216 ± 0.015,0.67758 ± 0.019,0.69444 ± 0.027,0.69740 ± 0.022,0.82667 ± 0.041,0.63261 ± 0.015
Q4_0.25,0.63709 ± 0.010,0.65695 ± 0.010,0.64004 ± 0.011,0.63757 ± 0.012,0.63818 ± 0.015,0.84908 ± 0.020,0.63623 ± 0.014,0.64020 ± 0.014,0.63515 ± 0.015,0.66693 ± 0.024,0.70799 ± 0.019,0.72596 ± 0.021,0.85180 ± 0.042,0.64184 ± 0.008
