,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.68509 ± 0.021,0.65801 ± 0.020,0.64985 ± 0.019,0.65079 ± 0.017,0.65016 ± 0.019,0.68922 ± 0.066,0.64953 ± 0.017,0.64963 ± 0.018,0.65019 ± 0.018,0.68753 ± 0.032,0.68402 ± 0.025,0.68196 ± 0.028,0.81250 ± 0.032,0.65135 ± 0.019
Q1_Q3_0.25,0.68414 ± 0.025,0.65663 ± 0.021,0.64979 ± 0.018,0.64981 ± 0.018,0.65035 ± 0.018,0.65049 ± 0.018,0.64946 ± 0.018,0.64947 ± 0.018,0.65041 ± 0.018,0.67352 ± 0.013,0.69034 ± 0.022,0.67967 ± 0.028,0.80841 ± 0.029,0.65089 ± 0.019
Q1_Q4_0.25,0.67804 ± 0.021,0.66512 ± 0.022,0.65070 ± 0.016,0.65030 ± 0.017,0.64987 ± 0.016,0.66084 ± 0.023,0.64977 ± 0.016,0.65014 ± 0.015,0.64850 ± 0.016,0.68944 ± 0.029,0.70611 ± 0.036,0.70638 ± 0.029,0.80821 ± 0.030,0.65225 ± 0.017
Q2_Q3_0.25,0.67879 ± 0.022,0.65921 ± 0.020,0.64938 ± 0.018,0.65068 ± 0.018,0.65061 ± 0.018,0.76455 ± 0.070,0.64986 ± 0.017,0.64936 ± 0.018,0.64996 ± 0.017,0.67520 ± 0.022,0.67488 ± 0.029,0.67408 ± 0.031,0.81146 ± 0.032,0.65151 ± 0.019
Q2_Q4_0.25,0.67138 ± 0.020,0.66624 ± 0.022,0.65107 ± 0.017,0.65082 ± 0.017,0.65020 ± 0.018,0.68281 ± 0.075,0.65010 ± 0.016,0.65097 ± 0.017,0.65036 ± 0.018,0.68605 ± 0.048,0.68592 ± 0.030,0.68832 ± 0.028,0.80778 ± 0.029,0.65233 ± 0.018
Q3_Q4_0.25,0.67413 ± 0.021,0.67072 ± 0.022,0.65217 ± 0.017,0.64976 ± 0.018,0.65032 ± 0.018,0.75407 ± 0.097,0.65053 ± 0.017,0.65152 ± 0.016,0.65004 ± 0.018,0.66982 ± 0.020,0.70661 ± 0.022,0.71093 ± 0.025,0.80868 ± 0.029,0.65366 ± 0.017
Q1_0.25,0.67208 ± 0.021,0.65187 ± 0.019,0.64978 ± 0.018,0.64967 ± 0.017,0.64964 ± 0.018,0.77482 ± 0.103,0.64935 ± 0.017,0.64976 ± 0.017,0.64943 ± 0.018,0.67750 ± 0.021,0.67219 ± 0.021,0.68035 ± 0.026,0.81068 ± 0.030,0.64997 ± 0.019
Q2_0.25,0.66364 ± 0.020,0.65509 ± 0.021,0.64937 ± 0.018,0.64976 ± 0.018,0.64994 ± 0.018,0.81026 ± 0.121,0.64956 ± 0.017,0.64935 ± 0.018,0.64955 ± 0.018,0.67562 ± 0.023,0.67062 ± 0.018,0.67063 ± 0.015,0.81284 ± 0.032,0.64991 ± 0.018
Q3_0.25,0.66383 ± 0.020,0.65403 ± 0.020,0.64939 ± 0.018,0.64992 ± 0.018,0.65004 ± 0.018,0.71411 ± 0.054,0.64964 ± 0.018,0.64974 ± 0.018,0.64999 ± 0.018,0.67424 ± 0.023,0.67419 ± 0.018,0.68088 ± 0.017,0.80723 ± 0.030,0.64992 ± 0.018
Q4_0.25,0.66073 ± 0.021,0.66569 ± 0.023,0.65228 ± 0.018,0.65068 ± 0.018,0.65064 ± 0.018,0.76438 ± 0.066,0.65124 ± 0.018,0.65260 ± 0.017,0.64982 ± 0.018,0.66764 ± 0.016,0.68992 ± 0.020,0.71598 ± 0.036,0.80775 ± 0.029,0.65178 ± 0.018
Q1_Q2_0.5,0.72854 ± 0.028,0.66617 ± 0.023,0.65381 ± 0.019,0.65140 ± 0.017,0.65059 ± 0.018,0.69036 ± 0.076,0.65065 ± 0.016,0.65339 ± 0.019,0.65167 ± 0.018,0.69628 ± 0.016,0.72652 ± 0.032,0.73015 ± 0.025,0.81072 ± 0.030,0.65447 ± 0.021
Q1_Q3_0.5,0.71013 ± 0.025,0.66354 ± 0.022,0.65168 ± 0.017,0.65044 ± 0.018,0.65432 ± 0.018,0.76600 ± 0.088,0.65077 ± 0.017,0.65139 ± 0.017,0.65177 ± 0.018,0.68690 ± 0.026,0.70583 ± 0.021,0.70758 ± 0.031,0.80729 ± 0.029,0.65278 ± 0.019
Q1_Q4_0.5,0.71443 ± 0.024,0.69488 ± 0.022,0.65829 ± 0.018,0.65720 ± 0.020,0.65226 ± 0.018,0.76908 ± 0.082,0.65246 ± 0.019,0.65807 ± 0.017,0.65083 ± 0.019,0.67850 ± 0.019,0.74769 ± 0.042,0.75030 ± 0.068,0.80747 ± 0.029,0.65971 ± 0.018
Q2_Q3_0.5,0.69768 ± 0.027,0.66883 ± 0.023,0.64965 ± 0.018,0.65332 ± 0.017,0.65402 ± 0.019,0.74027 ± 0.073,0.65079 ± 0.018,0.65020 ± 0.019,0.65245 ± 0.020,0.67431 ± 0.020,0.67611 ± 0.020,0.66564 ± 0.024,0.81038 ± 0.030,0.65323 ± 0.019
Q2_Q4_0.5,0.69508 ± 0.027,0.69934 ± 0.028,0.65656 ± 0.018,0.65292 ± 0.017,0.65221 ± 0.019,0.72978 ± 0.090,0.65267 ± 0.016,0.65663 ± 0.017,0.65232 ± 0.017,0.70398 ± 0.037,0.73816 ± 0.032,0.71697 ± 0.036,0.80864 ± 0.030,0.65686 ± 0.020
Q3_Q4_0.5,0.69242 ± 0.022,0.74808 ± 0.030,0.66045 ± 0.017,0.65952 ± 0.017,0.65298 ± 0.015,0.76074 ± 0.086,0.65149 ± 0.014,0.66141 ± 0.015,0.65123 ± 0.016,0.67956 ± 0.010,0.74188 ± 0.032,0.76826 ± 0.024,0.80783 ± 0.029,0.66299 ± 0.017
Q1_0.5,0.70456 ± 0.026,0.65591 ± 0.020,0.65300 ± 0.018,0.65148 ± 0.017,0.65040 ± 0.018,0.76419 ± 0.075,0.65055 ± 0.017,0.65233 ± 0.018,0.65073 ± 0.019,0.68972 ± 0.027,0.71024 ± 0.029,0.69607 ± 0.024,0.80756 ± 0.029,0.65408 ± 0.019
Q2_0.5,0.68039 ± 0.022,0.66228 ± 0.023,0.64983 ± 0.018,0.65072 ± 0.017,0.64982 ± 0.018,0.76978 ± 0.081,0.64981 ± 0.018,0.64979 ± 0.018,0.65005 ± 0.017,0.67422 ± 0.023,0.66730 ± 0.019,0.67748 ± 0.026,0.81469 ± 0.032,0.65200 ± 0.019
Q3_0.5,0.67380 ± 0.023,0.66244 ± 0.022,0.64974 ± 0.018,0.65086 ± 0.017,0.65044 ± 0.017,0.71449 ± 0.072,0.65024 ± 0.017,0.65058 ± 0.016,0.65066 ± 0.017,0.67216 ± 0.019,0.66849 ± 0.022,0.67627 ± 0.026,0.80684 ± 0.029,0.65182 ± 0.019
Q4_0.5,0.67035 ± 0.020,0.69967 ± 0.025,0.65539 ± 0.016,0.65230 ± 0.016,0.65176 ± 0.015,0.81666 ± 0.064,0.65248 ± 0.014,0.65574 ± 0.014,0.65229 ± 0.013,0.68145 ± 0.022,0.76474 ± 0.034,0.76147 ± 0.038,0.80764 ± 0.029,0.65500 ± 0.016
Q1_Q2_0.75,0.78080 ± 0.034,0.66979 ± 0.023,0.66721 ± 0.023,0.65771 ± 0.022,0.65813 ± 0.021,0.79385 ± 0.085,0.65703 ± 0.018,0.66685 ± 0.023,0.65744 ± 0.019,0.70662 ± 0.021,0.80829 ± 0.041,0.83009 ± 0.077,0.81067 ± 0.030,0.66772 ± 0.025
Q1_Q3_0.75,0.74468 ± 0.026,0.66963 ± 0.020,0.65774 ± 0.020,0.65581 ± 0.021,0.65832 ± 0.017,0.80005 ± 0.076,0.65234 ± 0.018,0.65852 ± 0.021,0.65385 ± 0.019,0.69252 ± 0.018,0.75511 ± 0.049,0.74531 ± 0.049,0.80927 ± 0.029,0.65968 ± 0.023
Q1_Q4_0.75,0.75520 ± 0.027,0.70658 ± 0.029,0.67678 ± 0.024,0.66502 ± 0.023,0.66176 ± 0.020,0.73963 ± 0.087,0.66795 ± 0.012,0.67537 ± 0.020,0.65871 ± 0.021,0.73347 ± 0.017,0.78745 ± 0.021,0.76204 ± 0.034,0.80757 ± 0.029,0.67182 ± 0.027
Q2_Q3_0.75,0.71386 ± 0.027,0.67673 ± 0.020,0.65005 ± 0.018,0.65726 ± 0.017,0.65649 ± 0.017,0.71111 ± 0.086,0.65592 ± 0.019,0.64895 ± 0.018,0.65919 ± 0.019,0.67533 ± 0.019,0.67656 ± 0.024,0.67932 ± 0.014,0.81081 ± 0.030,0.65546 ± 0.020
Q2_Q4_0.75,0.70628 ± 0.028,0.74840 ± 0.026,0.67591 ± 0.017,0.67241 ± 0.014,0.66757 ± 0.016,0.77695 ± 0.092,0.66365 ± 0.017,0.67366 ± 0.016,0.66107 ± 0.017,0.71775 ± 0.019,0.79741 ± 0.079,0.76822 ± 0.039,0.80803 ± 0.029,0.66822 ± 0.018
Q3_Q4_0.75,0.70290 ± 0.023,0.84728 ± 0.041,0.68208 ± 0.018,0.66642 ± 0.016,0.66374 ± 0.016,0.78174 ± 0.095,0.66920 ± 0.014,0.67627 ± 0.016,0.65843 ± 0.016,0.71476 ± 0.049,0.87355 ± 0.090,0.91833 ± 0.035,0.80698 ± 0.028,0.66967 ± 0.012
Q1_0.75,0.73956 ± 0.029,0.65942 ± 0.021,0.65691 ± 0.018,0.65429 ± 0.018,0.65309 ± 0.018,0.73000 ± 0.071,0.65330 ± 0.017,0.65641 ± 0.019,0.65361 ± 0.018,0.69339 ± 0.023,0.82104 ± 0.045,0.75317 ± 0.035,0.80803 ± 0.030,0.65837 ± 0.019
Q2_0.75,0.69048 ± 0.023,0.66793 ± 0.022,0.65056 ± 0.018,0.65127 ± 0.017,0.65099 ± 0.019,0.78336 ± 0.058,0.65021 ± 0.018,0.65015 ± 0.018,0.65056 ± 0.018,0.67664 ± 0.024,0.68718 ± 0.029,0.67347 ± 0.029,0.81194 ± 0.031,0.65324 ± 0.019
Q3_0.75,0.68754 ± 0.026,0.66266 ± 0.021,0.64956 ± 0.018,0.65144 ± 0.018,0.65117 ± 0.018,0.82871 ± 0.044,0.65053 ± 0.017,0.64977 ± 0.018,0.65061 ± 0.018,0.67294 ± 0.017,0.67445 ± 0.029,0.67258 ± 0.021,0.80729 ± 0.029,0.65191 ± 0.019
Q4_0.75,0.67987 ± 0.023,0.75855 ± 0.030,0.66807 ± 0.015,0.65743 ± 0.014,0.65602 ± 0.016,0.83637 ± 0.028,0.65997 ± 0.012,0.66591 ± 0.014,0.65343 ± 0.015,0.72451 ± 0.041,0.79662 ± 0.061,0.81424 ± 0.095,0.80756 ± 0.029,0.66396 ± 0.015
Q1_Q2_1.0,0.83458 ± 0.034,0.67581 ± 0.024,0.68146 ± 0.024,0.68296 ± 0.022,0.68073 ± 0.030,0.76719 ± 0.083,0.68718 ± 0.020,0.69992 ± 0.026,0.67394 ± 0.023,0.72910 ± 0.020,0.72405 ± 0.043,0.74548 ± 0.057,0.81096 ± 0.030,0.69883 ± 0.031
Q1_Q3_1.0,0.77376 ± 0.026,0.67010 ± 0.022,0.67206 ± 0.023,0.67011 ± 0.024,0.66000 ± 0.020,0.69809 ± 0.032,0.66061 ± 0.022,0.66875 ± 0.023,0.66149 ± 0.019,0.69887 ± 0.024,0.71903 ± 0.009,0.75276 ± 0.023,0.80797 ± 0.029,0.67553 ± 0.027
Q1_Q4_1.0,0.78160 ± 0.033,0.79081 ± 0.029,0.72177 ± 0.033,0.71810 ± 0.029,0.67803 ± 0.026,0.74066 ± 0.022,0.68720 ± 0.029,0.70422 ± 0.025,0.67500 ± 0.021,0.68930 ± 0.023,0.79890 ± 0.054,0.78801 ± 0.058,0.80769 ± 0.029,0.72242 ± 0.022
Q2_Q3_1.0,0.72845 ± 0.032,0.68194 ± 0.020,0.65240 ± 0.020,0.66531 ± 0.017,0.65815 ± 0.019,0.74920 ± 0.080,0.66535 ± 0.020,0.65191 ± 0.019,0.67078 ± 0.023,0.69437 ± 0.031,0.67191 ± 0.023,0.66450 ± 0.020,0.80893 ± 0.029,0.65793 ± 0.022
Q2_Q4_1.0,0.73093 ± 0.023,0.84934 ± 0.030,0.71007 ± 0.018,0.69449 ± 0.014,0.67874 ± 0.013,0.73842 ± 0.062,0.67697 ± 0.016,0.70628 ± 0.025,0.68192 ± 0.019,0.71685 ± 0.024,0.81997 ± 0.064,0.83201 ± 0.051,0.80802 ± 0.029,0.68156 ± 0.018
Q3_Q4_1.0,0.71641 ± 0.025,1.29604 ± 0.059,0.72265 ± 0.013,0.68833 ± 0.016,0.73896 ± 0.049,0.77150 ± 0.073,0.70465 ± 0.020,0.74134 ± 0.025,0.70991 ± 0.009,0.86720 ± 0.058,0.91584 ± 0.140,0.94154 ± 0.104,0.80690 ± 0.028,0.75196 ± 0.041
Q1_1.0,0.77725 ± 0.028,0.66393 ± 0.020,0.67196 ± 0.022,0.66455 ± 0.020,0.65716 ± 0.016,1.38095 ± 1.177,0.66099 ± 0.017,0.67306 ± 0.021,0.66002 ± 0.018,0.70755 ± 0.019,0.77158 ± 0.025,0.80895 ± 0.034,0.80834 ± 0.030,0.67165 ± 0.025
Q2_1.0,0.70092 ± 0.026,0.67052 ± 0.023,0.65146 ± 0.018,0.65388 ± 0.016,0.65270 ± 0.019,0.76329 ± 0.091,0.65200 ± 0.019,0.65049 ± 0.018,0.65255 ± 0.018,0.67534 ± 0.024,0.68084 ± 0.027,0.67604 ± 0.025,0.81350 ± 0.031,0.65422 ± 0.020
