,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.3,0.35823 ± 0.001,0.34430 ± 0.002,0.15119 ± 0.014,0.15119 ± 0.014,0.15119 ± 0.014,0.15119 ± 0.014,0.15119 ± 0.014,0.13444 ± 0.002,0.15119 ± 0.014,0.37501 ± 0.062,5.44875 ± 0.903,0.15978 ± 0.028,0.12852 ± 0.001,0.18126 ± 0.013
0.5,0.41143 ± 0.001,0.45951 ± 0.001,0.15019 ± 0.015,0.15019 ± 0.015,0.15019 ± 0.015,0.15019 ± 0.015,0.15019 ± 0.015,0.22450 ± 0.002,0.15019 ± 0.015,0.36196 ± 0.033,7.02184 ± 0.983,0.19746 ± 0.032,0.12840 ± 0.001,0.18031 ± 0.013
0.7,0.45972 ± 0.001,0.38146 ± 0.001,0.16424 ± 0.023,0.16424 ± 0.023,0.16424 ± 0.023,0.16424 ± 0.023,0.16424 ± 0.023,0.23250 ± 0.003,0.16424 ± 0.023,0.34149 ± 0.063,9.00959 ± 1.426,0.19131 ± 0.058,0.11857 ± 0.002,0.19181 ± 0.020
