,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.22924154,0.008062215,0.18638293,0.0074318317,0.2342036,0.019756664,0.19041833,0.016775494
Q1_Q3_0.25,0.2134527,0.001707973,0.16858251,0.0010450232,0.21569696,0.00981607,0.17110448,0.010410551
Q1_Q4_0.25,0.2946756,0.0053712917,0.24984336,0.00485217,0.29756323,0.013102322,0.25318262,0.010500228
Q2_Q3_0.25,0.13764517,0.0023305193,0.11066701,0.0017618294,0.14075813,0.0060035707,0.11295454,0.0041138134
Q2_Q4_0.25,0.2539447,0.002909498,0.19677028,0.0027794149,0.2571903,0.009514414,0.20060496,0.009199462
Q3_Q4_0.25,0.255956,0.0039642244,0.2014569,0.003018516,0.26312694,0.016161887,0.204603,0.013444863
Q1_0.25,0.2838702,0.0042106966,0.24403763,0.004188534,0.28491727,0.026866958,0.24483187,0.026363334
Q2_0.25,0.1490618,0.0022834442,0.12017155,0.002851548,0.15236017,0.009203103,0.12438525,0.00905397
Q3_0.25,0.13273552,0.0013640583,0.10512142,0.0014781203,0.13516252,0.0064565437,0.10551782,0.0054913093
Q4_0.25,0.34092885,0.0075585744,0.29495877,0.0075603975,0.336932,0.020404765,0.28857386,0.01861871
Q1_Q2_0.5,0.25814268,0.004097218,0.21476302,0.0035893307,0.25899372,0.018151945,0.2154501,0.017424151
Q1_Q3_0.5,0.22471292,0.004697656,0.17510402,0.0037118024,0.23170051,0.014619753,0.18156143,0.0097060315
Q1_Q4_0.5,0.29322943,0.0037209417,0.24792373,0.0034163073,0.29605204,0.01573952,0.25023818,0.012853435
Q2_Q3_0.5,0.1396044,0.0025193007,0.11212754,0.0019640392,0.1480182,0.005314077,0.117840365,0.003972
Q2_Q4_0.5,0.25954264,0.0018809083,0.2004201,0.002285439,0.2620357,0.010205995,0.20237967,0.0065521984
Q3_Q4_0.5,0.2803784,0.0034759224,0.22368331,0.0031914352,0.28794876,0.012758947,0.22849965,0.011855785
Q1_0.5,0.29383984,0.0061414638,0.25485665,0.0053990274,0.29732886,0.021799248,0.2573799,0.023357585
Q2_0.5,0.14975508,0.0029066773,0.12192448,0.0024005643,0.15795688,0.006177752,0.12724371,0.00717762
Q3_0.5,0.13478477,0.0034772041,0.106283665,0.0024475262,0.13762449,0.0071719824,0.10897722,0.0064612813
Q4_0.5,0.35031968,0.004879638,0.30654383,0.005256378,0.3530693,0.009028358,0.30837104,0.0079279095
Q1_Q2_0.75,0.29246226,0.005684669,0.24992473,0.0049931305,0.29535288,0.017432846,0.25355512,0.017317042
Q1_Q3_0.75,0.23297581,0.004783312,0.1827405,0.0032636153,0.24148726,0.018176535,0.19124284,0.014443461
Q1_Q4_0.75,0.29620445,0.0037025765,0.25000358,0.0030745636,0.3006686,0.012803778,0.25273058,0.01055121
Q2_Q3_0.75,0.14162406,0.0022938894,0.11352472,0.0022243618,0.15006174,0.0041353945,0.12039437,0.0038134046
Q2_Q4_0.75,0.26887617,0.0035114763,0.20561294,0.0035617216,0.27300888,0.017695254,0.20753343,0.01662592
Q3_Q4_0.75,0.31556454,0.0046622558,0.25804427,0.0039506718,0.32182068,0.017334089,0.262951,0.014178397
Q1_0.75,0.31816754,0.008367236,0.2788853,0.008152345,0.31885564,0.02374978,0.27975798,0.021415686
Q2_0.75,0.15778522,0.004543315,0.12845147,0.0037025257,0.16450123,0.0055124587,0.1329779,0.005980583
Q3_0.75,0.137085,0.0017241669,0.10874641,0.0015851728,0.14269285,0.0070788246,0.11305616,0.0038737436
Q4_0.75,0.3707866,0.004785932,0.3272329,0.0045443964,0.37748295,0.017405936,0.3329863,0.01668453
Q1_Q2_1.0,0.3524374,0.0047724927,0.311112,0.0042384095,0.35913908,0.016646603,0.317824,0.017281901
Q1_Q3_1.0,0.2600226,0.006761513,0.20369649,0.0056155333,0.2661994,0.021339301,0.21062581,0.018538348
Q1_Q4_1.0,0.29736617,0.002989671,0.24979231,0.0025168846,0.2995011,0.014094298,0.25053358,0.0115365805
Q2_Q3_1.0,0.14612049,0.0050071552,0.11692189,0.0042844494,0.16005377,0.009374326,0.12800623,0.0080458205
Q2_Q4_1.0,0.28952298,0.0063894833,0.22002101,0.005492247,0.29481393,0.02402963,0.2240026,0.019512665
Q3_Q4_1.0,0.3713476,0.0054491027,0.31625444,0.0047974167,0.37709767,0.017786697,0.32031375,0.015449846
Q1_1.0,0.33623156,0.006309826,0.2961185,0.006517734,0.34371135,0.024455108,0.30388832,0.022881204
Q2_1.0,0.16364835,0.0036419346,0.13402395,0.0032631073,0.1656757,0.007439948,0.13487521,0.007451856
Q3_1.0,0.13929275,0.0013784135,0.11020551,0.0012952765,0.15051414,0.008175147,0.11848563,0.008002274
Q4_1.0,0.39742112,0.0037784155,0.35536903,0.0036005098,0.40279812,0.0156811,0.3597613,0.016743867
