,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.22039 ± 0.002,0.15816 ± 0.007,0.10369 ± 0.002,0.13612 ± 0.002,0.16410 ± 0.006,0.23000 ± 0.004,0.09286 ± 0.005,0.12200 ± 0.010,0.12951 ± 0.007,0.11380 ± 0.005,0.18941 ± 0.004,0.24388 ± 0.005
Q1_Q3_0.25,0.21294 ± 0.002,0.15956 ± 0.007,0.12825 ± 0.002,0.14792 ± 0.001,0.15038 ± 0.005,0.22091 ± 0.005,0.10781 ± 0.007,0.17191 ± 0.019,0.14140 ± 0.005,0.12527 ± 0.006,0.21690 ± 0.002,0.23639 ± 0.004
Q1_Q4_0.25,0.29312 ± 0.002,0.19821 ± 0.003,0.20135 ± 0.002,0.21798 ± 0.001,0.23514 ± 0.006,0.30363 ± 0.004,0.16070 ± 0.003,0.29122 ± 0.004,0.21930 ± 0.003,0.22016 ± 0.005,0.31434 ± 0.002,0.30827 ± 0.003
Q2_Q3_0.25,0.09704 ± 0.002,0.10377 ± 0.005,0.09094 ± 0.001,0.09094 ± 0.001,0.10179 ± 0.004,0.11685 ± 0.004,0.07224 ± 0.007,0.14027 ± 0.008,0.08598 ± 0.003,0.08947 ± 0.004,0.18489 ± 0.006,0.14272 ± 0.002
Q2_Q4_0.25,0.25685 ± 0.004,0.15353 ± 0.010,0.13377 ± 0.004,0.16520 ± 0.003,0.19476 ± 0.003,0.26460 ± 0.003,0.11013 ± 0.006,0.26894 ± 0.015,0.17623 ± 0.007,0.18792 ± 0.013,0.27888 ± 0.004,0.27566 ± 0.004
Q3_Q4_0.25,0.27266 ± 0.005,0.17000 ± 0.004,0.12621 ± 0.001,0.16717 ± 0.003,0.19614 ± 0.003,0.27368 ± 0.005,0.10664 ± 0.005,0.25444 ± 0.021,0.18220 ± 0.008,0.19444 ± 0.006,0.29953 ± 0.008,0.28777 ± 0.006
Q1_0.25,0.26515 ± 0.002,0.15661 ± 0.008,0.11169 ± 0.002,0.15556 ± 0.003,0.18964 ± 0.005,0.27060 ± 0.006,0.09142 ± 0.003,0.14582 ± 0.015,0.12893 ± 0.008,0.11722 ± 0.012,0.22399 ± 0.007,0.28605 ± 0.003
Q2_0.25,0.08104 ± 0.003,0.08188 ± 0.008,0.08106 ± 0.003,0.08296 ± 0.002,0.09972 ± 0.003,0.09955 ± 0.005,0.06584 ± 0.007,0.12112 ± 0.026,0.07965 ± 0.007,0.07738 ± 0.005,0.14205 ± 0.004,0.12880 ± 0.007
Q3_0.25,0.11634 ± 0.002,0.09499 ± 0.002,0.08632 ± 0.002,0.08767 ± 0.002,0.09756 ± 0.009,0.12338 ± 0.003,0.06251 ± 0.005,0.20778 ± 0.018,0.09229 ± 0.003,0.09608 ± 0.005,0.21648 ± 0.008,0.15106 ± 0.005
Q4_0.25,0.35412 ± 0.007,0.18693 ± 0.007,0.15922 ± 0.004,0.21779 ± 0.003,0.26154 ± 0.002,0.36292 ± 0.006,0.11774 ± 0.004,0.39159 ± 0.044,0.22706 ± 0.012,0.25944 ± 0.013,0.35863 ± 0.013,0.36725 ± 0.007
