,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,13.95239 ± 0.154,11.28895 ± 0.186,11.56640 ± 0.145,11.44945 ± 0.275,10.97248 ± 0.191,11.23983 ± 0.173,11.26003 ± 0.139,11.77045 ± 0.108,10.92297 ± 0.231,12.48913 ± 0.173,11.47752 ± 0.343,11.69177 ± 0.356,16.58609 ± 0.080,11.89929 ± 0.182
Q1_Q3_0.25,13.95564 ± 0.169,12.04549 ± 0.188,11.89670 ± 0.176,11.58439 ± 0.173,11.45274 ± 0.228,11.52118 ± 0.213,11.51258 ± 0.178,11.94486 ± 0.206,11.33701 ± 0.207,12.91623 ± 0.106,11.93193 ± 0.239,11.68265 ± 0.166,16.63574 ± 0.082,12.13518 ± 0.227
Q1_Q4_0.25,14.06686 ± 0.188,13.13894 ± 0.205,12.17796 ± 0.194,11.36130 ± 0.157,11.34567 ± 0.153,11.50959 ± 0.163,11.68165 ± 0.257,12.32949 ± 0.177,11.01900 ± 0.161,13.25856 ± 0.228,11.95922 ± 0.331,11.79456 ± 0.370,16.60863 ± 0.098,12.44116 ± 0.160
Q2_Q3_0.25,12.31446 ± 0.172,12.47589 ± 0.137,10.63357 ± 0.177,10.75561 ± 0.211,10.59322 ± 0.204,10.53338 ± 0.191,10.76204 ± 0.189,10.62584 ± 0.159,10.56812 ± 0.209,12.37800 ± 0.202,11.34885 ± 0.370,11.16148 ± 0.293,16.62178 ± 0.099,10.87854 ± 0.219
Q2_Q4_0.25,12.74729 ± 0.240,13.82178 ± 0.228,11.64894 ± 0.268,11.26453 ± 0.221,10.85247 ± 0.176,11.00046 ± 0.204,11.21012 ± 0.210,11.62012 ± 0.296,10.80422 ± 0.223,12.86078 ± 0.254,11.48669 ± 0.595,11.44571 ± 0.339,16.63881 ± 0.109,11.87624 ± 0.308
Q3_Q4_0.25,11.97360 ± 0.320,13.94273 ± 0.183,11.60264 ± 0.208,11.37692 ± 0.224,10.99496 ± 0.195,11.07599 ± 0.201,11.28652 ± 0.225,11.63635 ± 0.223,10.91687 ± 0.243,12.63858 ± 0.268,11.64301 ± 0.421,11.85042 ± 0.112,16.65015 ± 0.111,11.77193 ± 0.131
Q1_0.25,13.43828 ± 0.083,10.55421 ± 0.199,11.48256 ± 0.120,11.09443 ± 0.216,10.97166 ± 0.168,11.02597 ± 0.149,11.07925 ± 0.140,11.50261 ± 0.132,10.84388 ± 0.174,12.42334 ± 0.149,11.56833 ± 0.428,11.27232 ± 0.378,16.61480 ± 0.092,11.62798 ± 0.104
Q2_0.25,12.01125 ± 0.256,11.25365 ± 0.174,10.45703 ± 0.205,10.47845 ± 0.209,10.36048 ± 0.194,10.36753 ± 0.202,10.54355 ± 0.203,10.41730 ± 0.183,10.47608 ± 0.220,12.24489 ± 0.125,11.05473 ± 0.508,11.11203 ± 0.197,16.61745 ± 0.101,10.63999 ± 0.197
Q3_0.25,11.23837 ± 0.186,12.23621 ± 0.135,10.71226 ± 0.186,10.62870 ± 0.185,10.59562 ± 0.209,10.58340 ± 0.208,10.66363 ± 0.213,10.73787 ± 0.182,10.55971 ± 0.201,12.51286 ± 0.252,11.35177 ± 0.496,11.04516 ± 0.447,16.62536 ± 0.105,10.81479 ± 0.173
Q4_0.25,11.40238 ± 0.397,13.35485 ± 0.230,11.43343 ± 0.215,10.99424 ± 0.198,10.83118 ± 0.233,10.90864 ± 0.217,11.10021 ± 0.219,11.41367 ± 0.191,10.70935 ± 0.252,12.85342 ± 0.133,11.61603 ± 0.464,11.71697 ± 0.516,16.65491 ± 0.100,11.48544 ± 0.218
Q1_Q2_0.5,15.19422 ± 0.133,11.45878 ± 0.145,13.07887 ± 0.208,13.13750 ± 0.195,11.99654 ± 0.209,12.47315 ± 0.229,12.37684 ± 0.116,13.14568 ± 0.183,11.86935 ± 0.222,12.99378 ± 0.314,13.09523 ± 0.284,12.76974 ± 0.480,16.63576 ± 0.090,13.42406 ± 0.209
Q1_Q3_0.5,14.88459 ± 0.297,12.69826 ± 0.210,12.68841 ± 0.155,12.62305 ± 0.213,11.99661 ± 0.209,12.39726 ± 0.163,12.25722 ± 0.146,12.88527 ± 0.123,11.78116 ± 0.177,13.22874 ± 0.327,12.80603 ± 0.404,12.19440 ± 0.382,16.61268 ± 0.104,12.91425 ± 0.152
Q1_Q4_0.5,15.51615 ± 0.095,14.74447 ± 0.094,13.84010 ± 0.131,13.16062 ± 0.233,13.24728 ± 0.153,13.31902 ± 0.123,13.37279 ± 0.190,14.08522 ± 0.110,12.92994 ± 0.200,14.30187 ± 0.052,14.08028 ± 0.405,13.90562 ± 0.147,16.65352 ± 0.099,14.15845 ± 0.163
Q2_Q3_0.5,13.13906 ± 0.228,13.07826 ± 0.141,10.67672 ± 0.165,11.15649 ± 0.154,10.80950 ± 0.157,10.95695 ± 0.152,11.14796 ± 0.165,10.85301 ± 0.144,11.01775 ± 0.187,12.30237 ± 0.149,11.24313 ± 0.389,11.27388 ± 0.500,16.60986 ± 0.121,11.10240 ± 0.258
Q2_Q4_0.5,13.59794 ± 0.232,14.95469 ± 0.187,12.19514 ± 0.302,11.89070 ± 0.245,11.67543 ± 0.213,11.84468 ± 0.239,11.86609 ± 0.183,12.40240 ± 0.305,11.49850 ± 0.201,13.11270 ± 0.230,12.27934 ± 0.246,12.50468 ± 0.328,16.64297 ± 0.122,12.62140 ± 0.327
Q3_Q4_0.5,12.50233 ± 0.214,15.50185 ± 0.197,12.54986 ± 0.161,12.45466 ± 0.150,11.47713 ± 0.140,11.72086 ± 0.130,11.92686 ± 0.170,12.77133 ± 0.150,11.65749 ± 0.204,13.11933 ± 0.308,12.69874 ± 0.426,12.74439 ± 0.288,16.65943 ± 0.107,12.94934 ± 0.144
Q1_0.5,14.71259 ± 0.152,10.62026 ± 0.214,12.42174 ± 0.176,12.09582 ± 0.295,11.68303 ± 0.227,11.93105 ± 0.199,11.76512 ± 0.207,12.46049 ± 0.182,11.51520 ± 0.233,12.62075 ± 0.216,12.25498 ± 0.675,11.93950 ± 0.447,16.63759 ± 0.100,12.69672 ± 0.217
Q2_0.5,12.82598 ± 0.196,11.66821 ± 0.139,10.55608 ± 0.203,10.62154 ± 0.190,10.40203 ± 0.189,10.41078 ± 0.169,10.61945 ± 0.174,10.67554 ± 0.185,10.42495 ± 0.211,12.33082 ± 0.231,11.31760 ± 0.340,11.02844 ± 0.265,16.61718 ± 0.096,10.86794 ± 0.224
Q3_0.5,11.62562 ± 0.305,12.77683 ± 0.149,10.81096 ± 0.193,10.93427 ± 0.164,10.62306 ± 0.217,10.61550 ± 0.216,10.72750 ± 0.175,10.88622 ± 0.214,10.68992 ± 0.177,12.32322 ± 0.233,11.42496 ± 0.523,11.31152 ± 0.572,16.64303 ± 0.106,11.00938 ± 0.157
Q4_0.5,11.99777 ± 0.162,14.57044 ± 0.079,11.89270 ± 0.128,11.81969 ± 0.139,11.01166 ± 0.143,11.21822 ± 0.131,11.46134 ± 0.122,12.00012 ± 0.183,11.04529 ± 0.201,12.86903 ± 0.469,12.25759 ± 0.598,12.14587 ± 0.431,16.68362 ± 0.109,12.11558 ± 0.116
Q1_Q2_0.75,15.90766 ± 0.133,11.48770 ± 0.199,14.54722 ± 0.095,14.69607 ± 0.110,13.61111 ± 0.314,14.02624 ± 0.255,13.90612 ± 0.215,14.73897 ± 0.159,13.80128 ± 0.158,13.45979 ± 0.302,14.68299 ± 0.294,14.99528 ± 0.164,16.63905 ± 0.110,14.84938 ± 0.051
