,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,15.38813 ± 0.286,13.04031 ± 0.284,13.79610 ± 0.152,13.48031 ± 0.236,13.31876 ± 0.122,13.75031 ± 0.138,13.41932 ± 0.190,13.92163 ± 0.125,12.99242 ± 0.146,14.28064 ± 0.083,14.61821 ± 0.267,14.58042 ± 0.391,58028.97035 ± 796.908,13.95820 ± 0.215
Q1_Q3_0.25,15.42244 ± 0.159,13.41115 ± 0.148,14.01977 ± 0.137,13.59962 ± 0.134,13.44171 ± 0.190,13.64692 ± 0.192,13.72017 ± 0.193,13.88034 ± 0.163,13.33636 ± 0.178,14.48222 ± 0.234,14.87780 ± 0.282,14.72022 ± 0.263,57104.08472 ± 2440.922,14.08881 ± 0.176
Q1_Q4_0.25,15.51126 ± 0.139,14.70468 ± 0.214,14.37415 ± 0.135,13.59761 ± 0.104,13.62411 ± 0.113,13.90120 ± 0.104,13.98305 ± 0.152,14.48295 ± 0.144,13.33411 ± 0.193,15.19892 ± 0.237,15.13967 ± 0.133,15.13961 ± 0.148,57402.52389 ± 1463.272,14.51629 ± 0.190
Q2_Q3_0.25,13.64464 ± 0.156,13.62187 ± 0.151,12.69096 ± 0.105,12.85078 ± 0.213,12.75052 ± 0.209,12.89209 ± 0.153,12.82974 ± 0.072,12.61785 ± 0.111,12.79181 ± 0.172,14.04124 ± 0.210,14.43035 ± 0.258,14.50982 ± 0.256,58648.17317 ± 1678.953,12.88020 ± 0.128
Q2_Q4_0.25,14.07358 ± 0.231,14.80586 ± 0.182,13.80458 ± 0.210,13.40831 ± 0.226,13.03569 ± 0.098,13.26219 ± 0.198,13.47033 ± 0.192,13.84430 ± 0.286,13.03502 ± 0.224,14.75503 ± 0.269,14.91812 ± 0.605,14.97401 ± 0.334,58723.54942 ± 1542.379,13.85392 ± 0.335
Q3_Q4_0.25,13.57118 ± 0.240,15.21678 ± 0.193,13.89647 ± 0.209,13.21234 ± 0.168,13.00099 ± 0.084,13.00759 ± 0.107,13.50007 ± 0.217,13.79904 ± 0.257,12.90009 ± 0.188,14.48566 ± 0.416,15.18140 ± 0.117,14.97928 ± 0.160,60018.31479 ± 1091.234,13.92305 ± 0.140
Q1_0.25,15.06314 ± 0.112,12.54207 ± 0.199,13.74920 ± 0.151,13.33633 ± 0.189,13.16024 ± 0.087,13.28614 ± 0.143,13.37553 ± 0.123,13.74779 ± 0.125,13.09598 ± 0.144,14.26845 ± 0.351,14.44798 ± 0.350,14.34358 ± 0.251,59640.32760 ± 1420.772,13.77963 ± 0.119
Q2_0.25,13.36739 ± 0.277,12.75634 ± 0.133,12.70802 ± 0.099,12.72062 ± 0.082,12.74728 ± 0.098,12.78391 ± 0.135,12.82261 ± 0.151,12.72094 ± 0.143,12.62386 ± 0.174,14.05769 ± 0.150,14.03961 ± 0.222,14.11601 ± 0.251,62893.50803 ± 1586.266,12.77430 ± 0.145
Q3_0.25,13.00805 ± 0.100,13.71626 ± 0.104,12.76798 ± 0.122,12.70069 ± 0.113,12.67351 ± 0.167,12.73547 ± 0.148,12.72602 ± 0.137,12.81438 ± 0.168,12.80923 ± 0.125,14.25427 ± 0.193,14.23005 ± 0.279,14.14718 ± 0.161,61492.86675 ± 1072.158,12.81360 ± 0.190
Q4_0.25,13.39303 ± 0.224,14.74063 ± 0.235,13.51697 ± 0.146,13.12996 ± 0.070,13.01858 ± 0.108,12.97076 ± 0.139,13.26800 ± 0.140,13.67480 ± 0.135,12.87062 ± 0.180,14.86471 ± 0.341,14.94452 ± 0.352,15.09483 ± 0.197,61527.72953 ± 1577.721,13.59365 ± 0.169
