,mean,knn,mice,XGB,missforest,mf
Q1_Q2_1.0,9.74829 ± 0.112,11.11891 ± 0.125,10.00080 ± 0.108,10.63373 ± 0.096,10.06660 ± 0.125,9.45385 ± 0.096
Q1_Q3_1.0,9.66444 ± 0.103,10.95779 ± 0.107,10.01376 ± 0.114,10.62114 ± 0.230,9.85736 ± 0.092,9.61113 ± 0.079
Q1_Q4_1.0,11.12354 ± 0.099,11.82204 ± 0.167,11.28888 ± 0.163,11.50137 ± 0.191,11.30925 ± 0.158,10.45042 ± 0.087
Q2_Q3_1.0,6.31168 ± 0.097,8.10196 ± 0.120,6.99338 ± 0.096,7.90921 ± 0.230,7.34955 ± 0.076,6.56365 ± 0.103
Q2_Q4_1.0,7.52061 ± 0.098,9.40416 ± 0.243,8.35961 ± 0.218,8.55919 ± 0.197,8.06836 ± 0.154,8.30890 ± 0.153
Q3_Q4_1.0,7.34311 ± 0.073,9.35898 ± 0.253,8.45393 ± 0.237,9.00417 ± 0.230,7.90900 ± 0.154,8.04390 ± 0.093
Q1_1.0,8.38479 ± 0.088,10.09428 ± 0.141,8.94643 ± 0.119,9.40405 ± 0.269,8.66511 ± 0.156,8.80669 ± 0.119
Q2_1.0,5.99220 ± 0.123,6.99221 ± 0.167,6.28173 ± 0.159,6.68818 ± 0.118,6.15141 ± 0.122,6.17531 ± 0.068
Q3_1.0,6.27288 ± 0.099,6.98681 ± 0.090,6.46486 ± 0.161,6.89158 ± 0.117,6.39332 ± 0.116,6.63646 ± 0.170
Q4_1.0,6.66381 ± 0.083,8.57224 ± 0.091,7.00653 ± 0.091,7.45188 ± 0.272,6.74603 ± 0.168,7.61556 ± 0.103
