,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
0.1,0.113680586,0.0039383173,0.09535788,0.0033404715,0.11442745,0.012898817,0.09575924,0.011462523
0.2,0.119169354,0.0013544977,0.09871038,0.0013633412,0.119250596,0.005237904,0.09882711,0.0059595234
0.3,0.15308674,0.001195663,0.12639019,0.001802129,0.15417404,0.0073990943,0.12609437,0.0045267674
0.4,0.1669266,0.0025358372,0.13630599,0.0016271404,0.17532219,0.008306393,0.14117047,0.0045301486
0.5,0.18816274,0.003912633,0.15270749,0.0047758897,0.23020284,0.021998333,0.17152503,0.010088652
0.6,0.22058466,0.0057177045,0.18241058,0.0054044714,0.25629354,0.008874701,0.20491615,0.0070349765
0.7,0.24324873,0.0045475136,0.19626765,0.0049982984,0.28668872,0.018633997,0.22074378,0.009821895
0.8,0.29745376,0.00873036,0.2561379,0.0073872204,0.5290992,0.28521222,0.31656325,0.05695539
