,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.97843 ± 0.008,0.97709 ± 0.005,0.97707 ± 0.011,0.97313 ± 0.014,0.96772 ± 0.012,0.96899 ± 0.010,0.96630 ± 0.009,0.95425 ± 0.014,0.92311 ± 0.022,0.91777 ± 0.017,0.99863 ± 0.003,0.97298 ± 0.009
Q1_Q3_0.25,0.97175 ± 0.014,0.96766 ± 0.007,0.96502 ± 0.008,0.97170 ± 0.007,0.96775 ± 0.015,0.96506 ± 0.014,0.96359 ± 0.003,0.95158 ± 0.015,0.92188 ± 0.016,0.92050 ± 0.022,1.00000 ± 0.000,0.96636 ± 0.011
Q1_Q4_0.25,0.96229 ± 0.013,0.96226 ± 0.009,0.96484 ± 0.009,0.96901 ± 0.007,0.96230 ± 0.010,0.95147 ± 0.013,0.96100 ± 0.012,0.94328 ± 0.012,0.91106 ± 0.013,0.90577 ± 0.013,0.99733 ± 0.003,0.95280 ± 0.019
Q2_Q3_0.25,0.97033 ± 0.014,0.97310 ± 0.011,0.97984 ± 0.014,0.97037 ± 0.011,0.97449 ± 0.014,0.97577 ± 0.009,0.97578 ± 0.008,0.96094 ± 0.018,0.93664 ± 0.004,0.94349 ± 0.018,0.99866 ± 0.003,0.97572 ± 0.009
Q2_Q4_0.25,0.97841 ± 0.010,0.97156 ± 0.010,0.97437 ± 0.011,0.96629 ± 0.013,0.97157 ± 0.016,0.98250 ± 0.012,0.97166 ± 0.013,0.96494 ± 0.005,0.92967 ± 0.023,0.92977 ± 0.014,0.99866 ± 0.003,0.97842 ± 0.010
Q3_Q4_0.25,0.97978 ± 0.007,0.97982 ± 0.008,0.97172 ± 0.011,0.96353 ± 0.014,0.97030 ± 0.014,0.97843 ± 0.009,0.97035 ± 0.012,0.95831 ± 0.015,0.92311 ± 0.020,0.92037 ± 0.007,0.99732 ± 0.003,0.98125 ± 0.012
Q1_0.25,0.95954 ± 0.007,0.96626 ± 0.010,0.97163 ± 0.012,0.97431 ± 0.009,0.97167 ± 0.009,0.96222 ± 0.009,0.97029 ± 0.014,0.95556 ± 0.019,0.93810 ± 0.010,0.93133 ± 0.014,0.99866 ± 0.003,0.96631 ± 0.010
Q2_0.25,0.97037 ± 0.016,0.98249 ± 0.009,0.97705 ± 0.012,0.97168 ± 0.013,0.96902 ± 0.014,0.96635 ± 0.016,0.97167 ± 0.015,0.96496 ± 0.014,0.94476 ± 0.009,0.93257 ± 0.019,1.00000 ± 0.000,0.97977 ± 0.007
Q3_0.25,0.97973 ± 0.010,0.97168 ± 0.012,0.97841 ± 0.010,0.97840 ± 0.011,0.97838 ± 0.009,0.97300 ± 0.010,0.97301 ± 0.010,0.95825 ± 0.014,0.93248 ± 0.008,0.94608 ± 0.015,0.99733 ± 0.003,0.98515 ± 0.005
Q4_0.25,0.98390 ± 0.010,0.97041 ± 0.012,0.97176 ± 0.013,0.97716 ± 0.008,0.96771 ± 0.011,0.97988 ± 0.012,0.97172 ± 0.010,0.95146 ± 0.013,0.93537 ± 0.018,0.93669 ± 0.011,0.99867 ± 0.003,0.98656 ± 0.006
Q1_Q2_0.5,0.93797 ± 0.008,0.96226 ± 0.008,0.94745 ± 0.014,0.94753 ± 0.017,0.96629 ± 0.009,0.93658 ± 0.009,0.94882 ± 0.024,0.95833 ± 0.010,0.90839 ± 0.013,0.92053 ± 0.008,1.00000 ± 0.000,0.93517 ± 0.020
Q1_Q3_0.5,0.95957 ± 0.011,0.96353 ± 0.014,0.95942 ± 0.011,0.95677 ± 0.007,0.95946 ± 0.020,0.96081 ± 0.020,0.95947 ± 0.006,0.94085 ± 0.008,0.91248 ± 0.017,0.90843 ± 0.022,1.00000 ± 0.000,0.96356 ± 0.013
Q1_Q4_0.5,0.93651 ± 0.008,0.96497 ± 0.012,0.95276 ± 0.011,0.94613 ± 0.011,0.93649 ± 0.016,0.95269 ± 0.010,0.94042 ± 0.022,0.94468 ± 0.014,0.85148 ± 0.011,0.88254 ± 0.019,0.99867 ± 0.003,0.93801 ± 0.011
Q2_Q3_0.5,0.97170 ± 0.010,0.97034 ± 0.009,0.96372 ± 0.016,0.96366 ± 0.009,0.98121 ± 0.009,0.97440 ± 0.009,0.96232 ± 0.011,0.96770 ± 0.014,0.93406 ± 0.009,0.91255 ± 0.015,0.99867 ± 0.003,0.97572 ± 0.009
Q2_Q4_0.5,0.95683 ± 0.011,0.96634 ± 0.007,0.95289 ± 0.017,0.95267 ± 0.015,0.96363 ± 0.014,0.95554 ± 0.020,0.95549 ± 0.015,0.94759 ± 0.013,0.89622 ± 0.014,0.87886 ± 0.023,0.99866 ± 0.003,0.95963 ± 0.008
Q3_Q4_0.5,0.95142 ± 0.005,0.96495 ± 0.005,0.95823 ± 0.010,0.96498 ± 0.010,0.95959 ± 0.013,0.95957 ± 0.011,0.96223 ± 0.008,0.95013 ± 0.019,0.87199 ± 0.012,0.87591 ± 0.008,1.00000 ± 0.000,0.95411 ± 0.011
Q1_0.5,0.97035 ± 0.003,0.97304 ± 0.004,0.97040 ± 0.013,0.97164 ± 0.011,0.97032 ± 0.009,0.96629 ± 0.006,0.97036 ± 0.009,0.94473 ± 0.014,0.91110 ± 0.015,0.92741 ± 0.019,0.99599 ± 0.005,0.96770 ± 0.006
Q2_0.5,0.96765 ± 0.009,0.97841 ± 0.011,0.97292 ± 0.012,0.97560 ± 0.017,0.97580 ± 0.016,0.97169 ± 0.018,0.97031 ± 0.017,0.95817 ± 0.011,0.92581 ± 0.010,0.94207 ± 0.014,0.99863 ± 0.003,0.97843 ± 0.012
Q3_0.5,0.97569 ± 0.010,0.97304 ± 0.007,0.97579 ± 0.013,0.97567 ± 0.011,0.96903 ± 0.015,0.96082 ± 0.016,0.96900 ± 0.011,0.95547 ± 0.014,0.92446 ± 0.012,0.92167 ± 0.014,0.99866 ± 0.003,0.97028 ± 0.013
Q4_0.5,0.96366 ± 0.005,0.97453 ± 0.014,0.96502 ± 0.006,0.95679 ± 0.009,0.96495 ± 0.003,0.96769 ± 0.008,0.96365 ± 0.007,0.95152 ± 0.019,0.88783 ± 0.017,0.89056 ± 0.021,0.99726 ± 0.005,0.96497 ± 0.012
Q1_Q2_0.75,0.90147 ± 0.014,0.93534 ± 0.014,0.91230 ± 0.017,0.91779 ± 0.019,0.92873 ± 0.015,0.90967 ± 0.013,0.92335 ± 0.021,0.95164 ± 0.019,0.88682 ± 0.027,0.90181 ± 0.019,0.99863 ± 0.003,0.90976 ± 0.016
Q1_Q3_0.75,0.89473 ± 0.018,0.95570 ± 0.022,0.93130 ± 0.013,0.92193 ± 0.016,0.92175 ± 0.018,0.92322 ± 0.017,0.93142 ± 0.019,0.95843 ± 0.021,0.87047 ± 0.020,0.88923 ± 0.009,0.99732 ± 0.003,0.93277 ± 0.017
Q1_Q4_0.75,0.90972 ± 0.017,0.93538 ± 0.020,0.90285 ± 0.025,0.89487 ± 0.027,0.91932 ± 0.021,0.91789 ± 0.012,0.90703 ± 0.016,0.91508 ± 0.015,0.80675 ± 0.022,0.79561 ± 0.019,0.99866 ± 0.003,0.92460 ± 0.018
Q2_Q3_0.75,0.97570 ± 0.011,0.96372 ± 0.007,0.94756 ± 0.017,0.95833 ± 0.015,0.96504 ± 0.010,0.96355 ± 0.010,0.95018 ± 0.016,0.98923 ± 0.009,0.90156 ± 0.018,0.91390 ± 0.019,1.00000 ± 0.000,0.97305 ± 0.011
Q2_Q4_0.75,0.94324 ± 0.012,0.96508 ± 0.009,0.93657 ± 0.014,0.94735 ± 0.014,0.93927 ± 0.021,0.94873 ± 0.014,0.93518 ± 0.012,0.94886 ± 0.005,0.85969 ± 0.018,0.87405 ± 0.023,0.99863 ± 0.003,0.94474 ± 0.012
Q3_Q4_0.75,0.92434 ± 0.011,0.94886 ± 0.014,0.91790 ± 0.032,0.94341 ± 0.019,0.93407 ± 0.019,0.92988 ± 0.004,0.92203 ± 0.011,0.93678 ± 0.027,0.82206 ± 0.028,0.80824 ± 0.016,1.00000 ± 0.000,0.92861 ± 0.021
Q1_0.75,0.93141 ± 0.012,0.94617 ± 0.008,0.94883 ± 0.018,0.94202 ± 0.020,0.94605 ± 0.010,0.92995 ± 0.010,0.94196 ± 0.016,0.94349 ± 0.014,0.90565 ± 0.008,0.91253 ± 0.012,0.99863 ± 0.003,0.93408 ± 0.013
Q2_0.75,0.96764 ± 0.017,0.98118 ± 0.009,0.96907 ± 0.011,0.95549 ± 0.012,0.97037 ± 0.010,0.96768 ± 0.014,0.96362 ± 0.008,0.96370 ± 0.013,0.92872 ± 0.010,0.93137 ± 0.013,0.99867 ± 0.003,0.97448 ± 0.014
Q3_0.75,0.97710 ± 0.012,0.95958 ± 0.015,0.97043 ± 0.011,0.96769 ± 0.010,0.96080 ± 0.008,0.97033 ± 0.009,0.96627 ± 0.010,0.95966 ± 0.028,0.93656 ± 0.023,0.92059 ± 0.011,0.99866 ± 0.003,0.97444 ± 0.011
Q4_0.75,0.95555 ± 0.007,0.96769 ± 0.010,0.95418 ± 0.024,0.95681 ± 0.007,0.97038 ± 0.013,0.97035 ± 0.012,0.95004 ± 0.012,0.93650 ± 0.017,0.87155 ± 0.029,0.84711 ± 0.008,1.00000 ± 0.000,0.95279 ± 0.014
Q1_Q2_1.0,0.78776 ± 0.035,0.80194 ± 0.012,0.76582 ± 0.021,0.73408 ± 0.136,0.82578 ± 0.014,0.79321 ± 0.021,0.79251 ± 0.025,0.89469 ± 0.014,0.76521 ± 0.030,0.77496 ± 0.022,0.99863 ± 0.003,0.83005 ± 0.021
Q1_Q3_1.0,0.88936 ± 0.014,0.88800 ± 0.025,0.87353 ± 0.010,0.89104 ± 0.023,0.88931 ± 0.010,0.88921 ± 0.019,0.86489 ± 0.012,0.95571 ± 0.021,0.84839 ± 0.022,0.83632 ± 0.018,0.99866 ± 0.003,0.90288 ± 0.029
Q1_Q4_1.0,0.80461 ± 0.026,0.82933 ± 0.016,0.79700 ± 0.015,0.58401 ± 0.132,0.80214 ± 0.024,0.81670 ± 0.017,0.78292 ± 0.022,0.82181 ± 0.043,0.68013 ± 0.019,0.71867 ± 0.021,1.00000 ± 0.000,0.84867 ± 0.022
Q2_Q3_1.0,0.96497 ± 0.018,0.95559 ± 0.013,0.94078 ± 0.017,0.94763 ± 0.011,0.96239 ± 0.014,0.93929 ± 0.017,0.94477 ± 0.015,0.99732 ± 0.003,0.90991 ± 0.020,0.88971 ± 0.017,1.00000 ± 0.000,0.97570 ± 0.015
Q2_Q4_1.0,0.89347 ± 0.012,0.89878 ± 0.011,0.90268 ± 0.016,0.89581 ± 0.010,0.90282 ± 0.019,0.92060 ± 0.009,0.89997 ± 0.022,0.94221 ± 0.018,0.82844 ± 0.015,0.82100 ± 0.023,0.99728 ± 0.003,0.91381 ± 0.028
Q3_Q4_1.0,0.83816 ± 0.017,0.83266 ± 0.019,0.81897 ± 0.020,0.81783 ± 0.016,0.83059 ± 0.016,0.85208 ± 0.020,0.83357 ± 0.019,0.88572 ± 0.017,0.74090 ± 0.018,0.72673 ± 0.016,1.00000 ± 0.000,0.86493 ± 0.016
Q1_1.0,0.89998 ± 0.024,0.92304 ± 0.028,0.89629 ± 0.021,0.71230 ± 0.174,0.90552 ± 0.014,0.90412 ± 0.017,0.90821 ± 0.015,0.93401 ± 0.018,0.87594 ± 0.008,0.88437 ± 0.013,1.00000 ± 0.000,0.90149 ± 0.010
Q2_1.0,0.96099 ± 0.021,0.96769 ± 0.016,0.96630 ± 0.010,0.95964 ± 0.011,0.96626 ± 0.012,0.95962 ± 0.007,0.94880 ± 0.010,0.97047 ± 0.022,0.93415 ± 0.024,0.94082 ± 0.015,0.99599 ± 0.005,0.96626 ± 0.015
Q3_1.0,0.97306 ± 0.013,0.96230 ± 0.018,0.96908 ± 0.012,0.96506 ± 0.011,0.96912 ± 0.010,0.96630 ± 0.012,0.94470 ± 0.008,0.97034 ± 0.025,0.91234 ± 0.020,0.90438 ± 0.018,1.00000 ± 0.000,0.98256 ± 0.009
Q4_1.0,0.90294 ± 0.023,0.89885 ± 0.018,0.90390 ± 0.014,0.89068 ± 0.016,0.92014 ± 0.019,0.91119 ± 0.014,0.91100 ± 0.015,0.89877 ± 0.012,0.81450 ± 0.022,0.81628 ± 0.030,1.00000 ± 0.000,0.92709 ± 0.016
