,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Q1_Q2_0.25,0.44648,0.24826,0.20724,0.14778,0.16217,0.12108,0.11803,0.1674,0.22924,0.11753,0.18225,0.12389,0.12969,0.18588
Q1_Q3_0.25,0.43551,0.34033,0.18736,0.1417,0.15248,0.11201,0.11515,0.15096,0.21345,0.10697,0.15683,0.1237,0.12636,0.20244
Q1_Q4_0.25,0.44131,0.48653,0.27671,0.18112,0.21632,0.13298,0.1512,0.1605,0.29468,0.13688,0.19616,0.16871,0.16421,0.31246
Q2_Q3_0.25,0.3874,0.38326,0.09334,0.12102,0.10154,0.10257,0.10113,0.13232,0.13765,0.08639,0.14175,0.10671,0.10364,0.15999
Q2_Q4_0.25,0.39872,0.51904,0.23404,0.16942,0.17803,0.1262,0.14289,0.1499,0.25394,0.12291,0.1787,0.15892,0.14985,0.28977
Q3_Q4_0.25,0.38439,0.56294,0.23517,0.17625,0.17619,0.12526,0.13691,0.15585,0.25596,0.12075,0.20224,0.15994,0.15189,0.29262
Q1_0.25,0.48403,0.1548,0.2639,0.1614,0.19146,0.11515,0.12761,0.13718,0.28387,0.1223,0.15547,0.12941,0.13263,0.22207
Q2_0.25,0.40329,0.30968,0.10859,0.11871,0.10419,0.09038,0.0836,0.15044,0.14906,0.08399,0.10834,0.09692,0.0975,0.13766
Q3_0.25,0.36584,0.44762,0.085,0.12111,0.10147,0.08898,0.10024,0.12871,0.13274,0.08677,0.13469,0.11322,0.10947,0.18293
Q4_0.25,0.39792,0.66885,0.32532,0.20373,0.24084,0.14147,0.17718,0.16456,0.34093,0.15018,0.25964,0.20543,0.19236,0.39181
Q1_Q2_0.5,0.45053,0.2445,0.23755,0.16018,0.19956,0.1441,0.13203,0.20643,0.25814,0.13151,0.28193,0.13405,0.14261,0.20109
Q1_Q3_0.5,0.43569,0.33692,0.20126,0.15356,0.17161,0.137,0.13088,0.19358,0.22471,0.12512,0.22832,0.13322,0.13717,0.21182
Q1_Q4_0.5,0.4389,0.47829,0.27553,0.2095,0.24958,0.17105,0.18633,0.21591,0.29323,0.15864,0.2658,0.19097,0.18784,0.30544
Q2_Q3_0.5,0.38765,0.38391,0.09669,0.13538,0.10926,0.11277,0.12054,17.42232,0.1396,0.10329,0.22171,0.11883,0.11378,0.1548
Q2_Q4_0.5,0.39897,0.51507,0.23735,0.17999,0.19962,0.15958,0.15829,0.75872,0.25954,0.14729,0.26962,0.17649,0.16635,0.27619
Q3_Q4_0.5,0.37984,0.56324,0.26228,0.19284,0.22181,0.16573,0.16431,0.21206,0.28038,0.14819,0.3237,0.19002,0.17552,0.29139
Q1_0.5,0.48221,0.15943,0.27673,0.18186,0.22087,0.14255,0.14662,4.01713,0.29384,0.15316,0.26839,0.1461,0.1509,0.22705
Q2_0.5,0.4104,0.30667,0.11479,0.11889,0.10489,0.1021,0.10078,0.18238,0.14976,0.08681,0.14545,0.10278,0.10248,0.13598
Q3_0.5,0.36769,0.44555,0.08897,0.13436,0.10421,0.10529,0.11581,0.1543,0.13478,0.09493,0.16183,0.11992,0.11556,0.17906
