,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.97430 ± 0.011,0.97575 ± 0.012,0.93803 ± 0.017,0.95428 ± 0.005,0.95550 ± 0.014,0.95282 ± 0.008,0.95553 ± 0.010,0.94486 ± 0.020,0.95280 ± 0.017,0.93389 ± 0.015,0.90247 ± 0.015,0.91220 ± 0.021,0.98111 ± 0.008,0.94333 ± 0.018
Q1_Q3_0.25,0.96625 ± 0.011,0.94203 ± 0.007,0.94468 ± 0.013,0.93930 ± 0.015,0.94340 ± 0.010,0.94198 ± 0.005,0.94332 ± 0.013,0.93268 ± 0.023,0.93667 ± 0.012,0.91791 ± 0.014,0.90824 ± 0.033,0.90851 ± 0.018,0.98511 ± 0.009,0.93538 ± 0.023
Q1_Q4_0.25,0.93935 ± 0.012,0.94846 ± 0.014,0.92581 ± 0.009,0.94338 ± 0.019,0.94198 ± 0.017,0.92970 ± 0.012,0.94082 ± 0.016,0.93657 ± 0.011,0.93801 ± 0.021,0.90141 ± 0.009,0.88488 ± 0.020,0.86852 ± 0.034,0.98924 ± 0.011,0.93257 ± 0.008
Q2_Q3_0.25,0.97303 ± 0.013,0.96066 ± 0.016,0.95685 ± 0.013,0.95690 ± 0.009,0.94874 ± 0.009,0.95135 ± 0.013,0.94736 ± 0.018,0.94872 ± 0.013,0.95005 ± 0.010,0.92851 ± 0.014,0.91074 ± 0.007,0.92045 ± 0.006,0.97710 ± 0.010,0.95684 ± 0.017
Q2_Q4_0.25,0.96214 ± 0.015,0.95552 ± 0.007,0.95131 ± 0.015,0.94879 ± 0.009,0.94867 ± 0.005,0.94732 ± 0.005,0.94989 ± 0.013,0.94719 ± 0.012,0.94997 ± 0.007,0.92566 ± 0.013,0.90817 ± 0.013,0.90809 ± 0.012,0.97977 ± 0.007,0.94867 ± 0.013
Q3_Q4_0.25,0.97036 ± 0.017,0.94597 ± 0.022,0.94317 ± 0.014,0.93391 ± 0.017,0.94194 ± 0.012,0.94332 ± 0.017,0.93772 ± 0.014,0.93370 ± 0.010,0.93369 ± 0.011,0.91489 ± 0.016,0.88791 ± 0.023,0.88235 ± 0.003,0.97702 ± 0.010,0.94458 ± 0.014
Q1_0.25,0.94700 ± 0.018,0.96226 ± 0.012,0.95542 ± 0.015,0.96622 ± 0.011,0.95821 ± 0.015,0.95819 ± 0.009,0.95816 ± 0.013,0.95550 ± 0.017,0.95819 ± 0.015,0.92720 ± 0.011,0.92835 ± 0.016,0.91612 ± 0.015,0.98249 ± 0.011,0.95405 ± 0.017
Q2_0.25,0.96360 ± 0.005,0.96482 ± 0.014,0.95547 ± 0.013,0.95280 ± 0.009,0.95811 ± 0.013,0.95685 ± 0.003,0.95408 ± 0.013,0.94994 ± 0.014,0.95408 ± 0.016,0.92178 ± 0.011,0.91907 ± 0.005,0.91778 ± 0.013,0.96207 ± 0.011,0.95954 ± 0.010
Q3_0.25,0.95946 ± 0.019,0.94869 ± 0.011,0.95823 ± 0.012,0.95683 ± 0.020,0.94873 ± 0.014,0.95412 ± 0.013,0.96224 ± 0.013,0.95144 ± 0.012,0.95411 ± 0.018,0.93254 ± 0.004,0.91507 ± 0.015,0.92045 ± 0.011,0.97287 ± 0.017,0.96092 ± 0.013
Q4_0.25,0.96079 ± 0.010,0.94979 ± 0.011,0.95120 ± 0.013,0.94601 ± 0.018,0.94329 ± 0.008,0.94871 ± 0.012,0.94594 ± 0.011,0.94585 ± 0.019,0.94197 ± 0.009,0.92560 ± 0.010,0.91212 ± 0.013,0.91509 ± 0.015,0.97563 ± 0.013,0.94988 ± 0.013
