,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.85667 ± 0.026,0.86082 ± 0.018,0.85018 ± 0.018,0.83955 ± 0.020,0.85414 ± 0.016,0.85275 ± 0.010,0.84608 ± 0.018,0.83134 ± 0.008,0.84752 ± 0.007,0.84846 ± 0.021,0.84079 ± 0.028,0.84611 ± 0.028
Q1_Q3_0.25,0.85438 ± 0.030,0.85565 ± 0.023,0.85170 ± 0.015,0.85965 ± 0.018,0.86652 ± 0.023,0.85588 ± 0.025,0.84649 ± 0.008,0.84109 ± 0.018,0.83951 ± 0.008,0.84752 ± 0.023,0.83669 ± 0.029,0.85719 ± 0.030
Q1_Q4_0.25,0.85024 ± 0.024,0.86065 ± 0.023,0.83436 ± 0.018,0.81794 ± 0.016,0.83957 ± 0.009,0.84762 ± 0.014,0.83951 ± 0.014,0.81660 ± 0.016,0.82261 ± 0.023,0.83637 ± 0.025,0.80752 ± 0.050,0.85570 ± 0.024
Q2_Q3_0.25,0.86495 ± 0.024,0.87479 ± 0.016,0.87848 ± 0.014,0.87065 ± 0.012,0.86642 ± 0.012,0.87589 ± 0.011,0.87447 ± 0.014,0.85158 ± 0.009,0.85962 ± 0.023,0.86902 ± 0.012,0.83297 ± 0.048,0.86763 ± 0.019
Q2_Q4_0.25,0.88407 ± 0.011,0.89067 ± 0.018,0.87565 ± 0.017,0.86779 ± 0.018,0.87850 ± 0.011,0.87075 ± 0.009,0.86773 ± 0.018,0.85828 ± 0.011,0.85538 ± 0.011,0.85698 ± 0.019,0.80631 ± 0.029,0.88543 ± 0.007
Q3_Q4_0.25,0.85958 ± 0.015,0.87997 ± 0.009,0.85573 ± 0.013,0.85168 ± 0.010,0.87733 ± 0.015,0.87046 ± 0.020,0.85717 ± 0.012,0.83778 ± 0.009,0.83517 ± 0.013,0.84192 ± 0.020,0.84360 ± 0.031,0.86474 ± 0.019
Q1_0.25,0.84076 ± 0.025,0.85957 ± 0.020,0.86100 ± 0.010,0.85975 ± 0.010,0.85967 ± 0.017,0.84902 ± 0.023,0.85961 ± 0.011,0.84767 ± 0.016,0.84468 ± 0.029,0.84051 ± 0.013,0.84528 ± 0.023,0.84320 ± 0.021
Q2_0.25,0.87175 ± 0.012,0.87462 ± 0.014,0.86799 ± 0.017,0.86513 ± 0.017,0.87601 ± 0.010,0.87604 ± 0.018,0.87067 ± 0.018,0.84919 ± 0.013,0.85171 ± 0.016,0.84498 ± 0.017,0.85817 ± 0.072,0.86276 ± 0.016
Q3_0.25,0.85948 ± 0.020,0.85960 ± 0.019,0.87051 ± 0.017,0.87726 ± 0.007,0.86635 ± 0.012,0.85692 ± 0.016,0.86367 ± 0.012,0.85289 ± 0.020,0.85152 ± 0.012,0.85555 ± 0.019,0.82229 ± 0.041,0.85703 ± 0.023
Q4_0.25,0.88257 ± 0.021,0.88536 ± 0.022,0.86233 ± 0.018,0.86255 ± 0.017,0.87591 ± 0.012,0.87717 ± 0.017,0.87182 ± 0.021,0.85980 ± 0.018,0.85383 ± 0.018,0.86339 ± 0.013,0.83123 ± 0.047,0.88925 ± 0.017
Q1_Q2_0.5,0.83172 ± 0.016,0.86054 ± 0.009,0.82150 ± 0.011,0.80678 ± 0.030,0.83371 ± 0.019,0.83100 ± 0.015,0.82824 ± 0.022,0.82147 ± 0.021,0.84200 ± 0.029,0.82983 ± 0.035,0.77908 ± 0.053,0.82089 ± 0.013
Q1_Q3_0.5,0.86615 ± 0.012,0.85239 ± 0.020,0.84838 ± 0.017,0.84399 ± 0.022,0.85161 ± 0.011,0.87973 ± 0.010,0.84038 ± 0.013,0.83143 ± 0.010,0.83914 ± 0.018,0.84613 ± 0.004,0.77691 ± 0.027,0.87314 ± 0.016
Q1_Q4_0.5,0.84167 ± 0.023,0.86306 ± 0.025,0.85897 ± 0.010,0.84037 ± 0.009,0.84974 ± 0.016,0.84034 ± 0.011,0.84930 ± 0.013,0.82058 ± 0.025,0.80450 ± 0.020,0.80572 ± 0.024,0.81971 ± 0.025,0.84890 ± 0.020
Q2_Q3_0.5,0.86390 ± 0.023,0.87663 ± 0.023,0.85159 ± 0.009,0.84180 ± 0.014,0.86781 ± 0.019,0.86497 ± 0.011,0.86916 ± 0.010,0.83678 ± 0.016,0.86231 ± 0.009,0.85013 ± 0.018,0.82910 ± 0.059,0.86660 ± 0.016
Q2_Q4_0.5,0.86034 ± 0.024,0.87974 ± 0.024,0.84360 ± 0.014,0.84454 ± 0.010,0.85915 ± 0.009,0.85802 ± 0.014,0.84711 ± 0.017,0.84315 ± 0.027,0.82836 ± 0.027,0.81963 ± 0.004,0.83294 ± 0.044,0.86603 ± 0.015
Q3_Q4_0.5,0.86620 ± 0.020,0.85431 ± 0.027,0.83923 ± 0.007,0.83286 ± 0.018,0.85821 ± 0.014,0.86390 ± 0.022,0.83668 ± 0.021,0.80808 ± 0.017,0.80965 ± 0.014,0.79716 ± 0.023,0.87079 ± 0.013,0.86100 ± 0.023
