,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.82944 ± 0.004,0.77104 ± 0.004,0.77370 ± 0.004,0.76203 ± 0.004,0.76407 ± 0.004,0.76013 ± 0.003,0.76331 ± 0.005,0.77276 ± 0.004,0.75785 ± 0.003,0.76465 ± 0.006,0.78725 ± 0.010,0.78602 ± 0.010,0.88812 ± 0.004,0.78145 ± 0.005
Q1_Q3_0.25,0.82036 ± 0.005,0.79639 ± 0.004,0.76901 ± 0.003,0.76242 ± 0.004,0.76309 ± 0.003,0.76106 ± 0.004,0.76413 ± 0.004,0.76984 ± 0.003,0.76059 ± 0.004,0.76792 ± 0.004,0.78638 ± 0.005,0.78244 ± 0.005,0.88765 ± 0.004,0.77940 ± 0.002
Q1_Q4_0.25,0.83235 ± 0.004,0.82127 ± 0.004,0.79345 ± 0.003,0.77148 ± 0.004,0.77235 ± 0.004,0.76951 ± 0.004,0.77512 ± 0.004,0.79006 ± 0.004,0.76354 ± 0.005,0.79689 ± 0.009,0.79747 ± 0.010,0.79779 ± 0.005,0.88780 ± 0.004,0.80099 ± 0.003
Q2_Q3_0.25,0.80649 ± 0.004,0.79926 ± 0.005,0.75740 ± 0.004,0.76036 ± 0.004,0.75935 ± 0.003,0.75804 ± 0.004,0.76055 ± 0.004,0.76241 ± 0.004,0.75763 ± 0.004,0.76333 ± 0.005,0.77787 ± 0.012,0.78156 ± 0.013,0.88793 ± 0.004,0.76746 ± 0.004
Q2_Q4_0.25,0.81838 ± 0.003,0.83153 ± 0.004,0.77747 ± 0.003,0.76460 ± 0.003,0.76106 ± 0.004,0.75843 ± 0.003,0.76317 ± 0.003,0.77915 ± 0.004,0.75722 ± 0.004,0.77938 ± 0.004,0.79104 ± 0.012,0.78932 ± 0.007,0.88776 ± 0.004,0.78920 ± 0.005
Q3_Q4_0.25,0.81012 ± 0.002,0.84480 ± 0.005,0.78263 ± 0.004,0.76431 ± 0.004,0.76081 ± 0.004,0.76038 ± 0.004,0.76641 ± 0.004,0.77797 ± 0.004,0.75913 ± 0.004,0.77965 ± 0.008,0.79207 ± 0.015,0.77961 ± 0.011,0.88830 ± 0.004,0.79307 ± 0.005
Q1_0.25,0.81217 ± 0.006,0.76360 ± 0.004,0.76838 ± 0.003,0.76122 ± 0.003,0.76135 ± 0.003,0.75918 ± 0.003,0.76074 ± 0.003,0.76690 ± 0.003,0.75909 ± 0.003,0.76392 ± 0.004,0.77963 ± 0.008,0.78066 ± 0.010,0.88767 ± 0.004,0.77465 ± 0.005
Q2_0.25,0.79989 ± 0.006,0.77396 ± 0.004,0.75779 ± 0.004,0.75782 ± 0.004,0.75780 ± 0.003,0.75699 ± 0.004,0.75889 ± 0.004,0.76028 ± 0.004,0.75695 ± 0.003,0.76083 ± 0.003,0.77060 ± 0.003,0.78076 ± 0.013,0.88811 ± 0.004,0.76441 ± 0.005
Q3_0.25,0.78891 ± 0.005,0.78921 ± 0.005,0.75619 ± 0.004,0.75837 ± 0.003,0.75677 ± 0.003,0.75736 ± 0.003,0.75809 ± 0.004,0.75860 ± 0.004,0.75686 ± 0.004,0.76060 ± 0.005,0.77440 ± 0.009,0.77317 ± 0.010,0.88764 ± 0.004,0.76297 ± 0.004
Q4_0.25,0.79831 ± 0.005,0.82637 ± 0.004,0.77761 ± 0.004,0.76160 ± 0.004,0.75984 ± 0.004,0.75926 ± 0.004,0.76351 ± 0.004,0.77344 ± 0.005,0.75802 ± 0.004,0.78554 ± 0.009,0.77955 ± 0.009,0.78308 ± 0.009,0.88806 ± 0.004,0.78507 ± 0.005
