,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.80953 ± 0.014,0.73697 ± 0.005,0.74689 ± 0.003,0.73511 ± 0.006,0.73665 ± 0.006,0.73659 ± 0.004,0.74089 ± 0.003,0.74820 ± 0.004,0.73608 ± 0.003,0.75191 ± 0.007,0.78763 ± 0.006,0.78442 ± 0.014,16548.40355 ± 617.023,0.76106 ± 0.006
Q1_Q3_0.25,0.79848 ± 0.014,0.75588 ± 0.006,0.74265 ± 0.003,0.73768 ± 0.004,0.73725 ± 0.004,0.73292 ± 0.006,0.74066 ± 0.003,0.74303 ± 0.003,0.73333 ± 0.002,0.75425 ± 0.003,0.78448 ± 0.010,0.77898 ± 0.006,16245.74486 ± 1218.563,0.75619 ± 0.005
Q1_Q4_0.25,0.81642 ± 0.017,0.77256 ± 0.003,0.77527 ± 0.004,0.75457 ± 0.004,0.73408 ± 0.008,0.75110 ± 0.004,0.75532 ± 0.005,0.77244 ± 0.004,0.74531 ± 0.006,0.78270 ± 0.003,0.79965 ± 0.015,0.79724 ± 0.006,15138.50783 ± 941.184,0.78343 ± 0.004
Q2_Q3_0.25,0.76953 ± 0.007,0.75254 ± 0.004,0.72934 ± 0.003,0.73366 ± 0.005,0.73145 ± 0.003,0.73284 ± 0.005,0.73519 ± 0.005,0.73644 ± 0.004,0.73121 ± 0.005,0.74435 ± 0.005,0.77516 ± 0.013,0.77835 ± 0.020,16101.29171 ± 743.941,0.74617 ± 0.006
Q2_Q4_0.25,0.79029 ± 0.011,0.77748 ± 0.005,0.74754 ± 0.007,0.74269 ± 0.005,0.73483 ± 0.007,0.73242 ± 0.004,0.73965 ± 0.005,0.75466 ± 0.006,0.73133 ± 0.005,0.76065 ± 0.007,0.78798 ± 0.015,0.78482 ± 0.008,16422.58149 ± 468.047,0.76734 ± 0.006
Q3_Q4_0.25,0.76887 ± 0.011,0.77688 ± 0.004,0.75109 ± 0.006,0.73776 ± 0.006,0.73211 ± 0.004,0.73240 ± 0.004,0.74013 ± 0.004,0.75016 ± 0.004,0.73246 ± 0.004,0.76010 ± 0.010,0.79249 ± 0.012,0.77555 ± 0.011,15229.97585 ± 760.609,0.77047 ± 0.005
Q1_0.25,0.78318 ± 0.008,0.73189 ± 0.003,0.74439 ± 0.004,0.73643 ± 0.004,0.73594 ± 0.004,0.73321 ± 0.003,0.73854 ± 0.003,0.74300 ± 0.004,0.73419 ± 0.003,0.74956 ± 0.004,0.77998 ± 0.007,0.77847 ± 0.012,15742.35896 ± 534.635,0.75091 ± 0.005
Q2_0.25,0.76730 ± 0.009,0.73917 ± 0.004,0.72863 ± 0.003,0.72955 ± 0.003,0.72992 ± 0.004,0.72902 ± 0.004,0.73091 ± 0.003,0.73140 ± 0.003,0.72895 ± 0.003,0.74084 ± 0.003,0.76836 ± 0.007,0.77645 ± 0.012,16974.55217 ± 671.847,0.73809 ± 0.005
Q3_0.25,0.75079 ± 0.006,0.75277 ± 0.005,0.72809 ± 0.004,0.73149 ± 0.005,0.72819 ± 0.003,0.72853 ± 0.003,0.73153 ± 0.006,0.73305 ± 0.007,0.72999 ± 0.005,0.73976 ± 0.007,0.77222 ± 0.010,0.76582 ± 0.015,16874.29158 ± 1363.915,0.73931 ± 0.005
Q4_0.25,0.75734 ± 0.011,0.76019 ± 0.007,0.74752 ± 0.004,0.73537 ± 0.004,0.73226 ± 0.004,0.73251 ± 0.003,0.73721 ± 0.005,0.74344 ± 0.005,0.73168 ± 0.004,0.76373 ± 0.007,0.77636 ± 0.011,0.77642 ± 0.009,16701.25563 ± 683.538,0.75719 ± 0.005
Q1_Q2_0.5,0.83067 ± 0.003,0.73551 ± 0.004,0.76554 ± 0.006,0.77066 ± 0.005,0.75688 ± 0.005,0.75234 ± 0.002,0.75792 ± 0.005,0.76942 ± 0.006,0.74847 ± 0.005,0.76813 ± 0.009,0.80560 ± 0.005,0.80675 ± 0.013,15281.84079 ± 525.056,0.78796 ± 0.005
Q1_Q3_0.5,0.83783 ± 0.011,0.76115 ± 0.003,0.77212 ± 0.005,0.77002 ± 0.006,0.75696 ± 0.006,0.75371 ± 0.006,0.76190 ± 0.005,0.77392 ± 0.007,0.75183 ± 0.006,0.77392 ± 0.006,0.80409 ± 0.004,0.79805 ± 0.006,15833.78204 ± 472.166,0.78525 ± 0.005
Q1_Q4_0.5,0.85031 ± 0.005,0.80018 ± 0.006,0.80818 ± 0.006,0.79674 ± 0.003,0.76997 ± 0.008,0.78538 ± 0.005,0.78125 ± 0.005,0.80542 ± 0.005,0.77001 ± 0.005,0.80838 ± 0.003,0.81859 ± 0.009,0.81853 ± 0.014,15920.74180 ± 495.966,0.82608 ± 0.006
Q2_Q3_0.5,0.79087 ± 0.008,0.76250 ± 0.007,0.73400 ± 0.004,0.74624 ± 0.003,0.73699 ± 0.004,0.73622 ± 0.003,0.74342 ± 0.004,0.74650 ± 0.003,0.73365 ± 0.007,0.74943 ± 0.006,0.79973 ± 0.007,0.79307 ± 0.020,15127.03496 ± 628.956,0.76524 ± 0.006
Q2_Q4_0.5,0.81831 ± 0.014,0.80626 ± 0.007,0.76692 ± 0.005,0.76130 ± 0.005,0.74650 ± 0.002,0.74646 ± 0.003,0.75439 ± 0.003,0.76599 ± 0.004,0.74286 ± 0.004,0.77673 ± 0.011,0.79672 ± 0.015,0.79916 ± 0.006,14231.44251 ± 861.183,0.79972 ± 0.006
Q3_Q4_0.5,0.78482 ± 0.009,0.78868 ± 0.004,0.77236 ± 0.004,0.76728 ± 0.006,0.74394 ± 0.005,0.74694 ± 0.006,0.75340 ± 0.008,0.76639 ± 0.013,0.74352 ± 0.004,0.77817 ± 0.005,0.80256 ± 0.002,0.80394 ± 0.005,15647.41917 ± 774.664,0.80293 ± 0.004
