,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.45734 ± 0.003,0.19115 ± 0.001,0.10461 ± 0.001,0.08533 ± 0.001,0.07260 ± 0.001,0.06632 ± 0.001,0.08006 ± 0.001,0.10338 ± 0.001,0.06512 ± 0.001,0.08649 ± 0.012,0.08863 ± 0.003,0.08459 ± 0.005,0.10203 ± 0.002,0.14424 ± 0.001
Q1_Q3_0.25,0.44351 ± 0.005,0.22807 ± 0.001,0.09653 ± 0.001,0.07956 ± 0.002,0.06904 ± 0.001,0.06535 ± 0.001,0.07721 ± 0.001,0.09778 ± 0.001,0.06396 ± 0.000,0.09650 ± 0.005,0.08011 ± 0.002,0.07923 ± 0.004,0.10544 ± 0.002,0.13887 ± 0.001
Q1_Q4_0.25,0.42695 ± 0.002,0.30304 ± 0.001,0.14363 ± 0.001,0.10580 ± 0.001,0.10445 ± 0.004,0.09407 ± 0.001,0.11619 ± 0.002,0.13886 ± 0.001,0.08980 ± 0.001,0.15004 ± 0.004,0.12045 ± 0.002,0.12039 ± 0.001,0.15352 ± 0.001,0.17428 ± 0.001
Q2_Q3_0.25,0.41613 ± 0.001,0.25808 ± 0.000,0.04150 ± 0.000,0.06321 ± 0.001,0.05580 ± 0.002,0.05282 ± 0.001,0.05289 ± 0.001,0.06561 ± 0.001,0.05286 ± 0.001,0.08358 ± 0.006,0.05205 ± 0.002,0.05435 ± 0.002,0.07504 ± 0.001,0.10838 ± 0.001
Q2_Q4_0.25,0.39950 ± 0.002,0.32840 ± 0.001,0.12181 ± 0.001,0.09660 ± 0.000,0.08696 ± 0.001,0.08004 ± 0.001,0.09706 ± 0.001,0.12120 ± 0.001,0.08021 ± 0.001,0.14660 ± 0.026,0.10215 ± 0.003,0.10499 ± 0.002,0.13337 ± 0.001,0.15893 ± 0.001
Q3_Q4_0.25,0.38355 ± 0.003,0.35364 ± 0.000,0.12581 ± 0.001,0.09680 ± 0.000,0.08544 ± 0.001,0.07908 ± 0.001,0.09937 ± 0.001,0.12318 ± 0.001,0.07932 ± 0.001,0.15013 ± 0.016,0.10451 ± 0.004,0.11113 ± 0.003,0.13318 ± 0.002,0.16107 ± 0.001
Q1_0.25,0.47462 ± 0.007,0.15328 ± 0.001,0.13141 ± 0.001,0.09181 ± 0.002,0.08024 ± 0.001,0.07152 ± 0.001,0.09707 ± 0.000,0.12266 ± 0.002,0.07260 ± 0.001,0.09677 ± 0.020,0.10548 ± 0.004,0.09767 ± 0.007,0.12656 ± 0.003,0.16468 ± 0.001
Q2_0.25,0.43364 ± 0.004,0.22298 ± 0.001,0.04869 ± 0.000,0.06118 ± 0.001,0.04728 ± 0.000,0.04559 ± 0.001,0.04979 ± 0.000,0.06760 ± 0.002,0.04597 ± 0.001,0.07596 ± 0.007,0.05397 ± 0.003,0.05437 ± 0.004,0.07585 ± 0.002,0.11129 ± 0.002
Q3_0.25,0.39763 ± 0.003,0.28832 ± 0.001,0.03744 ± 0.000,0.06106 ± 0.001,0.04631 ± 0.002,0.04903 ± 0.001,0.05134 ± 0.000,0.06330 ± 0.001,0.04729 ± 0.001,0.08931 ± 0.008,0.04746 ± 0.002,0.04667 ± 0.001,0.07813 ± 0.001,0.10781 ± 0.001
Q4_0.25,0.36667 ± 0.002,0.41060 ± 0.002,0.17212 ± 0.001,0.11571 ± 0.002,0.11901 ± 0.007,0.09583 ± 0.001,0.13157 ± 0.002,0.16187 ± 0.002,0.09762 ± 0.002,0.20261 ± 0.008,0.13796 ± 0.003,0.14408 ± 0.006,0.17456 ± 0.003,0.19789 ± 0.004
