,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.82944,0.77104,0.77370,0.76203,0.76407,0.76013,0.76331,0.77276,0.75785,0.76465,0.78725,0.78602,0.88812,0.78145
Q1_Q3_0.25,0.82036,0.79639,0.76901,0.76242,0.76309,0.76106,0.76413,0.76984,0.76059,0.76792,0.78638,0.78244,0.88765,0.77940
Q1_Q4_0.25,0.83235,0.82127,0.79345,0.77148,0.77235,0.76951,0.77512,0.79006,0.76354,0.79689,0.79747,0.79779,0.88780,0.80099
Q2_Q3_0.25,0.80649,0.79926,0.75740,0.76036,0.75935,0.75804,0.76055,0.76241,0.75763,0.76333,0.77787,0.78156,0.88793,0.76746
Q2_Q4_0.25,0.81838,0.83153,0.77747,0.76460,0.76106,0.75843,0.76317,0.77915,0.75722,0.77938,0.79104,0.78932,0.88776,0.78920
Q3_Q4_0.25,0.81012,0.84480,0.78263,0.76431,0.76081,0.76038,0.76641,0.77797,0.75913,0.77965,0.79207,0.77961,0.88830,0.79307
Q1_0.25,0.81217,0.76360,0.76838,0.76122,0.76135,0.75918,0.76074,0.76690,0.75909,0.76392,0.77963,0.78066,0.88767,0.77465
Q2_0.25,0.79989,0.77396,0.75779,0.75782,0.75780,0.75699,0.75889,0.76028,0.75695,0.76083,0.77060,0.78076,0.88811,0.76441
Q3_0.25,0.78891,0.78921,0.75619,0.75837,0.75677,0.75736,0.75809,0.75860,0.75686,0.76060,0.77440,0.77317,0.88764,0.76297
Q4_0.25,0.79831,0.82637,0.77761,0.76160,0.75984,0.75926,0.76351,0.77344,0.75802,0.78554,0.77955,0.78308,0.88806,0.78507
Q1_Q2_0.5,0.85014,0.77658,0.79208,0.79455,0.77742,0.77100,0.77392,0.79174,0.76869,0.77352,0.80906,0.80704,0.88774,0.80525
Q1_Q3_0.5,0.84636,0.80776,0.78599,0.78714,0.77606,0.77177,0.77816,0.78755,0.76994,0.77992,0.80331,0.79919,0.88716,0.80083
Q1_Q4_0.5,0.85413,0.84518,0.81810,0.80908,0.78767,0.79724,0.79323,0.81566,0.78401,0.81284,0.81563,0.81587,0.88798,0.83149
