,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Q1_Q2_0.25,0.45734,0.19115,0.10461,0.08533,0.10338,0.0726,0.08006,0.06632,0.14424,0.06512,0.08649,0.08459,0.08863,0.10203
Q1_Q3_0.25,0.44351,0.22807,0.09653,0.07956,0.09778,0.06904,0.07721,0.06535,0.13887,0.06396,0.0965,0.07923,0.08011,0.10544
Q1_Q4_0.25,0.42695,0.30304,0.14363,0.1058,0.13886,0.10445,0.11619,0.09407,0.17428,0.0898,0.15004,0.12039,0.12045,0.15352
Q2_Q3_0.25,0.41613,0.25808,0.0415,0.06321,0.06561,0.0558,0.05289,0.05282,0.10838,0.05286,0.08358,0.05435,0.05205,0.07504
Q2_Q4_0.25,0.3995,0.3284,0.12181,0.0966,0.1212,0.08696,0.09706,0.08004,0.15893,0.08021,0.1466,0.10499,0.10215,0.13337
Q3_Q4_0.25,0.38355,0.35364,0.12581,0.0968,0.12318,0.08544,0.09937,0.07908,0.16107,0.07932,0.15013,0.11113,0.10451,0.13318
Q1_0.25,0.47462,0.15328,0.13141,0.09181,0.12266,0.08024,0.09707,0.07152,0.16468,0.0726,0.09677,0.09767,0.10548,0.12656
Q2_0.25,0.43364,0.22298,0.04869,0.06118,0.0676,0.04728,0.04979,0.04559,0.11129,0.04597,0.07596,0.05437,0.05397,0.07585
Q3_0.25,0.39763,0.28832,0.03744,0.06106,0.0633,0.04631,0.05134,0.04903,0.10781,0.04729,0.08931,0.04667,0.04746,0.07813
Q4_0.25,0.36667,0.4106,0.17212,0.11571,0.16187,0.11901,0.13157,0.09583,0.19789,0.09762,0.20261,0.14408,0.13796,0.17456
Q1_Q2_0.5,0.45498,0.19111,0.11856,0.11986,0.11978,0.09381,0.0878,0.08529,0.15581,0.08032,0.10164,0.09688,0.10189,0.10156
Q1_Q3_0.5,0.44192,0.22808,0.10248,0.10639,0.10626,0.08504,0.08576,0.07897,0.14343,0.07497,0.10029,0.08552,0.09086,0.10428
Q1_Q4_0.5,0.42819,0.30328,0.14306,0.13397,0.14401,0.11214,0.12212,0.11548,0.17495,0.10589,0.14238,0.1275,0.12675,0.15353
Q2_Q3_0.5,0.41547,0.25815,0.04177,0.07442,0.06823,0.0691,0.06558,0.06657,0.10812,0.06475,0.0812,0.05564,0.05844,0.07517
Q2_Q4_0.5,0.40064,0.32975,0.12811,0.11819,0.12872,0.09908,0.1058,0.09465,0.16213,0.0907,0.13677,0.11319,0.11066,0.13445
Q3_Q4_0.5,0.3833,0.35413,0.13869,0.13078,0.13821,0.1029,0.10906,0.09962,0.17128,0.09462,0.15526,0.12161,0.11765,0.13373
Q1_0.5,0.47678,0.15399,0.13996,0.11628,0.13443,0.09198,0.10448,0.08483,0.17306,0.08403,0.10204,0.11197,0.11232,0.1246
Q2_0.5,0.43295,0.22384,0.05093,0.06817,0.06997,0.05165,0.05278,0.05561,0.11294,0.05251,0.06958,0.05551,0.05651,0.07509
Q3_0.5,0.39772,0.28945,0.0401,0.06819,0.0648,0.05149,0.05931,0.05807,0.10776,0.05661,0.08814,0.05137,0.05144,0.07773
Q4_0.5,0.36682,0.40791,0.17936,0.13958,0.17368,0.12063,0.13979,0.11532,0.20539,0.11196,0.18845,0.15701,0.14725,0.17252
Q1_Q2_0.75,0.45429,0.19064,0.14074,0.16156,0.14663,0.11033,0.1043,0.11133,0.17271,0.09952,0.11192,0.12167,0.12868,0.10045
Q1_Q3_0.75,0.4409,0.22794,0.11173,0.13427,0.1172,0.09577,0.09221,0.09846,0.14977,0.09117,0.11245,0.09339,0.09781,0.10462
Q1_Q4_0.75,0.4268,0.30387,0.14379,0.15052,0.14751,0.12657,0.13154,0.13228,0.17496,0.123,0.15162,0.13746,0.1378,0.15527
Q2_Q3_0.75,0.4164,0.25746,0.04226,0.09302,0.07148,0.07119,0.07872,0.08323,0.10851,0.08052,0.08424,0.06176,0.06373,0.07476
Q2_Q4_0.75,0.40348,0.32871,0.13413,0.14297,0.13784,0.10593,0.11214,0.11034,0.16759,0.10306,0.14282,0.11873,0.11914,0.13369
Q3_Q4_0.75,0.38282,0.35493,0.15865,0.16914,0.16236,0.12067,0.12434,0.12355,0.18785,0.11472,0.16173,0.14124,0.13895,0.13452
Q1_0.75,0.47427,0.15383,0.1522,0.15972,0.15104,0.10348,0.1169,0.10346,0.183,0.09629,0.12062,0.12914,0.1252,0.12581
Q2_0.75,0.43169,0.22389,0.05406,0.07922,0.07362,0.05849,0.06008,0.06375,0.11346,0.05919,0.07122,0.05761,0.06118,0.07338
Q3_0.75,0.39935,0.28853,0.04123,0.07737,0.06678,0.05023,0.06614,0.06719,0.10825,0.06349,0.0948,0.05272,0.05248,0.07675
Q4_0.75,0.36706,0.41006,0.19283,0.18103,0.1922,0.13237,0.14939,0.13588,0.21738,0.12863,0.19129,0.17116,0.16807,0.1753
Q1_Q2_1.0,0.4551,0.19086,0.17437,0.19025,0.18186,0.18415,0.18247,0.18172,0.20044,0.18132,0.15593,0.17403,0.17926,0.10042
Q1_Q3_1.0,0.43932,0.22784,0.12833,0.15681,0.13787,0.11774,0.11088,0.12768,0.16264,0.1151,0.1049,0.11299,0.11859,0.10514
Q1_Q4_1.0,0.42717,0.30377,0.14429,0.1475,0.14618,0.14062,0.14481,0.14396,0.17584,0.14273,0.24559,0.14455,0.14439,0.1574
Q2_Q3_1.0,0.41568,0.2578,0.04344,0.11398,0.07679,0.07055,0.10226,0.10853,0.10931,0.10938,0.10155,0.07658,0.0773,0.07472
Q2_Q4_1.0,0.40204,0.32907,0.14702,0.15719,0.15302,0.12662,0.13017,0.13439,0.17776,0.13002,0.14488,0.14103,0.13844,0.13428
Q3_Q4_1.0,0.38309,0.35487,0.18641,0.18594,0.18801,0.19013,0.16737,0.17928,0.21158,0.17935,0.20072,0.18727,0.18517,0.13433
Q1_1.0,0.47773,0.15379,0.16568,0.19721,0.17255,0.12421,0.13795,0.13505,0.19316,0.12581,0.13994,0.14403,0.14987,0.12479
Q2_1.0,0.43053,0.22394,0.05773,0.09347,0.07689,0.065,0.06895,0.07469,0.1159,0.0683,0.07833,0.06308,0.06762,0.07283
Q3_1.0,0.39686,0.28877,0.04369,0.09088,0.06932,0.06123,0.07373,0.07743,0.10912,0.07343,0.09424,0.05804,0.05375,0.07617
Q4_1.0,0.36772,0.4101,0.20601,0.22344,0.21035,0.15274,0.1746,0.17024,0.2292,0.16339,0.22092,0.19463,0.19075,0.17485
