,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.72924 ± 0.005,0.69621 ± 0.004,0.70307 ± 0.002,0.69174 ± 0.003,0.69428 ± 0.002,0.69102 ± 0.004,0.69556 ± 0.003,0.70236 ± 0.003,0.68967 ± 0.002,0.71583 ± 0.007,0.75551 ± 0.009,0.74955 ± 0.010,0.79233 ± 0.005,0.71692 ± 0.003
Q1_Q3_0.25,0.72352 ± 0.006,0.70657 ± 0.002,0.70014 ± 0.002,0.69335 ± 0.002,0.69516 ± 0.002,0.69219 ± 0.003,0.69747 ± 0.001,0.70268 ± 0.003,0.69223 ± 0.002,0.71975 ± 0.007,0.74842 ± 0.002,0.74547 ± 0.003,0.79035 ± 0.006,0.71543 ± 0.003
Q1_Q4_0.25,0.73843 ± 0.005,0.72319 ± 0.005,0.73225 ± 0.003,0.70689 ± 0.001,0.70524 ± 0.003,0.70352 ± 0.002,0.71561 ± 0.004,0.72570 ± 0.004,0.69927 ± 0.004,0.75044 ± 0.012,0.76648 ± 0.010,0.76653 ± 0.005,0.79439 ± 0.005,0.74137 ± 0.002
Q2_Q3_0.25,0.70751 ± 0.002,0.70907 ± 0.004,0.68406 ± 0.003,0.69037 ± 0.004,0.68949 ± 0.003,0.68870 ± 0.004,0.69080 ± 0.005,0.69377 ± 0.004,0.68952 ± 0.004,0.70991 ± 0.006,0.73777 ± 0.009,0.73975 ± 0.015,0.79302 ± 0.004,0.70128 ± 0.003
Q2_Q4_0.25,0.72058 ± 0.005,0.73009 ± 0.004,0.70144 ± 0.005,0.69826 ± 0.003,0.69497 ± 0.004,0.69189 ± 0.002,0.69654 ± 0.004,0.70856 ± 0.005,0.69202 ± 0.004,0.72563 ± 0.009,0.75080 ± 0.009,0.74891 ± 0.003,0.79129 ± 0.004,0.72478 ± 0.006
Q3_Q4_0.25,0.71071 ± 0.005,0.72541 ± 0.003,0.70026 ± 0.004,0.69537 ± 0.005,0.69409 ± 0.004,0.69163 ± 0.004,0.69684 ± 0.004,0.70200 ± 0.005,0.69143 ± 0.004,0.72222 ± 0.006,0.75280 ± 0.015,0.74763 ± 0.007,0.79319 ± 0.002,0.72281 ± 0.007
Q1_0.25,0.70850 ± 0.004,0.68494 ± 0.005,0.70534 ± 0.003,0.69317 ± 0.003,0.69583 ± 0.003,0.68862 ± 0.003,0.69819 ± 0.003,0.70331 ± 0.003,0.69065 ± 0.003,0.71596 ± 0.008,0.74414 ± 0.009,0.74355 ± 0.011,0.79231 ± 0.005,0.71005 ± 0.005
Q2_0.25,0.70411 ± 0.005,0.69759 ± 0.003,0.68426 ± 0.003,0.68310 ± 0.004,0.68662 ± 0.003,0.68397 ± 0.004,0.68535 ± 0.003,0.68625 ± 0.002,0.68433 ± 0.003,0.70535 ± 0.006,0.73679 ± 0.005,0.73955 ± 0.009,0.79005 ± 0.004,0.69542 ± 0.003
Q3_0.25,0.69437 ± 0.003,0.70407 ± 0.002,0.68287 ± 0.004,0.68634 ± 0.004,0.68506 ± 0.003,0.68532 ± 0.004,0.68588 ± 0.004,0.68677 ± 0.004,0.68567 ± 0.004,0.70601 ± 0.006,0.73493 ± 0.004,0.72883 ± 0.012,0.79123 ± 0.003,0.69613 ± 0.004
Q4_0.25,0.69812 ± 0.004,0.71571 ± 0.005,0.70103 ± 0.004,0.68988 ± 0.003,0.69242 ± 0.004,0.68961 ± 0.003,0.69513 ± 0.004,0.70011 ± 0.004,0.68943 ± 0.003,0.72875 ± 0.012,0.74380 ± 0.007,0.74301 ± 0.006,0.79250 ± 0.003,0.71343 ± 0.006
