,mean,knn,mice,XGB,missforest,mf
0.1,0.20209 ± 0.012,0.15669 ± 0.009,0.13442 ± 0.005,0.11108 ± 0.016,0.14425 ± 0.014,0.23655 ± 0.011
0.2,0.21077 ± 0.012,0.21030 ± 0.020,0.15440 ± 0.012,0.13131 ± 0.022,0.15134 ± 0.009,0.24793 ± 0.013
0.3,0.22562 ± 0.005,0.22579 ± 0.007,0.17016 ± 0.006,0.17013 ± 0.004,0.17608 ± 0.008,0.25410 ± 0.007
0.4,0.19719 ± 0.005,0.19430 ± 0.006,0.16279 ± 0.002,0.15681 ± 0.011,0.16054 ± 0.007,0.23201 ± 0.008
0.5,0.20881 ± 0.007,0.18453 ± 0.010,0.17897 ± 0.009,0.18421 ± 0.014,0.17030 ± 0.006,0.23973 ± 0.010
0.6,0.20320 ± 0.005,0.21351 ± 0.004,0.17632 ± 0.009,0.20498 ± 0.012,0.18386 ± 0.010,0.22681 ± 0.006
0.7,0.21707 ± 0.004,0.21136 ± 0.003,0.20121 ± 0.003,0.20218 ± 0.014,0.22005 ± 0.008,0.23722 ± 0.009
0.8,0.20705 ± 0.006,0.20341 ± 0.008,0.20274 ± 0.008,0.24492 ± 0.028,0.22203 ± 0.025,0.21805 ± 0.006
0.9,0.22982 ± 0.005,0.22830 ± 0.006,0.23454 ± 0.010,0.24908 ± 0.035,0.24944 ± 0.031,0.23582 ± 0.011
