,mean,knn,mice,XGB,missforest,mf
0.1,0.93259 ± 0.005,0.94456 ± 0.006,0.93379 ± 0.003,0.95930 ± 0.002,0.94480 ± 0.004,0.93659 ± 0.004
0.2,0.90115 ± 0.009,0.90263 ± 0.007,0.89052 ± 0.008,0.93412 ± 0.008,0.89250 ± 0.012,0.87765 ± 0.007
0.3,0.82108 ± 0.003,0.83786 ± 0.003,0.82002 ± 0.004,0.89423 ± 0.006,0.85611 ± 0.013,0.82630 ± 0.003
0.4,0.83796 ± 0.002,0.79475 ± 0.006,0.79389 ± 0.006,0.84710 ± 0.007,0.80095 ± 0.009,0.81749 ± 0.005
0.5,0.75217 ± 0.007,0.78564 ± 0.005,0.75903 ± 0.022,0.81339 ± 0.008,0.79068 ± 0.042,0.73800 ± 0.004
0.6,0.71018 ± 0.006,0.70510 ± 0.014,0.70562 ± 0.010,0.73961 ± 0.017,0.71985 ± 0.008,0.71739 ± 0.005
0.7,0.74389 ± 0.005,0.71560 ± 0.010,0.70404 ± 0.004,0.70744 ± 0.014,0.70481 ± 0.024,0.71703 ± 0.004
0.8,0.58043 ± 0.010,0.59262 ± 0.015,0.55523 ± 0.025,0.58315 ± 0.030,0.57483 ± 0.020,0.57619 ± 0.007
0.9,0.57123 ± 0.016,0.57162 ± 0.009,0.55410 ± 0.012,0.55033 ± 0.026,0.50862 ± 0.017,0.56449 ± 0.006
