,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.91145 ± 0.006,0.92999 ± 0.006,0.92872 ± 0.003,0.92455 ± 0.004,0.93336 ± 0.003,0.92376 ± 0.003,0.95587 ± 0.004,0.91098 ± 0.006,0.76450 ± 0.067,0.76686 ± 0.077,0.53461 ± 0.013,0.89238 ± 0.003
0.2,0.87176 ± 0.009,0.88252 ± 0.007,0.88268 ± 0.009,0.87226 ± 0.008,0.87854 ± 0.011,0.86560 ± 0.009,0.91900 ± 0.008,0.85226 ± 0.019,0.70614 ± 0.058,0.74525 ± 0.028,0.53298 ± 0.013,0.85919 ± 0.008
0.3,0.79155 ± 0.002,0.80500 ± 0.004,0.81049 ± 0.004,0.79684 ± 0.007,0.82748 ± 0.010,0.79895 ± 0.005,0.86894 ± 0.008,0.78364 ± 0.014,0.64663 ± 0.026,0.64341 ± 0.029,0.53678 ± 0.008,0.78040 ± 0.006
0.4,0.73697 ± 0.008,0.76087 ± 0.011,0.78477 ± 0.008,0.75525 ± 0.006,0.78750 ± 0.006,0.76047 ± 0.011,0.82521 ± 0.004,0.74909 ± 0.019,0.58276 ± 0.014,0.58906 ± 0.006,0.53561 ± 0.011,0.73176 ± 0.005
0.5,0.72853 ± 0.012,0.75985 ± 0.006,0.74326 ± 0.020,0.72306 ± 0.009,0.75797 ± 0.033,0.70776 ± 0.007,0.75041 ± 0.013,0.74652 ± 0.037,0.60602 ± 0.030,0.59184 ± 0.021,0.52291 ± 0.016,0.71033 ± 0.008
0.6,0.64983 ± 0.005,0.66690 ± 0.012,0.67941 ± 0.008,0.66828 ± 0.007,0.68949 ± 0.008,0.65808 ± 0.008,0.69542 ± 0.012,0.64321 ± 0.025,0.57329 ± 0.053,0.59768 ± 0.013,0.52438 ± 0.009,0.65693 ± 0.014
0.7,0.65557 ± 0.003,0.67854 ± 0.011,0.67331 ± 0.012,0.67312 ± 0.006,0.68150 ± 0.016,0.67083 ± 0.008,0.66866 ± 0.011,0.65953 ± 0.023,0.63761 ± 0.016,0.63482 ± 0.013,0.50799 ± 0.033,0.63388 ± 0.005
0.8,0.50083 ± 0.003,0.53821 ± 0.006,0.51178 ± 0.015,0.50847 ± 0.005,0.52996 ± 0.022,0.50734 ± 0.010,0.52287 ± 0.018,0.49339 ± 0.035,0.45519 ± 0.050,0.48845 ± 0.019,0.50724 ± 0.014,0.53568 ± 0.013
0.9,0.51688 ± 0.011,0.51322 ± 0.013,0.51534 ± 0.017,0.54271 ± 0.014,0.47304 ± 0.023,0.52936 ± 0.014,0.50537 ± 0.011,0.43363 ± 0.061,0.49752 ± 0.026,0.48068 ± 0.055,0.48612 ± 0.021,0.52347 ± 0.034
