,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.80012 ± 0.011,0.81333 ± 0.009,0.81208 ± 0.005,0.81772 ± 0.005,0.81301 ± 0.008,0.80415 ± 0.007,0.80012 ± 0.011,0.76465 ± 0.011,0.78072 ± 0.010,0.78067 ± 0.014,0.58924 ± 0.017,0.80265 ± 0.006
Q1_Q3_0.25,0.80538 ± 0.011,0.81942 ± 0.009,0.81472 ± 0.008,0.81307 ± 0.008,0.81659 ± 0.009,0.80809 ± 0.012,0.80538 ± 0.011,0.76359 ± 0.013,0.77880 ± 0.013,0.77597 ± 0.010,0.56146 ± 0.011,0.80230 ± 0.012
Q1_Q4_0.25,0.77633 ± 0.011,0.80824 ± 0.011,0.79734 ± 0.009,0.80862 ± 0.007,0.80371 ± 0.010,0.77717 ± 0.011,0.77633 ± 0.011,0.74728 ± 0.010,0.75043 ± 0.009,0.76310 ± 0.011,0.55992 ± 0.022,0.76707 ± 0.012
Q2_Q3_0.25,0.81267 ± 0.007,0.81508 ± 0.008,0.81065 ± 0.008,0.80950 ± 0.009,0.81032 ± 0.012,0.81161 ± 0.006,0.81560 ± 0.010,0.76728 ± 0.010,0.77147 ± 0.011,0.76922 ± 0.008,0.61451 ± 0.017,0.81295 ± 0.007
Q2_Q4_0.25,0.79076 ± 0.006,0.81207 ± 0.007,0.81077 ± 0.009,0.80745 ± 0.006,0.80707 ± 0.008,0.79020 ± 0.007,0.79628 ± 0.015,0.75486 ± 0.010,0.75533 ± 0.014,0.75312 ± 0.006,0.59539 ± 0.022,0.78622 ± 0.008
Q3_Q4_0.25,0.79256 ± 0.005,0.80327 ± 0.009,0.80632 ± 0.008,0.80240 ± 0.007,0.80884 ± 0.011,0.79637 ± 0.008,0.79901 ± 0.010,0.76035 ± 0.008,0.75925 ± 0.012,0.75638 ± 0.013,0.61871 ± 0.021,0.79363 ± 0.005
Q1_0.25,0.80729 ± 0.010,0.81670 ± 0.010,0.81158 ± 0.011,0.81359 ± 0.012,0.81717 ± 0.010,0.81188 ± 0.009,0.80729 ± 0.010,0.75822 ± 0.013,0.78207 ± 0.016,0.77980 ± 0.013,0.57816 ± 0.006,0.79856 ± 0.007
Q2_0.25,0.80718 ± 0.008,0.81153 ± 0.008,0.81284 ± 0.010,0.81267 ± 0.012,0.81162 ± 0.011,0.81011 ± 0.007,0.81359 ± 0.009,0.76500 ± 0.015,0.77692 ± 0.010,0.77913 ± 0.016,0.62399 ± 0.012,0.81116 ± 0.009
Q3_0.25,0.81274 ± 0.008,0.81323 ± 0.005,0.81357 ± 0.009,0.81350 ± 0.008,0.81456 ± 0.008,0.80876 ± 0.009,0.81575 ± 0.008,0.76329 ± 0.015,0.77431 ± 0.011,0.77400 ± 0.014,0.63448 ± 0.017,0.81066 ± 0.003
Q4_0.25,0.79626 ± 0.007,0.80959 ± 0.007,0.81447 ± 0.009,0.81449 ± 0.010,0.81361 ± 0.009,0.79920 ± 0.007,0.79883 ± 0.011,0.74812 ± 0.012,0.75652 ± 0.011,0.75945 ± 0.010,0.63080 ± 0.006,0.79307 ± 0.010
