,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.94064 ± 0.007,0.86835 ± 0.011,0.84919 ± 0.007,0.86563 ± 0.005,0.86235 ± 0.006,0.86339 ± 0.007,0.86404 ± 0.008,0.85618 ± 0.012,0.84919 ± 0.007,0.82700 ± 0.011,0.82251 ± 0.010,0.83029 ± 0.013,0.99883 ± 0.001,0.84992 ± 0.010
Q1_Q3_0.25,0.93214 ± 0.005,0.84946 ± 0.007,0.84361 ± 0.010,0.86257 ± 0.007,0.86681 ± 0.004,0.86696 ± 0.006,0.86537 ± 0.007,0.85155 ± 0.015,0.84361 ± 0.010,0.82177 ± 0.012,0.82572 ± 0.012,0.82606 ± 0.010,1.00000 ± 0.000,0.84658 ± 0.006
Q1_Q4_0.25,0.93851 ± 0.007,0.84515 ± 0.010,0.83590 ± 0.007,0.85590 ± 0.009,0.85510 ± 0.010,0.85920 ± 0.007,0.85984 ± 0.009,0.83225 ± 0.010,0.83590 ± 0.007,0.80759 ± 0.011,0.81119 ± 0.005,0.81193 ± 0.010,0.99912 ± 0.002,0.83167 ± 0.013
Q2_Q3_0.25,0.87194 ± 0.010,0.86393 ± 0.011,0.86160 ± 0.009,0.87153 ± 0.004,0.86286 ± 0.009,0.86097 ± 0.009,0.85676 ± 0.008,0.86527 ± 0.007,0.86595 ± 0.010,0.82548 ± 0.014,0.82459 ± 0.004,0.82187 ± 0.008,0.99707 ± 0.002,0.85954 ± 0.010
Q2_Q4_0.25,0.86252 ± 0.007,0.83878 ± 0.009,0.84724 ± 0.005,0.86039 ± 0.008,0.86214 ± 0.007,0.86438 ± 0.006,0.85794 ± 0.010,0.85394 ± 0.005,0.85235 ± 0.015,0.81689 ± 0.011,0.81298 ± 0.012,0.81446 ± 0.007,0.99497 ± 0.009,0.85052 ± 0.009
Q3_Q4_0.25,0.85000 ± 0.007,0.84906 ± 0.009,0.85888 ± 0.006,0.86817 ± 0.010,0.85783 ± 0.006,0.86158 ± 0.006,0.86680 ± 0.006,0.85962 ± 0.009,0.86197 ± 0.009,0.81616 ± 0.010,0.81868 ± 0.011,0.81114 ± 0.007,0.99588 ± 0.006,0.84876 ± 0.004
Q1_0.25,0.91921 ± 0.005,0.86388 ± 0.008,0.84684 ± 0.011,0.86256 ± 0.010,0.86411 ± 0.012,0.85848 ± 0.012,0.86117 ± 0.009,0.86254 ± 0.012,0.84684 ± 0.011,0.82599 ± 0.012,0.82868 ± 0.010,0.83294 ± 0.010,0.99941 ± 0.001,0.84988 ± 0.008
Q2_0.25,0.85824 ± 0.006,0.86923 ± 0.013,0.86641 ± 0.009,0.86583 ± 0.009,0.86692 ± 0.008,0.86652 ± 0.008,0.86850 ± 0.008,0.86600 ± 0.009,0.87046 ± 0.011,0.82693 ± 0.012,0.82565 ± 0.009,0.83047 ± 0.010,1.00000 ± 0.000,0.86089 ± 0.008
Q3_0.25,0.86294 ± 0.005,0.85692 ± 0.010,0.86912 ± 0.009,0.86910 ± 0.010,0.86673 ± 0.009,0.86420 ± 0.010,0.86090 ± 0.008,0.86941 ± 0.008,0.86607 ± 0.012,0.82271 ± 0.008,0.82944 ± 0.012,0.83040 ± 0.011,1.00000 ± 0.000,0.85868 ± 0.008
Q4_0.25,0.85151 ± 0.004,0.84364 ± 0.007,0.85498 ± 0.011,0.86033 ± 0.012,0.86235 ± 0.010,0.86253 ± 0.009,0.86178 ± 0.011,0.85411 ± 0.011,0.85773 ± 0.011,0.81619 ± 0.018,0.81651 ± 0.011,0.81846 ± 0.009,0.99705 ± 0.004,0.84821 ± 0.011
