,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.08823 ± 0.001,0.06018 ± 0.003,0.08474 ± 0.007,0.09664 ± 0.011,0.06175 ± 0.001,0.07975 ± 0.001,0.08823 ± 0.001,0.05977 ± 0.005,0.04578 ± 0.002,0.04636 ± 0.002,0.08690 ± 0.007,0.13286 ± 0.001
Q1_Q3_0.25,0.08504 ± 0.001,0.06387 ± 0.002,0.09856 ± 0.010,0.11504 ± 0.017,0.06239 ± 0.002,0.08189 ± 0.002,0.08504 ± 0.001,0.05951 ± 0.003,0.04643 ± 0.001,0.04572 ± 0.002,0.08528 ± 0.002,0.13099 ± 0.001
Q1_Q4_0.25,0.14927 ± 0.002,0.09409 ± 0.003,0.09959 ± 0.003,0.10501 ± 0.004,0.09605 ± 0.001,0.12925 ± 0.002,0.14927 ± 0.002,0.13290 ± 0.001,0.12155 ± 0.002,0.12081 ± 0.001,0.15801 ± 0.002,0.18095 ± 0.001
Q2_Q3_0.25,0.04344 ± 0.001,0.04787 ± 0.001,0.03832 ± 0.001,0.04311 ± 0.002,0.05149 ± 0.001,0.05331 ± 0.001,0.03223 ± 0.001,0.08477 ± 0.005,0.04145 ± 0.001,0.04351 ± 0.001,0.08567 ± 0.001,0.11014 ± 0.001
Q2_Q4_0.25,0.19780 ± 0.003,0.11286 ± 0.002,0.10590 ± 0.004,0.12788 ± 0.019,0.11179 ± 0.002,0.16522 ± 0.003,0.17800 ± 0.040,0.19760 ± 0.003,0.17113 ± 0.003,0.17165 ± 0.003,0.21479 ± 0.003,0.21944 ± 0.002
Q3_Q4_0.25,0.20643 ± 0.004,0.11577 ± 0.004,0.10461 ± 0.003,0.11076 ± 0.002,0.11031 ± 0.002,0.17215 ± 0.005,0.16435 ± 0.050,0.20720 ± 0.004,0.17719 ± 0.005,0.18075 ± 0.004,0.22410 ± 0.003,0.22931 ± 0.004
Q1_0.25,0.09221 ± 0.001,0.07044 ± 0.003,0.09705 ± 0.008,0.10137 ± 0.012,0.06754 ± 0.003,0.08431 ± 0.002,0.09221 ± 0.001,0.06484 ± 0.014,0.04559 ± 0.003,0.04371 ± 0.001,0.08232 ± 0.003,0.13538 ± 0.001
Q2_0.25,0.04083 ± 0.001,0.04884 ± 0.002,0.03585 ± 0.001,0.03890 ± 0.002,0.05011 ± 0.001,0.04858 ± 0.001,0.03019 ± 0.001,0.07733 ± 0.007,0.03995 ± 0.003,0.03855 ± 0.003,0.07697 ± 0.001,0.10643 ± 0.001
Q3_0.25,0.04685 ± 0.001,0.05217 ± 0.001,0.03866 ± 0.001,0.04396 ± 0.001,0.05323 ± 0.001,0.05537 ± 0.001,0.03506 ± 0.001,0.09198 ± 0.002,0.04790 ± 0.003,0.04761 ± 0.002,0.09301 ± 0.001,0.11118 ± 0.002
Q4_0.25,0.27583 ± 0.004,0.15351 ± 0.004,0.15083 ± 0.014,0.16774 ± 0.015,0.14251 ± 0.003,0.22505 ± 0.003,0.24273 ± 0.069,0.26238 ± 0.007,0.23305 ± 0.006,0.23751 ± 0.004,0.29287 ± 0.004,0.29310 ± 0.005
