,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q2_Q3_0.75,0.83144 ± 0.008,0.86961 ± 0.007,0.83195 ± 0.002,0.82384 ± 0.005,0.83209 ± 0.005,0.82450 ± 0.007,0.82133 ± 0.009,0.83029 ± 0.010,0.82683 ± 0.005,0.79792 ± 0.006,0.79187 ± 0.015,0.79736 ± 0.017,0.76438 ± 0.010,0.82801 ± 0.011
Q2_Q4_0.75,0.83855 ± 0.008,0.76969 ± 0.012,0.74334 ± 0.007,0.77738 ± 0.007,0.71243 ± 0.159,0.77573 ± 0.016,0.78900 ± 0.011,0.74537 ± 0.011,0.76821 ± 0.033,0.64708 ± 0.075,0.72167 ± 0.012,0.71841 ± 0.015,0.80024 ± 0.006,0.74906 ± 0.014
Q3_Q4_0.75,0.83309 ± 0.013,0.76997 ± 0.010,0.73886 ± 0.009,0.78182 ± 0.008,0.70255 ± 0.154,0.41231 ± 0.022,0.81128 ± 0.013,0.74363 ± 0.011,0.75986 ± 0.033,0.47727 ± 0.076,0.73180 ± 0.012,0.70503 ± 0.006,0.86556 ± 0.002,0.72936 ± 0.016
Q1_0.75,0.86423 ± 0.016,0.84431 ± 0.007,0.79694 ± 0.008,0.82904 ± 0.005,0.82369 ± 0.008,0.80246 ± 0.007,0.84188 ± 0.009,0.82335 ± 0.007,0.83428 ± 0.006,0.76783 ± 0.012,0.80832 ± 0.012,0.82135 ± 0.009,0.80218 ± 0.011,0.77859 ± 0.018
Q2_0.75,0.83683 ± 0.009,0.85284 ± 0.005,0.84370 ± 0.006,0.83182 ± 0.014,0.84040 ± 0.007,0.83680 ± 0.008,0.82588 ± 0.006,0.83695 ± 0.006,0.84101 ± 0.011,0.79740 ± 0.018,0.79043 ± 0.008,0.78799 ± 0.011,0.78031 ± 0.024,0.83511 ± 0.009
Q3_0.75,0.82330 ± 0.009,0.83866 ± 0.011,0.83767 ± 0.010,0.83874 ± 0.006,0.83218 ± 0.008,0.83433 ± 0.004,0.83808 ± 0.007,0.83735 ± 0.007,0.83631 ± 0.008,0.78218 ± 0.011,0.78908 ± 0.017,0.78749 ± 0.014,0.77683 ± 0.029,0.83158 ± 0.008
Q4_0.75,0.84747 ± 0.009,0.77767 ± 0.008,0.76043 ± 0.004,0.81615 ± 0.010,0.82189 ± 0.009,0.63074 ± 0.144,0.81138 ± 0.009,0.76615 ± 0.003,0.79930 ± 0.032,0.58798 ± 0.069,0.72691 ± 0.002,0.72335 ± 0.011,0.83579 ± 0.015,0.76347 ± 0.006
Q1_Q2_1.0,0.89796 ± 0.011,0.85317 ± 0.009,0.47704 ± 0.012,0.47454 ± 0.050,0.65301 ± 0.054,0.61680 ± 0.038,0.61636 ± 0.034,0.49841 ± 0.007,0.55867 ± 0.021,0.58914 ± 0.066,0.39723 ± 0.002,0.41739 ± 0.040,0.85484 ± 0.011,0.41979 ± 0.017
Q1_Q3_1.0,0.86614 ± 0.013,0.85363 ± 0.003,0.61921 ± 0.018,0.64745 ± 0.027,0.70525 ± 0.052,0.70315 ± 0.060,0.71564 ± 0.015,0.59069 ± 0.012,0.72288 ± 0.024,0.58572 ± 0.036,0.39723 ± 0.002,0.65172 ± 0.023,0.80324 ± 0.023,0.59452 ± 0.029
Q1_Q4_1.0,0.80171 ± 0.014,0.78636 ± 0.007,0.39723 ± 0.002,0.39723 ± 0.002,0.39972 ± 0.003,0.39723 ± 0.002,0.45089 ± 0.067,0.39809 ± 0.003,0.41550 ± 0.037,0.39723 ± 0.002,0.41373 ± 0.031,0.39723 ± 0.002,0.69564 ± 0.015,0.39723 ± 0.002
Q2_Q3_1.0,0.83703 ± 0.007,0.86191 ± 0.006,0.83407 ± 0.004,0.82438 ± 0.003,0.83056 ± 0.006,0.82632 ± 0.011,0.79980 ± 0.009,0.83129 ± 0.003,0.81221 ± 0.009,0.79579 ± 0.013,0.78398 ± 0.012,0.78114 ± 0.015,0.75408 ± 0.014,0.83007 ± 0.016
Q2_Q4_1.0,0.84923 ± 0.010,0.79356 ± 0.008,0.69718 ± 0.008,0.70737 ± 0.010,0.73063 ± 0.014,0.71911 ± 0.009,0.73808 ± 0.013,0.69005 ± 0.013,0.72022 ± 0.011,0.68323 ± 0.038,0.68250 ± 0.015,0.69158 ± 0.024,0.81787 ± 0.007,0.68644 ± 0.012
Q3_Q4_1.0,0.84531 ± 0.005,0.76928 ± 0.001,0.46383 ± 0.020,0.54032 ± 0.017,0.58148 ± 0.018,0.59952 ± 0.035,0.63251 ± 0.004,0.47414 ± 0.030,0.60814 ± 0.005,0.46018 ± 0.075,0.42467 ± 0.049,0.40259 ± 0.011,0.87297 ± 0.010,0.41369 ± 0.014
Q1_1.0,0.88400 ± 0.007,0.84126 ± 0.005,0.65030 ± 0.013,0.69094 ± 0.041,0.66692 ± 0.110,0.69313 ± 0.073,0.77924 ± 0.010,0.72922 ± 0.017,0.79696 ± 0.010,0.64782 ± 0.025,0.39723 ± 0.002,0.74495 ± 0.012,0.83683 ± 0.011,0.61734 ± 0.021
Q2_1.0,0.84954 ± 0.012,0.86067 ± 0.009,0.83219 ± 0.004,0.83234 ± 0.011,0.83980 ± 0.008,0.83144 ± 0.006,0.82151 ± 0.006,0.83951 ± 0.004,0.83274 ± 0.008,0.80338 ± 0.012,0.79586 ± 0.012,0.80014 ± 0.015,0.79699 ± 0.038,0.82564 ± 0.011
Q3_1.0,0.82798 ± 0.007,0.83512 ± 0.006,0.83441 ± 0.006,0.82484 ± 0.008,0.83473 ± 0.007,0.83035 ± 0.005,0.82734 ± 0.006,0.82860 ± 0.004,0.83416 ± 0.008,0.77169 ± 0.017,0.78250 ± 0.004,0.79173 ± 0.011,0.78977 ± 0.017,0.83040 ± 0.004
Q4_1.0,0.85078 ± 0.012,0.77394 ± 0.008,0.69675 ± 0.009,0.74618 ± 0.008,0.75969 ± 0.007,0.76474 ± 0.006,0.77724 ± 0.003,0.70212 ± 0.012,0.77428 ± 0.037,0.51165 ± 0.120,0.68032 ± 0.027,0.68815 ± 0.018,0.86201 ± 0.006,0.69678 ± 0.011
