,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.50904 ± 0.038,0.49807 ± 0.036,0.50519 ± 0.034,0.49984 ± 0.035,0.50334 ± 0.029,0.51155 ± 0.027,0.50565 ± 0.037,0.47665 ± 0.026,0.18109 ± 0.029,0.21418 ± 0.034,0.27953 ± 0.072,0.48844 ± 0.040
Q1_Q3_0.25,0.48786 ± 0.041,0.48293 ± 0.044,0.48899 ± 0.038,0.48857 ± 0.038,0.48706 ± 0.038,0.46702 ± 0.031,0.48870 ± 0.038,0.47637 ± 0.038,0.17999 ± 0.025,0.19251 ± 0.016,0.30989 ± 0.055,0.47842 ± 0.040
Q1_Q4_0.25,0.45184 ± 0.015,0.45273 ± 0.015,0.47882 ± 0.011,0.48198 ± 0.015,0.45843 ± 0.037,0.44632 ± 0.017,0.46146 ± 0.034,0.42850 ± 0.038,0.17649 ± 0.027,0.15998 ± 0.021,0.28145 ± 0.086,0.46122 ± 0.022
Q2_Q3_0.25,0.54221 ± 0.037,0.52249 ± 0.039,0.53545 ± 0.038,0.53408 ± 0.038,0.53308 ± 0.040,0.54676 ± 0.041,0.53727 ± 0.038,0.53000 ± 0.046,0.20386 ± 0.038,0.18500 ± 0.030,0.30700 ± 0.105,0.52782 ± 0.040
Q2_Q4_0.25,0.46130 ± 0.038,0.46346 ± 0.035,0.49089 ± 0.039,0.48657 ± 0.038,0.49113 ± 0.038,0.46268 ± 0.037,0.49896 ± 0.043,0.44869 ± 0.040,0.15369 ± 0.019,0.16521 ± 0.025,0.28700 ± 0.086,0.45326 ± 0.034
Q3_Q4_0.25,0.43917 ± 0.035,0.44183 ± 0.030,0.46048 ± 0.029,0.46075 ± 0.029,0.46237 ± 0.032,0.44162 ± 0.030,0.46110 ± 0.031,0.42359 ± 0.064,0.17203 ± 0.020,0.15773 ± 0.021,0.28467 ± 0.049,0.42681 ± 0.032
Q1_0.25,0.50411 ± 0.035,0.50817 ± 0.037,0.50380 ± 0.036,0.50182 ± 0.036,0.51366 ± 0.043,0.50057 ± 0.037,0.48189 ± 0.038,0.50223 ± 0.038,0.21792 ± 0.017,0.21219 ± 0.014,0.22883 ± 0.099,0.49358 ± 0.033
Q2_0.25,0.53851 ± 0.040,0.53006 ± 0.037,0.52535 ± 0.035,0.52748 ± 0.035,0.52670 ± 0.035,0.53463 ± 0.040,0.52857 ± 0.035,0.51445 ± 0.042,0.19728 ± 0.026,0.22481 ± 0.043,0.30789 ± 0.067,0.53576 ± 0.035
Q3_0.25,0.54205 ± 0.038,0.53917 ± 0.046,0.53625 ± 0.036,0.53702 ± 0.036,0.53823 ± 0.040,0.54104 ± 0.042,0.54040 ± 0.040,0.52118 ± 0.045,0.20966 ± 0.012,0.20393 ± 0.022,0.27399 ± 0.060,0.53509 ± 0.037
Q4_0.25,0.43434 ± 0.034,0.46181 ± 0.030,0.45847 ± 0.034,0.46418 ± 0.035,0.47155 ± 0.037,0.46311 ± 0.013,0.46259 ± 0.035,0.45389 ± 0.039,0.17402 ± 0.037,0.19347 ± 0.036,0.28845 ± 0.040,0.43672 ± 0.036
