,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.75,0.31930 ± 0.038,0.26100 ± 0.031,0.29714 ± 0.041,0.28513 ± 0.041,0.24544 ± 0.027,0.30558 ± 0.033,0.30324 ± 0.042,0.27940 ± 0.039,0.09029 ± 0.012,0.09324 ± 0.005,0.11954 ± 0.009,0.27887 ± 0.034
Q1_Q3_0.75,0.31970 ± 0.035,0.27767 ± 0.036,0.27858 ± 0.013,0.27631 ± 0.025,0.22586 ± 0.012,0.29736 ± 0.046,0.27455 ± 0.009,0.30314 ± 0.057,0.11271 ± 0.014,0.11738 ± 0.010,0.12080 ± 0.009,0.29354 ± 0.049
Q1_Q4_0.75,0.12423 ± 0.005,0.11869 ± 0.009,0.12852 ± 0.011,0.12995 ± 0.012,0.12605 ± 0.011,0.12207 ± 0.005,0.12907 ± 0.007,0.11466 ± 0.016,0.06739 ± 0.006,0.06502 ± 0.006,0.10878 ± 0.011,0.10480 ± 0.012
Q2_Q3_0.75,0.40971 ± 0.034,0.36662 ± 0.034,0.38965 ± 0.044,0.39234 ± 0.040,0.39409 ± 0.040,0.39538 ± 0.031,0.37642 ± 0.042,0.34306 ± 0.046,0.13977 ± 0.006,0.13647 ± 0.008,0.11306 ± 0.004,0.38385 ± 0.041
Q2_Q4_0.75,0.19399 ± 0.010,0.18169 ± 0.009,0.20300 ± 0.009,0.19904 ± 0.016,0.20148 ± 0.015,0.18304 ± 0.005,0.20524 ± 0.019,0.16617 ± 0.013,0.07363 ± 0.008,0.07949 ± 0.007,0.12256 ± 0.006,0.17027 ± 0.012
Q3_Q4_0.75,0.17317 ± 0.004,0.15182 ± 0.009,0.19234 ± 0.011,0.19517 ± 0.011,0.20237 ± 0.009,0.16405 ± 0.005,0.18852 ± 0.011,0.13234 ± 0.023,0.05942 ± 0.008,0.05959 ± 0.013,0.10748 ± 0.009,0.15205 ± 0.009
Q1_0.75,0.31604 ± 0.042,0.29083 ± 0.038,0.31177 ± 0.040,0.31692 ± 0.045,0.23648 ± 0.036,0.30738 ± 0.041,0.27349 ± 0.013,0.27608 ± 0.049,0.10583 ± 0.015,0.12377 ± 0.016,0.12381 ± 0.008,0.29050 ± 0.033
Q2_0.75,0.40968 ± 0.034,0.39428 ± 0.033,0.39723 ± 0.029,0.39969 ± 0.030,0.39819 ± 0.028,0.39508 ± 0.019,0.40132 ± 0.027,0.35972 ± 0.037,0.13381 ± 0.005,0.13966 ± 0.012,0.11149 ± 0.008,0.39515 ± 0.027
Q3_0.75,0.41469 ± 0.028,0.39601 ± 0.043,0.40336 ± 0.049,0.41159 ± 0.047,0.40339 ± 0.044,0.40480 ± 0.040,0.40377 ± 0.043,0.36214 ± 0.052,0.13171 ± 0.010,0.14026 ± 0.008,0.11519 ± 0.005,0.39782 ± 0.037
Q4_0.75,0.19250 ± 0.005,0.18786 ± 0.007,0.20507 ± 0.006,0.25006 ± 0.009,0.20787 ± 0.007,0.18842 ± 0.005,0.20517 ± 0.006,0.17257 ± 0.011,0.06722 ± 0.014,0.06479 ± 0.004,0.11559 ± 0.010,0.18670 ± 0.005
Q1_Q2_1.0,0.16769 ± 0.005,0.16334 ± 0.008,0.18809 ± 0.012,0.17248 ± 0.016,0.15120 ± 0.010,0.16740 ± 0.010,0.13992 ± 0.011,0.14642 ± 0.013,0.12568 ± 0.012,0.08976 ± 0.011,0.13516 ± 0.025,0.13890 ± 0.007
Q1_Q3_1.0,0.18888 ± 0.011,0.16335 ± 0.011,0.16143 ± 0.020,0.16751 ± 0.010,0.17086 ± 0.011,0.18206 ± 0.011,0.14697 ± 0.006,0.18506 ± 0.011,0.14897 ± 0.020,0.11288 ± 0.015,0.13460 ± 0.020,0.17169 ± 0.009
Q1_Q4_1.0,0.06010 ± 0.006,0.06747 ± 0.010,0.06703 ± 0.006,0.06005 ± 0.006,0.06030 ± 0.008,0.06767 ± 0.006,0.06548 ± 0.010,0.06818 ± 0.002,0.07285 ± 0.010,0.05470 ± 0.012,0.10704 ± 0.008,0.07730 ± 0.004
Q2_Q3_1.0,0.40981 ± 0.032,0.36340 ± 0.045,0.33527 ± 0.038,0.34261 ± 0.031,0.37329 ± 0.043,0.37916 ± 0.019,0.31804 ± 0.025,0.30979 ± 0.022,0.13827 ± 0.011,0.14021 ± 0.004,0.11288 ± 0.008,0.37409 ± 0.037
Q2_Q4_1.0,0.14590 ± 0.005,0.11669 ± 0.016,0.13843 ± 0.006,0.14731 ± 0.004,0.14264 ± 0.005,0.14069 ± 0.004,0.13720 ± 0.007,0.13347 ± 0.018,0.06866 ± 0.009,0.07133 ± 0.009,0.11474 ± 0.005,0.12111 ± 0.006
Q3_Q4_1.0,0.12903 ± 0.006,0.11643 ± 0.010,0.10602 ± 0.005,0.12777 ± 0.004,0.12852 ± 0.008,0.12341 ± 0.007,0.12351 ± 0.010,0.09639 ± 0.020,0.05858 ± 0.004,0.05874 ± 0.008,0.11964 ± 0.007,0.10116 ± 0.006
Q1_1.0,0.20330 ± 0.007,0.18838 ± 0.012,0.19433 ± 0.036,0.19753 ± 0.009,0.18655 ± 0.007,0.20409 ± 0.010,0.18136 ± 0.011,0.18974 ± 0.008,0.16118 ± 0.011,0.13221 ± 0.019,0.13196 ± 0.014,0.18581 ± 0.009
Q2_1.0,0.40911 ± 0.036,0.38585 ± 0.037,0.40868 ± 0.035,0.40442 ± 0.030,0.39655 ± 0.030,0.39501 ± 0.026,0.39450 ± 0.036,0.36460 ± 0.067,0.12558 ± 0.009,0.12564 ± 0.010,0.11023 ± 0.007,0.38388 ± 0.030
Q3_1.0,0.41416 ± 0.029,0.40093 ± 0.038,0.39941 ± 0.047,0.39820 ± 0.048,0.40299 ± 0.044,0.40155 ± 0.042,0.39793 ± 0.051,0.36614 ± 0.051,0.14275 ± 0.009,0.14065 ± 0.009,0.11267 ± 0.007,0.39003 ± 0.032
Q4_1.0,0.15157 ± 0.005,0.13296 ± 0.004,0.15349 ± 0.005,0.15369 ± 0.004,0.15389 ± 0.005,0.15010 ± 0.005,0.15442 ± 0.005,0.13517 ± 0.016,0.07089 ± 0.009,0.06481 ± 0.012,0.11258 ± 0.004,0.14418 ± 0.005
