,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.46333 ± 0.005,0.29006 ± 0.002,0.09568 ± 0.001,0.11187 ± 0.003,0.08758 ± 0.002,0.08863 ± 0.002,0.10375 ± 0.007,0.10483 ± 0.002,0.08860 ± 0.003,0.09209 ± 0.006,0.09209 ± 0.003,0.08918 ± 0.007,0.09562 ± 0.002,0.13956 ± 0.002
Q1_Q3_0.25,0.45943 ± 0.003,0.30184 ± 0.001,0.09303 ± 0.001,0.11744 ± 0.003,0.08704 ± 0.001,0.08781 ± 0.001,0.12588 ± 0.023,0.10578 ± 0.003,0.08661 ± 0.001,0.10061 ± 0.010,0.09245 ± 0.004,0.08618 ± 0.001,0.10340 ± 0.002,0.13638 ± 0.002
Q1_Q4_0.25,0.45410 ± 0.006,0.36314 ± 0.003,0.14297 ± 0.003,0.15876 ± 0.002,0.13161 ± 0.004,0.13403 ± 0.004,0.18296 ± 0.014,0.14545 ± 0.004,0.15146 ± 0.038,0.15750 ± 0.018,0.13809 ± 0.004,0.13808 ± 0.002,0.15172 ± 0.004,0.17358 ± 0.002
Q2_Q3_0.25,0.33976 ± 0.001,0.44861 ± 0.001,0.04308 ± 0.001,0.10228 ± 0.008,0.06150 ± 0.002,0.06200 ± 0.001,0.05709 ± 0.002,0.06255 ± 0.002,0.05607 ± 0.004,0.09149 ± 0.016,0.05568 ± 0.005,0.05843 ± 0.005,0.08181 ± 0.002,0.10929 ± 0.000
Q2_Q4_0.25,0.33592 ± 0.009,0.52794 ± 0.003,0.17587 ± 0.004,0.18812 ± 0.004,0.16253 ± 0.005,0.16197 ± 0.005,0.16288 ± 0.005,0.17602 ± 0.002,0.16024 ± 0.004,0.18735 ± 0.016,0.17638 ± 0.003,0.17302 ± 0.005,0.18974 ± 0.003,0.20219 ± 0.004
Q3_Q4_0.25,0.33781 ± 0.004,0.53290 ± 0.004,0.17570 ± 0.003,0.18191 ± 0.003,0.16195 ± 0.003,0.16182 ± 0.003,0.16680 ± 0.002,0.17631 ± 0.003,0.15992 ± 0.007,0.20133 ± 0.019,0.17316 ± 0.003,0.17357 ± 0.005,0.18635 ± 0.005,0.20361 ± 0.003
Q1_0.25,0.49281 ± 0.002,0.22447 ± 0.001,0.10112 ± 0.003,0.11346 ± 0.004,0.09214 ± 0.003,0.09308 ± 0.003,0.09415 ± 0.004,0.10685 ± 0.002,0.12608 ± 0.070,0.08376 ± 0.004,0.09527 ± 0.005,0.09115 ± 0.005,0.10109 ± 0.004,0.14219 ± 0.002
Q2_0.25,0.34326 ± 0.007,0.44254 ± 0.001,0.04670 ± 0.001,0.08707 ± 0.002,0.05724 ± 0.001,0.05739 ± 0.001,0.05054 ± 0.001,0.06418 ± 0.003,0.04972 ± 0.006,0.10652 ± 0.020,0.05910 ± 0.006,0.05786 ± 0.004,0.08369 ± 0.002,0.10967 ± 0.002
Q3_0.25,0.32961 ± 0.007,0.45261 ± 0.003,0.04136 ± 0.001,0.09977 ± 0.005,0.06033 ± 0.001,0.05980 ± 0.001,0.05805 ± 0.001,0.06134 ± 0.002,0.05330 ± 0.003,0.10610 ± 0.016,0.05551 ± 0.008,0.05122 ± 0.006,0.08825 ± 0.002,0.10857 ± 0.002
Q4_0.25,0.34380 ± 0.007,0.59628 ± 0.003,0.23487 ± 0.007,0.22736 ± 0.010,0.21643 ± 0.008,0.21687 ± 0.008,0.21847 ± 0.007,0.23526 ± 0.006,0.21473 ± 0.008,0.24381 ± 0.045,0.23176 ± 0.016,0.23359 ± 0.011,0.24513 ± 0.006,0.25595 ± 0.006
Q1_Q2_0.5,0.46128 ± 0.004,0.29269 ± 0.002,0.10728 ± 0.001,0.12908 ± 0.002,0.09775 ± 0.001,0.12754 ± 0.007,0.22352 ± 0.052,0.11930 ± 0.002,0.10082 ± 0.004,0.10736 ± 0.015,0.10274 ± 0.005,0.09952 ± 0.004,0.09805 ± 0.001,0.14804 ± 0.001
Q1_Q3_0.5,0.45666 ± 0.008,0.29980 ± 0.001,0.09672 ± 0.001,0.13813 ± 0.008,0.10047 ± 0.014,0.10301 ± 0.004,0.13954 ± 0.031,0.10832 ± 0.001,0.11785 ± 0.043,0.08928 ± 0.006,0.10825 ± 0.018,0.08990 ± 0.001,0.09949 ± 0.001,0.13907 ± 0.002
Q1_Q4_0.5,0.46038 ± 0.002,0.36153 ± 0.002,0.14032 ± 0.002,0.16202 ± 0.003,0.14393 ± 0.010,0.15002 ± 0.010,0.15307 ± 0.014,0.14587 ± 0.002,0.15517 ± 0.038,0.15888 ± 0.006,0.13881 ± 0.002,0.14024 ± 0.002,0.15159 ± 0.001,0.17190 ± 0.002
Q2_Q3_0.5,0.33503 ± 0.004,0.44749 ± 0.002,0.04419 ± 0.000,0.11792 ± 0.004,0.07372 ± 0.002,0.07340 ± 0.002,0.06863 ± 0.003,0.06544 ± 0.001,0.06505 ± 0.004,0.12696 ± 0.039,0.06417 ± 0.003,0.06080 ± 0.005,0.08480 ± 0.002,0.10876 ± 0.002
Q2_Q4_0.5,0.33949 ± 0.004,0.52875 ± 0.003,0.17641 ± 0.002,0.19339 ± 0.002,0.16645 ± 0.003,0.16552 ± 0.003,0.16701 ± 0.002,0.17876 ± 0.002,0.16778 ± 0.002,0.20333 ± 0.021,0.17840 ± 0.005,0.17852 ± 0.006,0.18512 ± 0.001,0.20224 ± 0.004
Q3_Q4_0.5,0.33410 ± 0.004,0.53373 ± 0.002,0.18580 ± 0.003,0.18903 ± 0.003,0.17226 ± 0.004,0.17161 ± 0.004,0.17314 ± 0.005,0.18846 ± 0.005,0.17382 ± 0.004,0.23893 ± 0.037,0.18486 ± 0.009,0.18987 ± 0.003,0.18522 ± 0.002,0.21153 ± 0.003
Q1_0.5,0.48765 ± 0.005,0.22522 ± 0.002,0.10884 ± 0.001,0.13067 ± 0.008,0.10080 ± 0.001,0.10512 ± 0.002,0.15112 ± 0.035,0.12074 ± 0.001,0.13768 ± 0.077,0.10299 ± 0.018,0.10117 ± 0.003,0.10084 ± 0.002,0.10163 ± 0.002,0.14807 ± 0.001
Q2_0.5,0.34063 ± 0.005,0.44307 ± 0.002,0.04949 ± 0.000,0.09936 ± 0.003,0.06630 ± 0.001,0.06493 ± 0.001,0.06190 ± 0.001,0.06675 ± 0.003,0.05524 ± 0.005,0.08288 ± 0.023,0.06460 ± 0.006,0.05680 ± 0.005,0.08156 ± 0.003,0.11132 ± 0.002
Q3_0.5,0.32994 ± 0.006,0.45512 ± 0.004,0.04360 ± 0.001,0.09765 ± 0.002,0.06335 ± 0.001,0.06369 ± 0.001,0.06415 ± 0.001,0.06335 ± 0.001,0.06181 ± 0.001,0.11268 ± 0.032,0.05510 ± 0.006,0.05726 ± 0.002,0.08628 ± 0.004,0.10667 ± 0.002
Q4_0.5,0.33400 ± 0.008,0.58861 ± 0.002,0.23574 ± 0.003,0.23921 ± 0.005,0.21858 ± 0.004,0.21875 ± 0.004,0.21997 ± 0.004,0.23608 ± 0.003,0.21351 ± 0.007,0.26380 ± 0.020,0.23430 ± 0.008,0.23714 ± 0.007,0.23627 ± 0.004,0.25662 ± 0.005
Q1_Q2_0.75,0.46431 ± 0.002,0.29205 ± 0.001,0.12655 ± 0.001,0.16550 ± 0.005,0.14945 ± 0.009,0.15818 ± 0.003,0.16431 ± 0.034,0.13736 ± 0.002,0.12506 ± 0.001,0.11977 ± 0.010,0.13377 ± 0.010,0.12103 ± 0.003,0.10045 ± 0.001,0.16157 ± 0.002
Q1_Q3_0.75,0.45781 ± 0.003,0.29985 ± 0.001,0.11071 ± 0.001,0.16075 ± 0.007,0.13646 ± 0.005,0.15911 ± 0.009,0.18119 ± 0.015,0.12694 ± 0.002,0.13296 ± 0.043,0.11310 ± 0.022,0.11075 ± 0.002,0.11237 ± 0.004,0.10017 ± 0.001,0.14843 ± 0.001
Q1_Q4_0.75,0.45837 ± 0.004,0.36206 ± 0.002,0.14167 ± 0.001,0.14986 ± 0.001,0.14740 ± 0.004,0.16049 ± 0.022,0.15437 ± 0.009,0.14580 ± 0.001,0.28556 ± 0.086,0.15729 ± 0.003,0.14321 ± 0.001,0.14420 ± 0.001,0.15262 ± 0.001,0.17347 ± 0.001
