,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.15283 ± 0.001,0.11019 ± 0.002,0.10257 ± 0.002,inf ± nan,0.10924 ± 0.003,0.13585 ± 0.003,0.08705 ± 0.003,0.14076 ± 0.008,0.11060 ± 0.002,0.11333 ± 0.002,0.17551 ± 0.003,0.18396 ± 0.003
0.2,0.13762 ± 0.001,0.11932 ± 0.001,0.10508 ± 0.001,inf ± nan,0.10539 ± 0.002,0.13215 ± 0.002,0.08938 ± 0.001,0.12915 ± 0.006,0.10598 ± 0.001,0.10501 ± 0.001,0.15780 ± 0.001,0.17024 ± 0.001
0.3,0.13480 ± 0.001,0.14232 ± 0.003,0.10745 ± 0.001,inf ± nan,0.10815 ± 0.003,0.13525 ± 0.001,0.10114 ± 0.002,0.13296 ± 0.005,0.10912 ± 0.001,0.10796 ± 0.003,0.15481 ± 0.001,0.16787 ± 0.001
0.4,0.13878 ± 0.001,0.15601 ± 0.002,0.11743 ± 0.001,nan ± nan,0.12005 ± 0.002,0.14202 ± 0.001,0.11595 ± 0.003,0.14156 ± 0.004,0.11663 ± 0.002,0.11785 ± 0.000,0.15988 ± 0.001,0.17025 ± 0.001
0.5,0.13275 ± 0.001,0.15381 ± 0.000,0.11560 ± 0.002,nan ± nan,0.12468 ± 0.002,0.14232 ± 0.001,0.12003 ± 0.002,0.13809 ± 0.003,0.11648 ± 0.003,0.11628 ± 0.002,0.15500 ± 0.001,0.16629 ± 0.001
0.6,0.13515 ± 0.001,0.15839 ± 0.001,0.12061 ± 0.001,0.13515 ± 0.001,0.12496 ± 0.004,0.14375 ± 0.001,0.11557 ± 0.002,0.16002 ± 0.018,0.12190 ± 0.001,0.12185 ± 0.002,0.15298 ± 0.000,0.16882 ± 0.001
0.7,0.13714 ± 0.001,0.15710 ± 0.001,0.13194 ± 0.002,0.13714 ± 0.001,0.13225 ± 0.001,0.14749 ± 0.001,0.12599 ± 0.002,0.16137 ± 0.018,0.13254 ± 0.001,0.12668 ± 0.002,0.15399 ± 0.001,0.16905 ± 0.001
0.8,0.13742 ± 0.001,0.15006 ± 0.001,0.13726 ± 0.001,0.13742 ± 0.001,0.15776 ± 0.003,0.14601 ± 0.001,0.14223 ± 0.003,0.18471 ± 0.015,0.13781 ± 0.002,0.13419 ± 0.002,0.15574 ± 0.001,0.17031 ± 0.001
0.9,0.13534 ± 0.001,0.15063 ± 0.001,0.13955 ± 0.004,0.13534 ± 0.001,0.17447 ± 0.014,0.14162 ± 0.001,0.15920 ± 0.005,0.17928 ± 0.017,0.62463 ± 0.256,0.13963 ± 0.004,0.15563 ± 0.001,0.16787 ± 0.001
