,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.72360 ± 0.009,0.70418 ± 0.009,0.67579 ± 0.011,0.67573 ± 0.009,0.67525 ± 0.004,46680386136180374951484719104.00000 ± 93360772263194992275410124800.000,0.66872 ± 0.013,0.67600 ± 0.011,0.67913 ± 0.011,0.69902 ± 0.012,0.69078 ± 0.007,0.68603 ± 0.010,73637.24795 ± 8241.538,0.68014 ± 0.017
0.2,0.73420 ± 0.012,0.72546 ± 0.006,0.70879 ± 0.007,0.69294 ± 0.003,0.68854 ± 0.008,1925844190644776732158242848768.00000 ± 3851688381289553464316485697536.000,0.68568 ± 0.009,0.69946 ± 0.006,0.67902 ± 0.009,0.70717 ± 0.015,0.69556 ± 0.008,0.69099 ± 0.012,61115.43475 ± 8032.868,0.71751 ± 0.008
0.3,0.75701 ± 0.014,0.70858 ± 0.007,0.70520 ± 0.011,0.71747 ± 0.009,0.69214 ± 0.015,496055824914739795853312.00000 ± 992111649829469391159296.000,0.68357 ± 0.011,0.69918 ± 0.010,0.67737 ± 0.008,0.69597 ± 0.011,0.68788 ± 0.013,0.68235 ± 0.009,54285.19685 ± 4784.522,0.72270 ± 0.014
0.4,0.78017 ± 0.005,0.75125 ± 0.008,0.72627 ± 0.006,0.73220 ± 0.009,0.71751 ± 0.008,32174.05193 ± 64346.164,0.71432 ± 0.002,0.71838 ± 0.006,0.72231 ± 0.013,0.71829 ± 0.006,0.70951 ± 0.007,0.71192 ± 0.006,44320.30592 ± 2593.959,0.75000 ± 0.011
0.5,0.76647 ± 0.013,0.72683 ± 0.008,0.74122 ± 0.007,0.77310 ± 0.013,0.72538 ± 0.014,1133440060653051136.00000 ± 2266880121306102272.000,0.73491 ± 0.011,0.73874 ± 0.009,0.73476 ± 0.006,0.74001 ± 0.011,0.73649 ± 0.013,0.73128 ± 0.017,37785.29677 ± 1856.861,0.77023 ± 0.014
0.6,0.78400 ± 0.010,0.74781 ± 0.007,0.73200 ± 0.008,0.76190 ± 0.009,0.72539 ± 0.008,0.73200 ± 0.008,0.73408 ± 0.007,0.73320 ± 0.005,0.72353 ± 0.006,0.72535 ± 0.007,0.73535 ± 0.018,0.73243 ± 0.019,33159.88702 ± 1562.778,0.76596 ± 0.009
0.7,0.79659 ± 0.009,0.77639 ± 0.007,0.78244 ± 0.009,0.80101 ± 0.010,0.78027 ± 0.014,0.78244 ± 0.009,0.77902 ± 0.007,0.78089 ± 0.009,0.77124 ± 0.018,0.79022 ± 0.014,0.79446 ± 0.016,0.79750 ± 0.009,23774.96220 ± 1298.194,0.80831 ± 0.018
0.8,0.79854 ± 0.008,0.77393 ± 0.005,0.81499 ± 0.017,0.81348 ± 0.015,0.79031 ± 0.007,0.81499 ± 0.017,0.80312 ± 0.013,0.79976 ± 0.008,0.78945 ± 0.004,0.79201 ± 0.005,0.80771 ± 0.012,0.80158 ± 0.010,13396.22907 ± 693.403,0.83248 ± 0.024
0.9,0.79899 ± 0.008,0.78582 ± 0.008,0.81604 ± 0.006,0.81328 ± 0.012,0.80055 ± 0.011,0.81604 ± 0.006,0.81132 ± 0.014,0.80938 ± 0.008,0.80615 ± 0.007,0.80900 ± 0.013,0.80863 ± 0.009,0.81096 ± 0.012,6149.07935 ± 563.793,0.83737 ± 0.009
