,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.59967 ± 0.004,0.58133 ± 0.006,0.59751 ± 0.004,0.59491 ± 0.004,0.58957 ± 0.004,0.72065 ± 0.113,0.59499 ± 0.004,0.59481 ± 0.003,0.59500 ± 0.004,0.60459 ± 0.005,0.65540 ± 0.005,0.65824 ± 0.007,0.66562 ± 0.012,0.60026 ± 0.005
Q1_Q3_0.25,0.60290 ± 0.006,0.58965 ± 0.006,0.59135 ± 0.006,0.59109 ± 0.004,0.58993 ± 0.004,0.58863 ± 0.006,0.59187 ± 0.005,0.59259 ± 0.006,0.59027 ± 0.004,0.60340 ± 0.006,0.65976 ± 0.003,0.65940 ± 0.011,0.66334 ± 0.013,0.60046 ± 0.010
Q1_Q4_0.25,0.60734 ± 0.009,0.61338 ± 0.007,0.61147 ± 0.007,0.60057 ± 0.007,0.60072 ± 0.006,0.69414 ± 0.118,0.60399 ± 0.005,0.60850 ± 0.006,0.59858 ± 0.006,0.61911 ± 0.007,0.66623 ± 0.008,0.66987 ± 0.013,0.67375 ± 0.015,0.61538 ± 0.008
Q2_Q3_0.25,0.59337 ± 0.005,0.59668 ± 0.004,0.58119 ± 0.004,0.58789 ± 0.006,0.58911 ± 0.005,0.84037 ± 0.014,0.58485 ± 0.005,0.58444 ± 0.004,0.58818 ± 0.006,0.59662 ± 0.006,0.65841 ± 0.008,0.65058 ± 0.008,0.66805 ± 0.014,0.59057 ± 0.008
Q2_Q4_0.25,0.59106 ± 0.007,0.60402 ± 0.009,0.59292 ± 0.008,0.59058 ± 0.006,0.59255 ± 0.006,0.69374 ± 0.120,0.59449 ± 0.007,0.59337 ± 0.007,0.59206 ± 0.006,0.60130 ± 0.005,0.65451 ± 0.008,0.65735 ± 0.009,0.67188 ± 0.007,0.60486 ± 0.008
Q3_Q4_0.25,0.59699 ± 0.007,0.61855 ± 0.011,0.60180 ± 0.007,0.59817 ± 0.007,0.59545 ± 0.008,0.79510 ± 0.097,0.59928 ± 0.008,0.60233 ± 0.008,0.59218 ± 0.007,0.61263 ± 0.006,0.66157 ± 0.004,0.65947 ± 0.014,0.67706 ± 0.010,0.61382 ± 0.010
Q1_0.25,0.58634 ± 0.006,0.57945 ± 0.004,0.59256 ± 0.008,0.58823 ± 0.007,0.58680 ± 0.006,0.79418 ± 0.098,0.58931 ± 0.007,0.59016 ± 0.008,0.58834 ± 0.006,0.59527 ± 0.005,0.64875 ± 0.009,0.64290 ± 0.005,0.67015 ± 0.012,0.59466 ± 0.009
Q2_0.25,0.57925 ± 0.009,0.58469 ± 0.004,0.58137 ± 0.005,0.58449 ± 0.005,0.58261 ± 0.004,0.79474 ± 0.106,0.58483 ± 0.005,0.58489 ± 0.004,0.58301 ± 0.005,0.59405 ± 0.006,0.64481 ± 0.007,0.64594 ± 0.004,0.66682 ± 0.011,0.58961 ± 0.004
Q3_0.25,0.58557 ± 0.007,0.59047 ± 0.005,0.58136 ± 0.004,0.58269 ± 0.005,0.58634 ± 0.005,0.80196 ± 0.073,0.58602 ± 0.005,0.58448 ± 0.005,0.58566 ± 0.005,0.59692 ± 0.008,0.65051 ± 0.009,0.65150 ± 0.019,0.67218 ± 0.002,0.58963 ± 0.002
Q4_0.25,0.58686 ± 0.008,0.60190 ± 0.006,0.59580 ± 0.005,0.59534 ± 0.004,0.59252 ± 0.004,0.84771 ± 0.004,0.59342 ± 0.004,0.59610 ± 0.004,0.58784 ± 0.003,0.60449 ± 0.008,0.65675 ± 0.006,0.65897 ± 0.011,0.67430 ± 0.006,0.59793 ± 0.007
Q1_Q2_0.5,0.61767 ± 0.005,0.58136 ± 0.009,0.61620 ± 0.005,0.62015 ± 0.005,0.60371 ± 0.006,0.66238 ± 0.094,0.61131 ± 0.006,0.61657 ± 0.006,0.60995 ± 0.004,0.61240 ± 0.005,0.66848 ± 0.007,0.66478 ± 0.013,0.64972 ± 0.008,0.62683 ± 0.006
Q1_Q3_0.5,0.61597 ± 0.012,0.59326 ± 0.007,0.60651 ± 0.008,0.60953 ± 0.007,0.60487 ± 0.005,0.74804 ± 0.123,0.60781 ± 0.008,0.60386 ± 0.008,0.60836 ± 0.008,0.61366 ± 0.005,0.66910 ± 0.011,0.66433 ± 0.008,0.66824 ± 0.007,0.62033 ± 0.009
Q1_Q4_0.5,0.63318 ± 0.011,0.63363 ± 0.006,0.65738 ± 0.008,0.65375 ± 0.007,0.63759 ± 0.009,0.76923 ± 0.095,0.64984 ± 0.008,0.65290 ± 0.009,0.63766 ± 0.008,0.66243 ± 0.007,0.70166 ± 0.005,0.69699 ± 0.009,0.67619 ± 0.008,0.67157 ± 0.011
Q2_Q3_0.5,0.59673 ± 0.008,0.59217 ± 0.008,0.58730 ± 0.004,0.60240 ± 0.004,0.60815 ± 0.005,0.78641 ± 0.100,0.60709 ± 0.005,0.60062 ± 0.004,0.61091 ± 0.008,0.60724 ± 0.004,0.66128 ± 0.011,0.66500 ± 0.012,0.65668 ± 0.013,0.60429 ± 0.008
Q2_Q4_0.5,0.61737 ± 0.006,0.63278 ± 0.005,0.61783 ± 0.003,0.62484 ± 0.001,0.62274 ± 0.004,0.75079 ± 0.110,0.63076 ± 0.003,0.62285 ± 0.003,0.61701 ± 0.005,0.63537 ± 0.005,0.67662 ± 0.008,0.68460 ± 0.012,0.66803 ± 0.005,0.63804 ± 0.004
Q3_Q4_0.5,0.61435 ± 0.008,0.62099 ± 0.003,0.62374 ± 0.006,0.63514 ± 0.007,0.62779 ± 0.006,0.75693 ± 0.111,0.62584 ± 0.003,0.63255 ± 0.005,0.62052 ± 0.002,0.64415 ± 0.011,0.68379 ± 0.004,0.68323 ± 0.008,0.65867 ± 0.008,0.64581 ± 0.004
Q1_0.5,0.60510 ± 0.008,0.57481 ± 0.004,0.61073 ± 0.007,0.60699 ± 0.007,0.60009 ± 0.005,0.77876 ± 0.090,0.60415 ± 0.008,0.60691 ± 0.006,0.59881 ± 0.007,0.61781 ± 0.008,0.66501 ± 0.010,0.66333 ± 0.009,0.65892 ± 0.005,0.61188 ± 0.006
Q2_0.5,0.58752 ± 0.012,0.59003 ± 0.004,0.57903 ± 0.003,0.59261 ± 0.002,0.58560 ± 0.004,0.80708 ± 0.082,0.58848 ± 0.005,0.58458 ± 0.005,0.58890 ± 0.006,0.59623 ± 0.006,0.65087 ± 0.006,0.64854 ± 0.013,0.66031 ± 0.011,0.58869 ± 0.006
Q3_0.5,0.58579 ± 0.010,0.59959 ± 0.004,0.58339 ± 0.004,0.59036 ± 0.004,0.58651 ± 0.005,0.76529 ± 0.105,0.58765 ± 0.005,0.58547 ± 0.005,0.59061 ± 0.004,0.59715 ± 0.010,0.65381 ± 0.007,0.66044 ± 0.008,0.67005 ± 0.005,0.59407 ± 0.006
Q4_0.5,0.60554 ± 0.010,0.62804 ± 0.010,0.61334 ± 0.008,0.61050 ± 0.007,0.60580 ± 0.006,0.81923 ± 0.059,0.61040 ± 0.006,0.61388 ± 0.008,0.60261 ± 0.006,0.61897 ± 0.010,0.67212 ± 0.012,0.67265 ± 0.010,0.67036 ± 0.002,0.62673 ± 0.004
Q1_Q2_0.75,0.62708 ± 0.002,0.57944 ± 0.004,0.65814 ± 0.008,0.68486 ± 0.003,0.63934 ± 0.007,0.80598 ± 0.071,0.64542 ± 0.007,0.65930 ± 0.007,0.64410 ± 0.007,0.64882 ± 0.011,0.71912 ± 0.010,0.70268 ± 0.007,0.63234 ± 0.010,0.67281 ± 0.007
Q1_Q3_0.75,0.63883 ± 0.013,0.59204 ± 0.002,0.62565 ± 0.004,0.65346 ± 0.011,0.62852 ± 0.005,0.80206 ± 0.087,0.63325 ± 0.010,0.62635 ± 0.005,0.63350 ± 0.004,0.63767 ± 0.005,0.69250 ± 0.008,0.69029 ± 0.003,0.66631 ± 0.006,0.64372 ± 0.006
Q1_Q4_0.75,0.67123 ± 0.008,0.66133 ± 0.008,0.70244 ± 0.005,0.70750 ± 0.007,0.68394 ± 0.003,0.78377 ± 0.063,0.69405 ± 0.006,0.70037 ± 0.005,0.67710 ± 0.004,0.71398 ± 0.015,0.73208 ± 0.005,0.73694 ± 0.008,0.67848 ± 0.004,0.71541 ± 0.005
