,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.12714 ± 0.001,0.09513 ± 0.003,0.08214 ± 0.001,34328.80000 ± 52749.688,0.09157 ± 0.004,0.11776 ± 0.002,0.07642 ± 0.002,0.08089 ± 0.004,0.08900 ± 0.005,0.08655 ± 0.005,0.12932 ± 0.004,0.16112 ± 0.002
Q1_Q3_0.25,0.11901 ± 0.001,0.09030 ± 0.001,0.07813 ± 0.001,0.07406 ± 0.002,0.08803 ± 0.000,0.11311 ± 0.001,0.07268 ± 0.002,0.09618 ± 0.005,0.08542 ± 0.003,0.08446 ± 0.002,0.13451 ± 0.002,0.15597 ± 0.002
Q1_Q4_0.25,0.18311 ± 0.002,0.13145 ± 0.002,0.11747 ± 0.001,542.39545 ± 862.006,0.13932 ± 0.001,0.16607 ± 0.002,0.10780 ± 0.004,0.16670 ± 0.003,0.13595 ± 0.003,0.13751 ± 0.002,0.20008 ± 0.001,0.20917 ± 0.002
Q2_Q3_0.25,0.05503 ± 0.001,0.07564 ± 0.002,0.06946 ± 0.001,inf ± nan,0.07441 ± 0.001,0.07002 ± 0.001,0.07279 ± 0.001,0.07629 ± 0.007,0.06650 ± 0.002,0.06564 ± 0.003,0.09652 ± 0.001,0.11614 ± 0.002
Q2_Q4_0.25,0.16220 ± 0.004,0.12546 ± 0.006,0.10900 ± 0.003,64347884000000.00000 ± 128695770000000.000,0.12581 ± 0.005,0.14604 ± 0.003,0.10220 ± 0.004,0.14730 ± 0.004,0.12245 ± 0.004,0.12574 ± 0.004,0.18111 ± 0.005,0.19099 ± 0.005
Q3_Q4_0.25,0.16352 ± 0.001,0.11649 ± 0.002,0.10962 ± 0.002,inf ± nan,0.12149 ± 0.001,0.14895 ± 0.002,0.09528 ± 0.002,0.14213 ± 0.006,0.12521 ± 0.004,0.12812 ± 0.003,0.17864 ± 0.003,0.19145 ± 0.001
Q1_0.25,0.15964 ± 0.002,0.09661 ± 0.001,0.08399 ± 0.002,inf ± nan,0.10392 ± 0.003,0.13935 ± 0.002,0.07453 ± 0.002,0.07644 ± 0.001,0.09703 ± 0.005,0.08842 ± 0.006,0.15985 ± 0.005,0.18749 ± 0.004
Q2_0.25,0.06734 ± 0.001,0.07526 ± 0.002,0.06764 ± 0.001,inf ± nan,0.07487 ± 0.001,0.07425 ± 0.003,0.06904 ± 0.002,0.06751 ± 0.011,0.06804 ± 0.002,0.06687 ± 0.003,0.10080 ± 0.005,0.11982 ± 0.003
Q3_0.25,0.04430 ± 0.001,0.07133 ± 0.002,0.06493 ± 0.002,inf ± nan,0.06730 ± 0.001,0.06512 ± 0.001,0.06281 ± 0.001,0.08543 ± 0.006,0.06199 ± 0.002,0.06338 ± 0.003,0.09718 ± 0.004,0.10968 ± 0.002
Q4_0.25,0.22662 ± 0.003,0.14558 ± 0.006,0.14157 ± 0.004,inf ± nan,0.16271 ± 0.004,0.19824 ± 0.003,0.11844 ± 0.006,0.18231 ± 0.011,0.16318 ± 0.005,0.17304 ± 0.007,0.24202 ± 0.006,0.24490 ± 0.005
