,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.73829 ± 0.008,0.66494 ± 0.006,0.65861 ± 0.005,0.65328 ± 0.005,0.65180 ± 0.004,0.72065 ± 0.113,0.65186 ± 0.004,0.65587 ± 0.004,0.65060 ± 0.005,0.65033 ± 0.004,0.67265 ± 0.004,0.67318 ± 0.006,0.79105 ± 0.012,0.66751 ± 0.006
Q1_Q3_0.25,0.72739 ± 0.004,0.67340 ± 0.005,0.65856 ± 0.005,0.65456 ± 0.005,0.65507 ± 0.004,0.58863 ± 0.006,0.65629 ± 0.004,0.66110 ± 0.005,0.65319 ± 0.003,0.65720 ± 0.005,0.67542 ± 0.004,0.67285 ± 0.009,0.79563 ± 0.010,0.66872 ± 0.008
Q1_Q4_0.25,0.72992 ± 0.003,0.71403 ± 0.008,0.67354 ± 0.007,0.65875 ± 0.007,0.65945 ± 0.006,0.69414 ± 0.118,0.66145 ± 0.007,0.67329 ± 0.008,0.65598 ± 0.007,0.66943 ± 0.005,0.68264 ± 0.008,0.68454 ± 0.011,0.79815 ± 0.009,0.68252 ± 0.007
Q2_Q3_0.25,0.71218 ± 0.010,0.67607 ± 0.006,0.64627 ± 0.004,0.65008 ± 0.005,0.65128 ± 0.005,0.84037 ± 0.014,0.64623 ± 0.005,0.65087 ± 0.005,0.64659 ± 0.005,0.64931 ± 0.005,0.66997 ± 0.008,0.66548 ± 0.007,0.79410 ± 0.011,0.65707 ± 0.007
Q2_Q4_0.25,0.69951 ± 0.009,0.72083 ± 0.011,0.65670 ± 0.007,0.65144 ± 0.006,0.65367 ± 0.006,0.69374 ± 0.120,0.65348 ± 0.006,0.65683 ± 0.006,0.65100 ± 0.006,0.65540 ± 0.007,0.67066 ± 0.007,0.67373 ± 0.009,0.79938 ± 0.008,0.66626 ± 0.008
Q3_Q4_0.25,0.70392 ± 0.010,0.73045 ± 0.008,0.66666 ± 0.007,0.65510 ± 0.006,0.65673 ± 0.006,0.79510 ± 0.097,0.65728 ± 0.007,0.66538 ± 0.007,0.65128 ± 0.006,0.66258 ± 0.007,0.67338 ± 0.004,0.67531 ± 0.011,0.79943 ± 0.007,0.67809 ± 0.006
Q1_0.25,0.71197 ± 0.007,0.65144 ± 0.004,0.65495 ± 0.006,0.64880 ± 0.006,0.64883 ± 0.006,0.79418 ± 0.098,0.65068 ± 0.005,0.65590 ± 0.005,0.65009 ± 0.005,0.64945 ± 0.004,0.67033 ± 0.005,0.66613 ± 0.003,0.79372 ± 0.011,0.66165 ± 0.007
Q2_0.25,0.68687 ± 0.006,0.66556 ± 0.006,0.64658 ± 0.005,0.64648 ± 0.006,0.64824 ± 0.005,0.79474 ± 0.106,0.64735 ± 0.004,0.64775 ± 0.005,0.64640 ± 0.005,0.64890 ± 0.006,0.66327 ± 0.006,0.66573 ± 0.006,0.79399 ± 0.010,0.65265 ± 0.005
Q3_0.25,0.68000 ± 0.009,0.66984 ± 0.003,0.64624 ± 0.004,0.64772 ± 0.004,0.64866 ± 0.005,0.80196 ± 0.073,0.64890 ± 0.005,0.64966 ± 0.005,0.64886 ± 0.005,0.64962 ± 0.005,0.66780 ± 0.007,0.66599 ± 0.014,0.79658 ± 0.008,0.65085 ± 0.005
Q4_0.25,0.67683 ± 0.005,0.72245 ± 0.008,0.66763 ± 0.006,0.65675 ± 0.007,0.65452 ± 0.005,0.84771 ± 0.004,0.65679 ± 0.005,0.66570 ± 0.006,0.64936 ± 0.004,0.65737 ± 0.005,0.67486 ± 0.006,0.67466 ± 0.011,0.80135 ± 0.007,0.66953 ± 0.008
Q1_Q2_0.5,0.77756 ± 0.007,0.66563 ± 0.005,0.67644 ± 0.005,0.67816 ± 0.006,0.66187 ± 0.005,0.66238 ± 0.094,0.66381 ± 0.005,0.68150 ± 0.005,0.66542 ± 0.002,0.66274 ± 0.007,0.68573 ± 0.009,0.68115 ± 0.009,0.78581 ± 0.014,0.69709 ± 0.005
Q1_Q3_0.5,0.75684 ± 0.009,0.68278 ± 0.004,0.66683 ± 0.007,0.66653 ± 0.006,0.66399 ± 0.004,0.74804 ± 0.123,0.66364 ± 0.007,0.66928 ± 0.005,0.66163 ± 0.005,0.66227 ± 0.004,0.68112 ± 0.009,0.67884 ± 0.007,0.79474 ± 0.010,0.68583 ± 0.006
Q1_Q4_0.5,0.76458 ± 0.008,0.76107 ± 0.007,0.71121 ± 0.008,0.70861 ± 0.006,0.69129 ± 0.006,0.76923 ± 0.095,0.69315 ± 0.007,0.71403 ± 0.008,0.68213 ± 0.007,0.70781 ± 0.007,0.71364 ± 0.003,0.70752 ± 0.007,0.80225 ± 0.008,0.72982 ± 0.008
Q2_Q3_0.5,0.73100 ± 0.005,0.69180 ± 0.006,0.64987 ± 0.005,0.65855 ± 0.003,0.66708 ± 0.004,0.78641 ± 0.100,0.66049 ± 0.003,0.66130 ± 0.006,0.66357 ± 0.004,0.65878 ± 0.007,0.67924 ± 0.007,0.67829 ± 0.009,0.79506 ± 0.010,0.66573 ± 0.007
Q2_Q4_0.5,0.73474 ± 0.003,0.76444 ± 0.009,0.68025 ± 0.006,0.67629 ± 0.005,0.67414 ± 0.007,0.75079 ± 0.110,0.67284 ± 0.005,0.68391 ± 0.007,0.66200 ± 0.007,0.67639 ± 0.006,0.69090 ± 0.010,0.69432 ± 0.013,0.80145 ± 0.007,0.69653 ± 0.007
Q3_Q4_0.5,0.71729 ± 0.009,0.78991 ± 0.007,0.70026 ± 0.007,0.69744 ± 0.006,0.67829 ± 0.006,0.75693 ± 0.111,0.67934 ± 0.004,0.70109 ± 0.006,0.66729 ± 0.004,0.69600 ± 0.009,0.69817 ± 0.005,0.69746 ± 0.008,0.80200 ± 0.006,0.71431 ± 0.007
Q1_0.5,0.75356 ± 0.006,0.65282 ± 0.004,0.66884 ± 0.006,0.66263 ± 0.004,0.65743 ± 0.004,0.77876 ± 0.090,0.65690 ± 0.005,0.66756 ± 0.006,0.65469 ± 0.004,0.65988 ± 0.013,0.67832 ± 0.010,0.67631 ± 0.006,0.79088 ± 0.013,0.67701 ± 0.005
Q2_0.5,0.71461 ± 0.011,0.67575 ± 0.004,0.64767 ± 0.005,0.65563 ± 0.004,0.65159 ± 0.005,0.80708 ± 0.082,0.65226 ± 0.006,0.65226 ± 0.005,0.64995 ± 0.005,0.65266 ± 0.006,0.67024 ± 0.006,0.66864 ± 0.013,0.79213 ± 0.011,0.65765 ± 0.007
