,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.72366 ± 0.005,0.66339 ± 0.008,0.68854 ± 0.013,0.68823 ± 0.012,0.67732 ± 0.003,0.72065 ± 0.113,0.68472 ± 0.011,0.69056 ± 0.013,0.68102 ± 0.012,0.68435 ± 0.008,0.68154 ± 0.010,0.68102 ± 0.011,71806.09446 ± 10789.809,0.70225 ± 0.014
Q1_Q3_0.25,0.72316 ± 0.006,0.66627 ± 0.003,0.68499 ± 0.009,0.67760 ± 0.005,0.66724 ± 0.006,0.58863 ± 0.006,0.68283 ± 0.005,0.67575 ± 0.009,0.68191 ± 0.006,0.68006 ± 0.008,0.68550 ± 0.008,0.68297 ± 0.013,72022.77846 ± 12087.085,0.69271 ± 0.004
Q1_Q4_0.25,0.73812 ± 0.014,0.70489 ± 0.007,0.71093 ± 0.011,0.68784 ± 0.010,0.67796 ± 0.012,0.69414 ± 0.118,0.69324 ± 0.008,0.70651 ± 0.013,0.68345 ± 0.020,0.70455 ± 0.006,0.68663 ± 0.006,0.69013 ± 0.013,71360.19216 ± 11948.066,0.70639 ± 0.012
Q2_Q3_0.25,0.71037 ± 0.015,0.67205 ± 0.003,0.65568 ± 0.010,0.66387 ± 0.008,0.67562 ± 0.013,0.84037 ± 0.014,0.66222 ± 0.007,0.66827 ± 0.005,0.67015 ± 0.006,0.67983 ± 0.008,0.68293 ± 0.009,0.67719 ± 0.005,73853.16020 ± 10903.695,0.66410 ± 0.011
Q2_Q4_0.25,0.69183 ± 0.008,0.71879 ± 0.009,0.69304 ± 0.010,0.67828 ± 0.011,0.68806 ± 0.012,0.69374 ± 0.120,0.67909 ± 0.008,0.68549 ± 0.013,0.67546 ± 0.009,0.68718 ± 0.017,0.67663 ± 0.006,0.68033 ± 0.012,71212.49176 ± 9797.535,0.69019 ± 0.006
Q3_Q4_0.25,0.70544 ± 0.012,0.73142 ± 0.007,0.68984 ± 0.010,0.68205 ± 0.010,0.69639 ± 0.008,0.79510 ± 0.097,0.69059 ± 0.011,0.68635 ± 0.014,0.68040 ± 0.010,0.68965 ± 0.008,0.67757 ± 0.004,0.68336 ± 0.012,75248.38113 ± 12737.357,0.70522 ± 0.013
Q1_0.25,0.71165 ± 0.010,0.65460 ± 0.008,0.67926 ± 0.014,0.66722 ± 0.012,0.66918 ± 0.016,0.79418 ± 0.098,0.67763 ± 0.013,0.67916 ± 0.014,0.67459 ± 0.012,0.67414 ± 0.011,0.67786 ± 0.006,0.67201 ± 0.004,79992.66132 ± 13430.523,0.68519 ± 0.013
Q2_0.25,0.68763 ± 0.015,0.66285 ± 0.006,0.66286 ± 0.009,0.66853 ± 0.010,0.66370 ± 0.009,0.79474 ± 0.106,0.66502 ± 0.008,0.66116 ± 0.010,0.66341 ± 0.009,0.67785 ± 0.013,0.67707 ± 0.008,0.67750 ± 0.008,78980.06359 ± 12477.305,0.66555 ± 0.010
Q3_0.25,0.68777 ± 0.006,0.67475 ± 0.003,0.66230 ± 0.009,0.65995 ± 0.010,0.66023 ± 0.006,0.80196 ± 0.073,0.66206 ± 0.010,0.66079 ± 0.006,0.66183 ± 0.010,0.67885 ± 0.008,0.68159 ± 0.009,0.67524 ± 0.011,73883.17504 ± 13039.718,0.65779 ± 0.005
Q4_0.25,0.67849 ± 0.011,0.71536 ± 0.009,0.70958 ± 0.010,0.69540 ± 0.020,0.69692 ± 0.015,0.84771 ± 0.004,0.69071 ± 0.020,0.69481 ± 0.010,0.68822 ± 0.008,0.69518 ± 0.010,0.67954 ± 0.006,0.67789 ± 0.011,73089.17691 ± 11300.388,0.70495 ± 0.010
Q1_Q2_0.5,0.76543 ± 0.006,0.65939 ± 0.005,0.70142 ± 0.008,0.70068 ± 0.014,0.68605 ± 0.009,0.66238 ± 0.094,0.68990 ± 0.008,0.69449 ± 0.007,0.69011 ± 0.010,0.68965 ± 0.016,0.69627 ± 0.009,0.69079 ± 0.011,56245.70800 ± 4853.381,0.72632 ± 0.006
Q1_Q3_0.5,0.75462 ± 0.012,0.67304 ± 0.004,0.69062 ± 0.011,0.68981 ± 0.017,0.68195 ± 0.007,0.74804 ± 0.123,0.68092 ± 0.011,0.68443 ± 0.009,0.67528 ± 0.010,0.68565 ± 0.004,0.69662 ± 0.015,0.69171 ± 0.010,57061.33510 ± 6350.216,0.70666 ± 0.011
Q1_Q4_0.5,0.76627 ± 0.009,0.75547 ± 0.006,0.75384 ± 0.014,0.74300 ± 0.011,0.72459 ± 0.008,0.76923 ± 0.095,0.73732 ± 0.009,0.74899 ± 0.019,0.71867 ± 0.011,0.74145 ± 0.013,0.71968 ± 0.006,0.71406 ± 0.012,59305.42964 ± 6671.889,0.76694 ± 0.012
Q2_Q3_0.5,0.72818 ± 0.008,0.68683 ± 0.009,0.66688 ± 0.008,0.67462 ± 0.005,0.67925 ± 0.009,0.78641 ± 0.100,0.68238 ± 0.009,0.67928 ± 0.011,0.69035 ± 0.009,0.69077 ± 0.017,0.68749 ± 0.011,0.69128 ± 0.008,56399.36986 ± 5124.479,0.68011 ± 0.009
Q2_Q4_0.5,0.73145 ± 0.003,0.75302 ± 0.012,0.71842 ± 0.008,0.72259 ± 0.013,0.70561 ± 0.012,0.75079 ± 0.110,0.71432 ± 0.010,0.72625 ± 0.015,0.70790 ± 0.017,0.71899 ± 0.013,0.69403 ± 0.010,0.69391 ± 0.013,56549.36552 ± 4975.734,0.71763 ± 0.014
