,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Q1_Q2_0.25,0.4511,0.20778,0.12714,0.09513,0.11776,0.08214,0.09157,34328.8,0.16112,0.07642,0.08089,0.08655,0.089,0.12932
Q1_Q3_0.25,0.43859,0.25228,0.11901,0.0903,0.11311,0.07813,0.08803,0.07406,0.15597,0.07268,0.09618,0.08446,0.08542,0.13451
Q1_Q4_0.25,0.42276,0.3542,0.18311,0.13145,0.16607,0.11747,0.13932,542.39545,0.20917,0.1078,0.1667,0.13751,0.13595,0.20008
Q2_Q3_0.25,0.40498,0.28492,0.05503,0.07564,0.07002,0.06946,0.07441,inf,0.11614,0.07279,0.07629,0.06564,0.0665,0.09652
Q2_Q4_0.25,0.3924,0.3779,0.1622,0.12546,0.14604,0.109,0.12581,64347884000000.0,0.19099,0.1022,0.1473,0.12574,0.12245,0.18111
Q3_Q4_0.25,0.36603,0.40923,0.16352,0.11649,0.14895,0.10962,0.12149,inf,0.19145,0.09528,0.14213,0.12812,0.12521,0.17864
Q1_0.25,0.47851,0.16528,0.15964,0.09661,0.13935,0.08399,0.10392,inf,0.18749,0.07453,0.07644,0.08842,0.09703,0.15985
Q2_0.25,0.42828,0.23952,0.06734,0.07526,0.07425,0.06764,0.07487,inf,0.11982,0.06904,0.06751,0.06687,0.06804,0.1008
Q3_0.25,0.3854,0.32282,0.0443,0.07133,0.06512,0.06493,0.0673,inf,0.10968,0.06281,0.08543,0.06338,0.06199,0.09718
Q4_0.25,0.34912,0.48019,0.22662,0.14558,0.19824,0.14157,0.16271,inf,0.2449,0.11844,0.18231,0.17304,0.16318,0.24202
Q1_Q2_0.5,0.45358,0.20768,0.14616,0.13293,0.14564,0.10415,0.10962,inf,0.17806,0.09409,0.09856,0.10205,0.10984,0.13327
Q1_Q3_0.5,0.43958,0.25366,0.12431,0.12008,0.12588,0.09991,0.09261,inf,0.15932,0.0871,0.09947,0.09038,0.0948,0.13447
Q1_Q4_0.5,0.42226,0.35309,0.18438,0.17533,0.18333,0.13917,0.15203,inf,0.20881,0.13055,0.17908,0.15688,0.15642,0.2026
Q2_Q3_0.5,0.40432,0.28421,0.05639,0.08983,0.07512,0.08488,0.08948,1039404.6,0.11585,0.08801,0.07647,0.07072,0.07038,0.09631
Q2_Q4_0.5,0.38814,0.376,0.16421,0.14803,0.16071,0.12525,0.13164,inf,0.19403,0.11495,0.15923,0.13545,0.13337,0.17945
Q3_Q4_0.5,0.36467,0.40787,0.17688,0.16587,0.17173,0.12956,0.13462,inf,0.20381,0.11592,0.17931,0.14687,0.14193,0.17859
Q1_0.5,0.4795,0.1664,0.16959,0.13642,0.16019,0.09745,0.11397,inf,0.19738,0.09136,0.11148,0.10809,0.11647,0.16165
Q2_0.5,0.43028,0.24169,0.07075,0.08014,0.07753,0.0691,0.07737,inf,0.12175,0.07369,0.06822,0.06795,0.07059,0.09678
Q3_0.5,0.38077,0.32438,0.04751,0.08326,0.0691,0.06907,0.07433,315517630000.0,0.11101,0.07424,0.07395,0.06723,0.06651,0.09668
Q4_0.5,0.34741,0.47577,0.23254,0.17173,0.21619,0.15288,0.1696,inf,0.25416,0.13775,0.20542,0.18864,0.18055,0.23676
Q1_Q2_0.75,0.45278,0.20742,0.17225,0.1747,0.17696,0.13275,0.12819,inf,0.20063,0.12132,0.16774,0.13842,0.15005,0.13335
Q1_Q3_0.75,0.43273,0.25434,0.13433,0.15326,0.14569,0.11264,0.10628,inf,0.16792,0.10925,0.11248,0.10386,0.10698,0.13342
Q1_Q4_0.75,0.42229,0.35079,0.18183,0.19079,0.18544,0.15615,0.16651,inf,0.20789,0.1517,0.19901,0.17246,0.17004,0.19925
Q2_Q3_0.75,0.40368,0.28433,0.05843,0.10885,0.08205,0.08611,0.1089,244322580000.0,0.1164,0.1067,0.07872,0.07745,0.08105,0.09597
Q2_Q4_0.75,0.38834,0.37526,0.17207,0.17783,0.17617,0.13809,0.14472,inf,0.19852,0.13019,0.17788,0.14977,0.1475,0.17849
Q3_Q4_0.75,0.36491,0.40933,0.20226,0.21194,0.20552,0.15396,0.15424,inf,0.2268,0.14389,0.21979,0.19048,0.17871,0.18105
Q1_0.75,0.47729,0.16729,0.18265,0.18312,0.19075,0.11978,0.13632,inf,0.20911,0.1161,0.14353,0.13276,0.14318,0.16164
Q2_0.75,0.42654,0.24242,0.0747,0.08967,0.0834,0.07711,0.08641,inf,0.12596,0.08401,0.06577,0.07115,0.0755,0.09721
Q3_0.75,0.38155,0.324,0.04991,0.09406,0.07282,0.07416,0.08442,inf,0.11138,0.08345,0.07634,0.07087,0.06947,0.09704
Q4_0.75,0.34803,0.47852,0.24958,0.2271,0.24689,0.17861,0.1911,inf,0.26898,0.1683,0.25485,0.21815,0.2092,0.23729
Q1_Q2_1.0,0.45298,0.20738,0.21458,0.2209,0.21825,0.2193,0.21487,inf,0.23668,0.21326,0.23016,0.20787,0.21319,0.13326
Q1_Q3_1.0,0.43381,0.25404,0.15232,0.17936,0.17086,0.13483,0.12693,682819100000000.0,0.18284,0.13675,0.13851,0.13162,0.13892,0.1336
Q1_Q4_1.0,0.4206,0.35161,0.18423,0.18734,0.18548,0.17843,0.18162,56444015000.0,0.2098,0.18002,0.25126,0.18326,0.18371,0.19955
Q2_Q3_1.0,0.40465,0.28464,0.06244,0.13296,0.09095,0.08414,0.14035,inf,0.11799,0.13388,0.09241,0.089,0.09381,0.09562
Q2_Q4_1.0,0.3895,0.37483,0.18589,0.19307,0.19487,0.16062,0.15819,inf,0.21169,0.15631,0.20305,0.17452,0.16672,0.17723
Q3_Q4_1.0,0.36323,0.40857,0.23422,0.23752,0.23876,0.2361,0.21509,inf,0.25341,0.21696,0.26775,0.23386,0.23401,0.17956
Q1_1.0,0.47712,0.16619,0.1976,0.2269,0.21337,0.1469,0.16732,inf,0.22246,0.15357,0.19507,0.16497,0.17716,0.16128
Q2_1.0,0.42598,0.2422,0.08066,0.10576,0.08639,0.08462,0.09806,inf,0.12774,0.09384,0.06661,0.07403,0.07992,0.09683
Q3_1.0,0.37911,0.32441,0.05283,0.11155,0.07852,0.08288,0.0943,inf,0.11371,0.09605,0.08625,0.07536,0.07141,0.09601
Q4_1.0,0.34587,0.47684,0.26395,0.27166,0.27288,0.20409,0.22537,inf,0.28205,0.21178,0.25658,0.24391,0.24118,0.23581
