,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,13.31614,12.94731,12.67064,13.18425,12.84126,12.80831,12.73179,12.74235,12.76086,14.70492,17.09137,17.09548,16.52153,12.75004
Q1_Q3_0.25,13.12481,13.02145,12.63951,13.28624,12.71815,12.75098,12.77142,12.80924,12.72257,14.66722,17.18289,17.13603,16.65218,12.72978
Q1_Q4_0.25,14.26177,14.79258,14.02417,14.18290,14.10839,14.06016,14.09859,14.07553,14.05661,15.35652,17.11905,17.13997,16.86739,14.07796
Q2_Q3_0.25,13.04398,12.81600,12.62936,12.98901,12.63049,12.64680,12.66581,12.68972,12.64185,14.29719,17.14279,17.15183,16.48346,12.71877
Q2_Q4_0.25,14.22719,14.53073,14.02033,13.96426,14.00407,14.01572,14.05071,13.94429,14.02026,15.24361,17.16091,17.15262,16.72312,14.11933
Q3_Q4_0.25,13.87876,14.54645,13.87847,14.07785,13.93607,13.91027,13.84791,13.91576,13.90261,15.24372,17.11769,17.06172,16.89255,13.89987
Q1_0.25,12.95996,12.80671,12.68928,12.82205,12.68733,12.68646,12.70295,12.73994,12.68440,14.71938,17.09826,17.13986,16.60027,12.73549
Q2_0.25,12.89357,12.60649,12.75574,12.80642,12.77133,12.75785,12.75696,12.84630,12.76094,14.46482,17.12709,17.14485,16.61227,12.78002
Q3_0.25,13.01597,12.87060,12.72259,12.94561,12.70868,12.70977,12.68948,12.81673,12.70109,14.05458,17.13516,17.12141,16.66322,12.80082
Q4_0.25,13.80446,14.69592,14.03059,14.12060,14.13684,14.11036,14.08063,13.98616,14.10632,15.35435,17.15268,17.11636,16.82916,14.06265
Q1_Q2_0.5,13.70286,13.13036,12.84021,13.74700,13.29720,12.97365,13.16115,13.24893,13.03357,15.76353,17.11228,17.11823,16.21007,13.16574
Q1_Q3_0.5,13.60862,13.33888,12.24788,13.44287,12.63397,12.61260,12.63910,12.72303,12.61307,14.09954,17.01774,17.09754,16.51795,12.58305
Q1_Q4_0.5,15.03655,15.96688,15.09569,15.06468,15.10024,15.08256,15.15158,15.09943,15.13424,15.77768,17.10247,17.05363,16.99810,15.16664
Q2_Q3_0.5,13.62519,12.78900,12.41845,13.33072,12.52286,12.53791,12.70494,12.74304,12.54490,13.92663,17.09412,17.13946,16.62478,12.60388
Q2_Q4_0.5,15.21871,16.03285,15.35929,15.57305,15.44767,15.35852,15.63393,15.40163,15.40304,15.87551,17.18463,17.18275,16.92326,15.33029
Q3_Q4_0.5,15.19644,15.56457,15.20002,15.20776,15.27162,15.31380,15.27008,15.21261,15.27060,15.34349,17.10324,17.08034,16.90784,15.21420
Q1_0.5,13.32520,12.96671,12.57953,13.34655,12.88164,12.78235,12.71852,12.67612,12.75848,15.24540,17.10133,17.09842,16.63832,12.73616
Q2_0.5,13.27161,12.94372,12.85610,12.97818,12.81755,12.83925,12.87404,13.06767,12.83942,14.63619,17.14917,17.15330,16.53742,12.92381
Q3_0.5,13.01311,12.79647,12.44011,12.80039,12.57050,12.51816,12.50590,12.49303,12.50770,13.46973,17.14877,17.14696,16.76303,12.50266
Q4_0.5,14.89454,16.04021,15.32719,15.39674,15.42845,15.45910,15.38931,15.33503,15.42466,16.26039,17.16052,17.12844,16.89818,15.25752
Q1_Q2_0.75,13.95285,13.03191,12.68009,14.63778,13.50563,13.85142,13.54180,13.88839,13.33080,16.46587,16.33865,16.15071,16.04408,13.16778
Q1_Q3_0.75,14.25064,13.10168,12.02800,13.42213,13.06960,12.94785,12.92310,12.44970,13.01805,14.75689,16.84716,16.73628,16.55218,12.84047
Q1_Q4_0.75,16.09094,17.25243,16.14165,16.09614,16.14832,16.22209,16.42477,16.05907,16.31825,16.40092,17.05040,17.14114,17.01201,16.13313
Q2_Q3_0.75,14.31946,12.32506,12.48705,13.93036,12.59263,12.75501,12.87220,13.05148,12.74701,14.10286,17.17253,17.14860,16.62941,12.90819
Q2_Q4_0.75,16.01073,16.76007,16.38799,16.54892,16.37333,16.30050,16.35076,16.32115,16.33795,16.95734,17.18656,17.18050,16.96128,16.25666
Q3_Q4_0.75,15.83969,16.12683,16.40039,16.63609,16.48581,16.53084,16.61653,16.19799,16.59707,16.74986,17.00801,17.00754,16.62484,16.54427
Q1_0.75,13.41939,13.07798,12.22704,13.06710,12.55020,12.65048,12.72712,12.38576,12.60519,15.29032,17.01679,16.91331,16.44822,12.47326
Q2_0.75,13.56660,12.84095,12.94109,13.37568,13.00734,12.99395,12.99671,13.16423,12.98291,14.80945,17.14299,17.11842,16.41233,13.10259
Q3_0.75,13.19955,13.08915,12.12066,13.04591,12.25356,12.17951,12.24674,12.47004,12.14065,13.33044,17.09415,17.09833,16.91829,12.36241
Q4_0.75,15.57912,16.95508,16.40144,16.34382,16.40032,16.42250,16.45650,16.29867,16.43133,17.02929,17.14378,17.14790,16.72582,16.39545
Q1_Q2_1.0,14.27696,12.80608,15.09096,15.54868,16.34837,15.53271,15.95032,15.95649,15.87862,17.10948,17.19214,17.21932,15.44997,16.30446
Q1_Q3_1.0,14.63033,12.11717,10.48778,11.36917,11.66520,12.07271,12.86298,11.34104,13.42019,15.98936,17.13488,17.04954,16.41975,12.72935
Q1_Q4_1.0,16.62602,18.05268,16.78919,16.71820,16.75306,16.77664,16.72937,16.78283,16.58456,17.02913,17.15043,17.15382,17.07460,16.69700
Q2_Q3_1.0,14.40507,10.58062,12.06378,12.75574,12.39195,13.68710,13.21426,12.90094,13.12480,12.90702,17.15631,17.13006,16.52514,12.70925
Q2_Q4_1.0,16.76300,17.52824,17.21441,17.13431,17.20109,17.13612,17.19870,17.06154,17.18493,17.25748,17.22856,17.24046,17.04050,17.07351
Q3_Q4_1.0,16.65050,16.15698,16.88956,17.03334,17.12387,17.05350,17.01432,16.88484,17.02627,17.22115,17.18319,17.16436,16.26584,16.97837
Q1_1.0,13.45723,13.15776,11.06805,12.23593,11.67809,11.47322,11.78261,11.20879,11.74239,15.87468,17.12061,17.03262,16.43862,11.77932
Q2_1.0,13.85573,12.71001,13.03001,13.56133,13.17770,13.27797,13.33434,13.43182,13.16140,15.78708,17.15655,17.12936,16.33892,13.22508
Q3_1.0,13.43189,12.56744,11.42725,12.40662,11.73275,11.51107,11.48513,11.63414,11.56899,12.54768,17.09317,17.05791,16.96589,11.64256
Q4_1.0,16.58072,17.60520,17.30064,17.17545,17.29835,17.29747,17.28649,17.19620,17.30568,17.61025,17.15971,17.16850,16.58216,17.25774
