,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,9.43975 ± 0.168,10.02872 ± 0.215,9.45212 ± 0.176,9.48728 ± 0.175,9.45323 ± 0.158,9.49096 ± 0.123,9.47609 ± 0.181,12.50845 ± 0.485,15.25219 ± 0.285,15.20159 ± 0.445,14.89950 ± 0.284,9.53603 ± 0.212
Q1_Q3_0.25,8.95301 ± 0.150,9.83459 ± 0.318,8.96622 ± 0.155,8.99248 ± 0.180,9.05048 ± 0.133,9.12875 ± 0.136,9.01156 ± 0.176,12.52823 ± 0.268,15.37007 ± 0.339,15.37925 ± 0.329,14.83614 ± 0.368,9.05520 ± 0.139
Q1_Q4_0.25,11.34676 ± 0.325,11.74607 ± 0.334,11.35334 ± 0.334,11.33352 ± 0.297,11.35042 ± 0.324,11.56863 ± 0.341,11.33827 ± 0.294,13.58000 ± 0.696,15.33748 ± 0.309,15.34950 ± 0.330,15.16234 ± 0.399,11.47809 ± 0.326
Q2_Q3_0.25,8.98279 ± 0.169,9.56234 ± 0.256,8.99198 ± 0.168,9.02161 ± 0.182,9.01443 ± 0.184,8.95742 ± 0.163,9.01572 ± 0.179,11.89751 ± 0.610,15.29298 ± 0.325,15.31781 ± 0.263,14.81488 ± 0.368,9.03445 ± 0.198
Q2_Q4_0.25,10.73882 ± 0.282,11.00869 ± 0.383,10.74063 ± 0.281,10.73773 ± 0.260,10.75247 ± 0.249,10.67269 ± 0.307,10.73962 ± 0.258,13.15257 ± 0.407,15.35845 ± 0.300,15.25915 ± 0.360,15.05005 ± 0.295,10.97599 ± 0.309
Q3_Q4_0.25,10.49748 ± 0.426,10.85254 ± 0.523,10.49081 ± 0.423,10.49279 ± 0.407,10.48654 ± 0.411,10.73227 ± 0.556,10.49607 ± 0.406,13.09817 ± 0.484,15.29390 ± 0.266,15.21408 ± 0.263,15.03891 ± 0.375,10.57058 ± 0.475
Q1_0.25,9.16769 ± 0.180,9.39425 ± 0.221,9.20922 ± 0.192,9.23777 ± 0.206,9.24096 ± 0.187,9.28554 ± 0.159,9.23775 ± 0.203,12.49409 ± 0.616,15.35856 ± 0.286,15.33872 ± 0.322,14.88316 ± 0.342,9.26780 ± 0.178
Q2_0.25,9.15841 ± 0.160,9.22189 ± 0.215,9.15977 ± 0.161,9.15801 ± 0.148,9.14946 ± 0.152,9.28181 ± 0.169,9.15847 ± 0.147,12.11417 ± 0.438,15.32918 ± 0.315,15.36153 ± 0.288,14.91858 ± 0.369,9.20505 ± 0.157
Q3_0.25,8.74857 ± 0.158,9.10157 ± 0.240,8.74856 ± 0.157,8.75335 ± 0.159,8.75482 ± 0.159,8.85146 ± 0.183,8.75257 ± 0.159,11.62856 ± 0.171,15.28253 ± 0.233,15.32430 ± 0.288,14.82435 ± 0.381,8.79895 ± 0.172
Q4_0.25,10.72325 ± 0.353,10.83773 ± 0.320,10.75530 ± 0.340,10.77480 ± 0.331,10.74273 ± 0.338,10.82567 ± 0.377,10.76934 ± 0.331,13.35636 ± 0.844,15.38509 ± 0.307,15.30937 ± 0.245,15.14711 ± 0.374,10.81181 ± 0.362
Q1_Q2_0.5,10.13692 ± 0.238,10.80250 ± 0.427,10.64021 ± 0.298,10.18841 ± 0.232,10.22322 ± 0.333,10.44017 ± 0.340,10.25516 ± 0.308,13.79722 ± 0.586,15.21548 ± 0.298,15.24556 ± 0.258,14.69195 ± 0.210,10.35495 ± 0.295
Q1_Q3_0.5,9.08037 ± 0.174,10.17846 ± 0.283,9.24936 ± 0.467,9.12130 ± 0.158,9.37555 ± 0.390,9.46547 ± 0.196,9.25822 ± 0.216,11.54310 ± 1.130,15.32535 ± 0.334,15.34351 ± 0.358,14.65980 ± 0.390,9.34484 ± 0.260
Q1_Q4_0.5,12.52825 ± 0.269,12.69717 ± 0.389,12.50988 ± 0.284,12.48827 ± 0.255,12.60843 ± 0.276,12.61215 ± 0.340,12.61016 ± 0.271,14.07393 ± 0.507,15.34898 ± 0.355,15.33167 ± 0.344,15.25571 ± 0.389,12.77414 ± 0.313
Q2_Q3_0.5,8.77805 ± 0.214,9.79659 ± 0.243,8.78900 ± 0.214,8.85774 ± 0.263,8.89019 ± 0.199,8.93025 ± 0.307,8.87419 ± 0.256,11.48253 ± 0.743,15.25585 ± 0.228,15.24418 ± 0.294,14.80639 ± 0.308,8.98386 ± 0.268
Q2_Q4_0.5,12.73317 ± 0.265,13.31026 ± 0.360,12.74530 ± 0.266,12.83501 ± 0.297,13.16657 ± 0.437,12.87659 ± 0.362,12.80881 ± 0.287,14.02826 ± 0.912,15.29842 ± 0.256,15.31629 ± 0.311,15.18445 ± 0.341,12.82039 ± 0.276
Q3_Q4_0.5,12.02997 ± 0.365,12.48038 ± 0.490,12.06665 ± 0.372,12.17446 ± 0.364,12.16709 ± 0.365,12.29857 ± 0.343,12.16080 ± 0.363,13.34748 ± 0.902,15.29487 ± 0.261,15.22449 ± 0.309,15.11997 ± 0.477,12.11646 ± 0.298
Q1_0.5,9.58917 ± 0.200,10.39437 ± 0.290,9.57239 ± 0.187,9.60805 ± 0.204,9.60271 ± 0.210,9.64801 ± 0.208,9.60556 ± 0.201,13.10431 ± 0.737,15.34833 ± 0.335,15.33053 ± 0.273,14.97595 ± 0.261,9.76443 ± 0.185
Q2_0.5,9.38859 ± 0.191,9.63160 ± 0.304,9.38729 ± 0.196,9.42061 ± 0.220,9.44692 ± 0.191,9.67827 ± 0.215,9.41942 ± 0.218,12.20105 ± 0.291,15.30748 ± 0.389,15.29046 ± 0.337,14.91203 ± 0.273,9.47910 ± 0.227
Q3_0.5,8.42289 ± 0.187,8.89874 ± 0.244,8.44931 ± 0.183,8.46656 ± 0.196,8.44636 ± 0.196,8.52557 ± 0.145,8.45793 ± 0.195,10.76165 ± 0.519,15.30461 ± 0.307,15.30500 ± 0.312,14.72371 ± 0.406,8.53043 ± 0.206
Q4_0.5,12.44738 ± 0.188,12.82059 ± 0.313,12.51489 ± 0.177,12.58603 ± 0.205,12.53429 ± 0.189,12.57847 ± 0.214,12.55326 ± 0.194,14.65591 ± 0.392,15.39102 ± 0.308,15.36320 ± 0.317,15.13949 ± 0.408,12.45545 ± 0.202
Q1_Q2_0.75,10.86370 ± 0.201,12.03604 ± 0.287,11.56319 ± 0.511,11.71430 ± 0.378,11.11153 ± 0.331,11.40248 ± 0.266,11.12667 ± 0.525,14.65444 ± 0.491,14.62996 ± 0.557,14.36768 ± 0.861,14.59691 ± 0.338,11.19573 ± 0.136
Q1_Q3_0.75,9.28038 ± 0.198,10.44134 ± 0.153,11.26699 ± 0.591,9.74389 ± 0.340,9.86319 ± 0.455,9.60387 ± 0.169,9.93387 ± 0.356,12.75415 ± 1.974,15.14317 ± 0.319,15.02651 ± 0.198,14.52714 ± 0.323,9.93044 ± 0.327
Q1_Q4_0.75,14.14073 ± 0.173,14.22746 ± 0.310,14.34296 ± 0.416,14.35790 ± 0.160,14.53295 ± 0.148,14.15386 ± 0.203,14.45108 ± 0.137,14.84732 ± 0.464,15.36481 ± 0.333,15.40521 ± 0.322,15.27239 ± 0.343,14.35572 ± 0.161
Q2_Q3_0.75,8.57443 ± 0.101,10.32173 ± 0.333,8.57969 ± 0.105,8.75902 ± 0.089,8.83659 ± 0.312,9.16209 ± 0.119,8.87340 ± 0.199,11.40890 ± 1.898,15.24244 ± 0.359,15.27581 ± 0.315,14.55663 ± 0.310,8.94965 ± 0.172
Q2_Q4_0.75,13.90938 ± 0.293,14.39931 ± 0.388,14.03874 ± 0.241,14.14516 ± 0.324,13.91913 ± 0.247,14.02069 ± 0.320,13.89673 ± 0.253,15.16496 ± 0.152,15.33388 ± 0.313,15.36856 ± 0.304,15.26200 ± 0.364,13.89069 ± 0.353
Q3_Q4_0.75,13.97727 ± 0.350,14.25337 ± 0.252,14.09609 ± 0.390,14.05541 ± 0.337,14.23934 ± 0.401,14.00466 ± 0.354,14.24354 ± 0.327,14.80927 ± 0.202,15.17708 ± 0.178,15.15759 ± 0.203,15.20786 ± 0.425,14.06701 ± 0.383
Q1_0.75,9.49361 ± 0.227,10.21592 ± 0.363,9.54859 ± 0.205,9.61759 ± 0.195,9.66523 ± 0.233,9.63805 ± 0.270,9.73662 ± 0.264,13.26128 ± 0.793,15.26831 ± 0.319,15.18987 ± 0.395,14.86225 ± 0.300,9.68017 ± 0.163
Q2_0.75,9.66031 ± 0.140,10.23613 ± 0.184,9.66629 ± 0.145,9.68739 ± 0.167,9.65679 ± 0.146,9.82323 ± 0.147,9.69707 ± 0.197,12.53156 ± 0.536,15.27242 ± 0.375,15.25721 ± 0.363,14.77974 ± 0.217,9.82249 ± 0.123
Q3_0.75,7.87656 ± 0.142,8.70174 ± 0.243,7.87140 ± 0.142,7.91544 ± 0.152,7.94803 ± 0.134,8.16169 ± 0.160,7.91215 ± 0.153,10.71895 ± 0.669,15.27211 ± 0.322,15.24295 ± 0.261,14.74658 ± 0.415,8.07871 ± 0.221
Q4_0.75,14.16187 ± 0.405,14.40386 ± 0.509,14.19410 ± 0.398,14.18002 ± 0.397,14.22308 ± 0.366,14.17923 ± 0.427,14.19918 ± 0.394,15.28850 ± 0.354,15.39901 ± 0.312,15.39380 ± 0.293,14.97309 ± 0.338,14.24937 ± 0.401
Q1_Q2_1.0,11.08351 ± 0.234,11.79908 ± 0.292,11.18481 ± 0.183,11.50686 ± 0.257,11.38536 ± 0.574,11.82060 ± 0.355,11.23460 ± 0.322,15.32774 ± 0.215,15.35285 ± 0.399,15.40442 ± 0.332,14.24104 ± 0.352,12.46975 ± 0.154
Q1_Q3_1.0,9.47647 ± 0.250,9.33401 ± 0.223,9.80916 ± 0.628,10.24524 ± 0.627,10.53772 ± 1.711,9.80573 ± 0.278,11.09142 ± 1.349,14.38196 ± 0.571,15.35589 ± 0.327,15.18658 ± 0.198,14.32984 ± 0.422,10.48838 ± 0.382
Q1_Q4_1.0,15.22702 ± 0.338,15.24327 ± 0.383,15.22382 ± 0.329,15.23294 ± 0.339,15.26621 ± 0.308,15.25701 ± 0.324,15.16354 ± 0.318,15.08342 ± 0.179,15.42357 ± 0.333,15.43292 ± 0.322,15.17107 ± 0.344,15.23459 ± 0.410
Q2_Q3_1.0,8.29797 ± 0.152,9.06807 ± 0.981,8.30741 ± 0.159,9.66560 ± 0.765,9.32169 ± 0.706,8.84876 ± 0.240,9.24966 ± 0.338,10.10739 ± 2.566,15.28658 ± 0.243,15.29952 ± 0.268,14.21046 ± 0.350,8.91169 ± 0.185
Q2_Q4_1.0,15.12065 ± 0.315,15.07281 ± 0.436,15.13669 ± 0.315,15.11662 ± 0.302,15.15119 ± 0.271,15.17072 ± 0.335,15.16781 ± 0.294,15.14413 ± 0.546,15.41169 ± 0.303,15.42290 ± 0.307,15.19603 ± 0.324,15.14477 ± 0.278
Q3_Q4_1.0,15.39988 ± 0.307,15.36136 ± 0.304,15.41537 ± 0.308,15.40183 ± 0.307,15.35453 ± 0.247,15.39302 ± 0.311,15.39143 ± 0.324,15.44032 ± 0.319,15.40934 ± 0.315,15.41478 ± 0.318,14.83914 ± 0.369,15.36378 ± 0.293
