,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,13.31614 ± 0.411,12.94731 ± 0.444,12.67064 ± 0.327,13.18425 ± 0.274,12.84126 ± 0.324,12.80831 ± 0.331,12.73179 ± 0.330,12.74235 ± 0.312,12.76086 ± 0.322,14.70492 ± 0.427,17.09137 ± 0.385,17.09548 ± 0.409,16.52153 ± 0.326,12.75004 ± 0.357
Q1_Q3_0.25,13.12481 ± 0.230,13.02145 ± 0.352,12.63951 ± 0.326,13.28624 ± 0.419,12.71815 ± 0.353,12.75098 ± 0.360,12.77142 ± 0.323,12.80924 ± 0.350,12.72257 ± 0.361,14.66722 ± 0.229,17.18289 ± 0.427,17.13603 ± 0.386,16.65218 ± 0.419,12.72978 ± 0.279
Q1_Q4_0.25,14.26177 ± 0.574,14.79258 ± 0.400,14.02417 ± 0.492,14.18290 ± 0.411,14.10839 ± 0.462,14.06016 ± 0.423,14.09859 ± 0.454,14.07553 ± 0.472,14.05661 ± 0.430,15.35652 ± 0.569,17.11905 ± 0.439,17.13997 ± 0.433,16.86739 ± 0.375,14.07796 ± 0.434
Q2_Q3_0.25,13.04398 ± 0.304,12.81600 ± 0.363,12.62936 ± 0.383,12.98901 ± 0.422,12.63049 ± 0.356,12.64680 ± 0.404,12.66581 ± 0.416,12.68972 ± 0.403,12.64185 ± 0.392,14.29719 ± 0.686,17.14279 ± 0.392,17.15183 ± 0.365,16.48346 ± 0.286,12.71877 ± 0.400
Q2_Q4_0.25,14.22719 ± 0.437,14.53073 ± 0.321,14.02033 ± 0.391,13.96426 ± 0.391,14.00407 ± 0.421,14.01572 ± 0.397,14.05071 ± 0.386,13.94429 ± 0.382,14.02026 ± 0.393,15.24361 ± 0.353,17.16091 ± 0.384,17.15262 ± 0.390,16.72312 ± 0.325,14.11933 ± 0.377
Q3_Q4_0.25,13.87876 ± 0.605,14.54645 ± 0.544,13.87847 ± 0.602,14.07785 ± 0.613,13.93607 ± 0.594,13.91027 ± 0.587,13.84791 ± 0.610,13.91576 ± 0.654,13.90261 ± 0.597,15.24372 ± 0.577,17.11769 ± 0.377,17.06172 ± 0.386,16.89255 ± 0.379,13.89987 ± 0.658
Q1_0.25,12.95996 ± 0.408,12.80671 ± 0.440,12.68928 ± 0.391,12.82205 ± 0.429,12.68733 ± 0.397,12.68646 ± 0.427,12.70295 ± 0.399,12.73994 ± 0.386,12.68440 ± 0.421,14.71938 ± 0.569,17.09826 ± 0.383,17.13986 ± 0.406,16.60027 ± 0.264,12.73549 ± 0.358
Q2_0.25,12.89357 ± 0.359,12.60649 ± 0.372,12.75574 ± 0.409,12.80642 ± 0.383,12.77133 ± 0.408,12.75785 ± 0.404,12.75696 ± 0.411,12.84630 ± 0.405,12.76094 ± 0.405,14.46482 ± 0.379,17.12709 ± 0.384,17.14485 ± 0.370,16.61227 ± 0.331,12.78002 ± 0.418
Q3_0.25,13.01597 ± 0.338,12.87060 ± 0.271,12.72259 ± 0.374,12.94561 ± 0.446,12.70868 ± 0.372,12.70977 ± 0.386,12.68948 ± 0.388,12.81673 ± 0.388,12.70109 ± 0.390,14.05458 ± 0.250,17.13516 ± 0.367,17.12141 ± 0.367,16.66322 ± 0.308,12.80082 ± 0.352
Q4_0.25,13.80446 ± 0.382,14.69592 ± 0.388,14.03059 ± 0.463,14.12060 ± 0.372,14.13684 ± 0.453,14.11036 ± 0.445,14.08063 ± 0.438,13.98616 ± 0.433,14.10632 ± 0.446,15.35435 ± 0.701,17.15268 ± 0.416,17.11636 ± 0.356,16.82916 ± 0.404,14.06265 ± 0.453
