,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,12.59300 ± 0.332,12.71107 ± 0.276,12.54933 ± 0.318,12.56040 ± 0.312,12.56872 ± 0.314,12.62522 ± 0.294,12.57194 ± 0.325,12.95184 ± 0.402,15.50070 ± 0.324,15.49396 ± 0.313,61939.19515 ± 1775.872,12.66060 ± 0.352
Q1_Q3_0.25,12.51432 ± 0.330,12.70064 ± 0.329,12.51401 ± 0.343,12.51703 ± 0.336,12.54447 ± 0.313,12.52370 ± 0.332,12.51742 ± 0.331,12.93756 ± 0.191,15.48800 ± 0.334,15.48747 ± 0.315,58481.62661 ± 1869.851,12.53310 ± 0.326
Q1_Q4_0.25,13.51387 ± 0.360,13.69289 ± 0.358,13.51693 ± 0.371,13.50025 ± 0.362,13.54103 ± 0.362,13.59305 ± 0.351,13.50144 ± 0.357,13.86067 ± 0.678,15.50358 ± 0.323,15.51926 ± 0.320,58031.68789 ± 1674.988,13.56910 ± 0.359
Q2_Q3_0.25,12.15734 ± 0.337,12.32428 ± 0.338,12.16906 ± 0.342,12.18422 ± 0.347,12.19986 ± 0.346,12.19845 ± 0.327,12.19952 ± 0.312,12.42198 ± 0.559,15.51350 ± 0.324,15.50065 ± 0.313,60518.85841 ± 2811.160,12.23229 ± 0.362
Q2_Q4_0.25,13.05386 ± 0.326,13.14583 ± 0.261,13.03845 ± 0.305,13.04980 ± 0.313,13.03683 ± 0.317,12.95178 ± 0.311,13.05198 ± 0.325,13.54131 ± 0.353,15.50533 ± 0.309,15.49023 ± 0.321,61597.38701 ± 2083.470,13.15134 ± 0.318
Q3_Q4_0.25,12.97125 ± 0.384,13.08231 ± 0.407,12.94886 ± 0.398,12.93677 ± 0.384,12.94657 ± 0.387,13.05571 ± 0.437,12.94378 ± 0.384,13.54848 ± 0.463,15.50635 ± 0.319,15.49033 ± 0.324,59057.87143 ± 2412.002,12.96406 ± 0.397
Q1_0.25,12.58844 ± 0.383,12.55224 ± 0.381,12.56706 ± 0.369,12.56225 ± 0.385,12.60423 ± 0.411,12.62800 ± 0.421,12.56317 ± 0.384,12.95686 ± 0.612,15.52978 ± 0.323,15.52783 ± 0.323,60607.49079 ± 1897.006,12.61832 ± 0.360
Q2_0.25,12.16034 ± 0.306,12.21804 ± 0.343,12.20820 ± 0.326,12.19785 ± 0.338,12.15912 ± 0.300,12.24403 ± 0.301,12.21793 ± 0.313,12.59352 ± 0.432,15.50461 ± 0.314,15.51248 ± 0.316,63228.09063 ± 1967.602,12.23460 ± 0.310
Q3_0.25,12.05581 ± 0.335,12.17018 ± 0.341,12.07213 ± 0.336,12.05984 ± 0.340,12.06242 ± 0.336,12.09045 ± 0.341,12.06072 ± 0.341,12.26309 ± 0.228,15.50844 ± 0.319,15.52237 ± 0.314,65911.83805 ± 1385.141,12.08424 ± 0.332
Q4_0.25,13.03917 ± 0.305,13.06723 ± 0.313,13.03113 ± 0.310,13.05145 ± 0.298,13.04021 ± 0.290,13.06923 ± 0.308,13.04960 ± 0.298,13.73254 ± 0.724,15.52130 ± 0.315,15.49017 ± 0.316,61623.71610 ± 1985.479,13.07895 ± 0.338
Q1_Q2_0.5,13.47244 ± 0.377,13.45060 ± 0.418,13.49550 ± 0.339,13.32389 ± 0.335,13.40624 ± 0.412,13.54107 ± 0.423,13.44472 ± 0.383,14.11168 ± 0.598,15.49094 ± 0.329,15.50781 ± 0.321,54674.47732 ± 3563.868,13.48714 ± 0.370
Q1_Q3_0.5,13.16168 ± 0.246,13.13060 ± 0.299,13.17246 ± 0.307,12.99975 ± 0.273,13.14821 ± 0.328,13.17837 ± 0.243,13.13270 ± 0.263,12.34615 ± 0.838,15.43550 ± 0.324,15.44376 ± 0.324,52263.81226 ± 2238.801,13.14989 ± 0.304
Q1_Q4_0.5,14.30059 ± 0.290,14.34457 ± 0.274,14.28444 ± 0.294,14.22480 ± 0.268,14.34631 ± 0.316,14.30293 ± 0.315,14.29927 ± 0.272,14.30079 ± 0.468,15.42051 ± 0.307,15.42798 ± 0.306,56869.39965 ± 3193.084,14.37577 ± 0.256
Q2_Q3_0.5,12.25153 ± 0.303,12.43758 ± 0.318,12.23903 ± 0.340,12.21435 ± 0.366,12.24006 ± 0.341,12.33497 ± 0.334,12.26815 ± 0.328,12.21407 ± 0.490,15.52852 ± 0.317,15.52110 ± 0.322,54867.52235 ± 2325.350,12.30496 ± 0.277
Q2_Q4_0.5,14.04919 ± 0.304,14.35805 ± 0.358,14.07917 ± 0.298,14.11100 ± 0.317,14.29379 ± 0.381,14.15058 ± 0.334,14.09575 ± 0.303,14.26825 ± 0.882,15.52606 ± 0.331,15.50787 ± 0.325,54747.58488 ± 1733.395,14.10031 ± 0.288
Q3_Q4_0.5,13.87115 ± 0.249,13.99201 ± 0.378,13.80805 ± 0.324,13.85488 ± 0.330,13.86772 ± 0.319,13.96234 ± 0.252,13.92162 ± 0.300,13.86108 ± 0.857,15.48422 ± 0.324,15.45436 ± 0.336,54983.15887 ± 1371.385,13.93753 ± 0.273
Q1_0.5,13.05079 ± 0.375,13.17576 ± 0.443,13.02348 ± 0.398,13.05712 ± 0.402,13.03647 ± 0.438,13.09230 ± 0.377,13.08218 ± 0.409,13.52911 ± 0.685,15.48267 ± 0.319,15.48071 ± 0.315,55130.87317 ± 2220.988,13.08450 ± 0.358
Q2_0.5,12.27531 ± 0.332,12.37387 ± 0.324,12.29361 ± 0.344,12.32552 ± 0.368,12.30458 ± 0.332,12.42147 ± 0.368,12.32131 ± 0.370,12.66569 ± 0.266,15.51033 ± 0.320,15.50849 ± 0.310,59687.60530 ± 2623.257,12.34166 ± 0.349
