,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.94771 ± 0.004,0.94145 ± 0.005,0.96049 ± 0.002,0.96282 ± 0.003,0.95977 ± 0.004,0.94388 ± 0.006,0.96387 ± 0.005,0.97289 ± 0.004,0.87553 ± 0.034,0.89791 ± 0.038,0.54224 ± 0.028,0.93917 ± 0.005
Q1_Q3_0.25,0.94604 ± 0.006,0.93840 ± 0.007,0.94432 ± 0.004,0.94097 ± 0.004,0.95278 ± 0.004,0.94596 ± 0.008,0.96865 ± 0.004,0.95251 ± 0.005,0.87891 ± 0.016,0.87279 ± 0.027,0.50453 ± 0.033,0.93648 ± 0.009
Q1_Q4_0.25,0.90334 ± 0.008,0.93537 ± 0.002,0.93680 ± 0.005,0.93447 ± 0.006,0.94255 ± 0.007,0.90871 ± 0.004,0.97067 ± 0.006,0.90956 ± 0.014,0.85461 ± 0.044,0.88950 ± 0.033,0.51122 ± 0.016,0.89481 ± 0.008
Q2_Q3_0.25,0.99054 ± 0.002,0.97138 ± 0.002,0.95950 ± 0.004,0.95951 ± 0.003,0.97227 ± 0.002,0.98317 ± 0.002,0.97860 ± 0.002,0.97257 ± 0.005,0.81739 ± 0.050,0.88529 ± 0.043,0.51394 ± 0.026,0.97345 ± 0.005
Q2_Q4_0.25,0.95312 ± 0.004,0.94916 ± 0.004,0.96999 ± 0.004,0.97241 ± 0.005,0.97429 ± 0.003,0.95111 ± 0.007,0.97396 ± 0.004,0.95158 ± 0.004,0.85117 ± 0.047,0.80224 ± 0.036,0.52268 ± 0.016,0.93875 ± 0.004
Q3_Q4_0.25,0.96926 ± 0.002,0.96502 ± 0.003,0.96715 ± 0.003,0.97389 ± 0.003,0.98194 ± 0.002,0.95918 ± 0.003,0.98095 ± 0.003,0.96253 ± 0.009,0.88243 ± 0.049,0.88137 ± 0.038,0.55888 ± 0.029,0.95469 ± 0.004
Q1_0.25,0.94808 ± 0.007,0.96572 ± 0.004,0.96223 ± 0.004,0.96390 ± 0.005,0.96783 ± 0.005,0.94911 ± 0.006,0.98148 ± 0.003,0.97985 ± 0.008,0.93437 ± 0.029,0.93398 ± 0.041,0.52720 ± 0.025,0.95049 ± 0.009
Q2_0.25,0.99096 ± 0.001,0.98559 ± 0.003,0.97453 ± 0.002,0.97390 ± 0.002,0.98602 ± 0.002,0.98623 ± 0.001,0.98848 ± 0.002,0.98627 ± 0.004,0.93528 ± 0.033,0.96960 ± 0.010,0.50282 ± 0.033,0.97941 ± 0.001
Q3_0.25,0.99877 ± 0.001,0.99240 ± 0.002,0.98251 ± 0.003,0.98415 ± 0.002,0.99343 ± 0.001,0.99384 ± 0.002,0.99507 ± 0.001,0.98914 ± 0.009,0.87792 ± 0.034,0.90442 ± 0.029,0.50928 ± 0.033,0.98994 ± 0.002
Q4_0.25,0.96731 ± 0.002,0.98052 ± 0.003,0.99282 ± 0.001,0.99343 ± 0.001,0.99057 ± 0.003,0.96467 ± 0.004,0.98831 ± 0.002,0.96510 ± 0.019,0.90671 ± 0.056,0.90811 ± 0.033,0.53186 ± 0.032,0.96243 ± 0.003
