,mean,knn,mice,XGB,missforest,mf
Q1_Q2_0.25,0.91129 ± 0.005,0.92788 ± 0.008,0.92482 ± 0.002,0.95192 ± 0.003,0.92881 ± 0.002,0.92220 ± 0.002
Q1_Q3_0.25,0.94062 ± 0.005,0.92389 ± 0.008,0.92011 ± 0.003,0.95797 ± 0.001,0.93298 ± 0.003,0.93911 ± 0.005
Q1_Q4_0.25,0.87774 ± 0.010,0.91438 ± 0.006,0.91056 ± 0.006,0.94646 ± 0.005,0.92106 ± 0.004,0.87704 ± 0.010
Q2_Q3_0.25,0.97103 ± 0.003,0.94501 ± 0.003,0.92568 ± 0.004,0.95417 ± 0.005,0.94462 ± 0.007,0.95645 ± 0.003
Q2_Q4_0.25,0.91748 ± 0.002,0.90751 ± 0.008,0.91312 ± 0.003,0.94493 ± 0.004,0.92860 ± 0.004,0.90478 ± 0.002
Q3_Q4_0.25,0.93869 ± 0.006,0.93298 ± 0.003,0.92795 ± 0.002,0.94362 ± 0.004,0.94517 ± 0.001,0.92805 ± 0.006
Q1_0.25,0.92772 ± 0.006,0.95371 ± 0.003,0.94716 ± 0.002,0.96538 ± 0.003,0.94067 ± 0.002,0.93567 ± 0.008
Q2_0.25,0.97022 ± 0.004,0.95865 ± 0.006,0.94591 ± 0.002,0.96213 ± 0.005,0.95526 ± 0.005,0.96359 ± 0.005
Q3_0.25,0.97186 ± 0.002,0.96402 ± 0.002,0.94487 ± 0.003,0.96427 ± 0.005,0.95939 ± 0.004,0.96145 ± 0.004
Q4_0.25,0.93223 ± 0.006,0.93670 ± 0.004,0.95147 ± 0.002,0.96137 ± 0.003,0.95508 ± 0.001,0.92405 ± 0.003
Q1_Q2_0.5,0.84550 ± 0.006,0.86410 ± 0.004,0.85640 ± 0.009,0.88498 ± 0.009,0.87597 ± 0.007,0.85796 ± 0.006
Q1_Q3_0.5,0.90175 ± 0.003,0.86474 ± 0.003,0.86724 ± 0.005,0.91695 ± 0.010,0.89198 ± 0.004,0.89547 ± 0.003
Q1_Q4_0.5,0.82073 ± 0.007,0.82985 ± 0.011,0.86299 ± 0.008,0.89934 ± 0.017,0.86425 ± 0.009,0.80748 ± 0.007
Q2_Q3_0.5,0.96182 ± 0.002,0.88123 ± 0.007,0.84852 ± 0.004,0.91507 ± 0.005,0.88611 ± 0.011,0.93671 ± 0.003
Q2_Q4_0.5,0.85566 ± 0.006,0.84914 ± 0.003,0.85436 ± 0.002,0.90578 ± 0.009,0.87856 ± 0.004,0.83301 ± 0.008
Q3_Q4_0.5,0.86557 ± 0.007,0.85172 ± 0.011,0.88266 ± 0.005,0.89232 ± 0.002,0.89103 ± 0.007,0.83008 ± 0.009
Q1_0.5,0.89162 ± 0.004,0.89570 ± 0.009,0.91748 ± 0.006,0.94896 ± 0.006,0.92262 ± 0.003,0.89601 ± 0.006
