,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.22482 ± 0.003,0.20401 ± 0.003,0.14799 ± 0.002,0.14863 ± 0.002,0.14833 ± 0.003,0.21375 ± 0.004,0.11025 ± 0.002,0.14583 ± 0.019,0.14504 ± 0.007,0.12851 ± 0.005,0.21339 ± 0.006,0.24652 ± 0.006
Q1_Q3_0.25,0.20892 ± 0.005,0.20776 ± 0.005,0.15135 ± 0.003,0.15015 ± 0.003,0.14327 ± 0.003,0.20823 ± 0.005,0.10972 ± 0.002,0.18144 ± 0.029,0.13794 ± 0.006,0.13318 ± 0.005,0.21989 ± 0.007,0.22974 ± 0.004
Q1_Q4_0.25,0.27167 ± 0.003,0.20572 ± 0.004,0.17995 ± 0.004,0.18192 ± 0.004,0.18637 ± 0.006,0.25994 ± 0.006,0.12954 ± 0.006,0.25064 ± 0.015,0.17168 ± 0.002,0.16987 ± 0.007,0.27279 ± 0.009,0.29145 ± 0.007
Q2_Q3_0.25,0.08613 ± 0.000,0.11395 ± 0.003,0.11383 ± 0.001,0.11597 ± 0.001,0.10612 ± 0.004,0.11907 ± 0.004,0.09547 ± 0.004,0.18085 ± 0.047,0.09978 ± 0.005,0.10206 ± 0.002,0.16505 ± 0.009,0.13163 ± 0.003
Q2_Q4_0.25,0.20560 ± 0.005,0.18707 ± 0.008,0.14059 ± 0.002,0.14376 ± 0.002,0.13851 ± 0.004,0.20859 ± 0.003,0.10762 ± 0.005,0.18441 ± 0.019,0.12972 ± 0.005,0.12953 ± 0.006,0.23300 ± 0.010,0.23206 ± 0.006
Q3_Q4_0.25,0.21913 ± 0.004,0.20015 ± 0.003,0.14595 ± 0.002,0.14787 ± 0.002,0.13783 ± 0.004,0.21866 ± 0.004,0.09985 ± 0.002,0.24995 ± 0.050,0.12069 ± 0.008,0.13483 ± 0.006,0.23107 ± 0.007,0.24001 ± 0.005
Q1_0.25,0.30544 ± 0.004,0.19055 ± 0.005,0.18413 ± 0.002,0.18430 ± 0.003,0.18524 ± 0.003,0.27599 ± 0.009,0.11786 ± 0.006,0.14801 ± 0.050,0.17589 ± 0.011,0.15497 ± 0.005,0.25972 ± 0.007,0.31992 ± 0.006
Q2_0.25,0.08010 ± 0.001,0.10349 ± 0.007,0.11038 ± 0.001,0.11314 ± 0.001,0.10681 ± 0.001,0.11989 ± 0.003,0.09144 ± 0.004,0.15126 ± 0.053,0.10313 ± 0.010,0.10024 ± 0.009,0.15859 ± 0.007,0.12982 ± 0.003
Q3_0.25,0.09285 ± 0.000,0.08784 ± 0.003,0.11686 ± 0.002,0.11567 ± 0.003,0.08989 ± 0.001,0.12733 ± 0.003,0.06987 ± 0.003,0.13044 ± 0.037,0.09954 ± 0.009,0.09982 ± 0.005,0.16946 ± 0.007,0.13787 ± 0.006
Q4_0.25,0.28001 ± 0.004,0.20030 ± 0.004,0.17198 ± 0.001,0.17650 ± 0.001,0.16829 ± 0.001,0.27413 ± 0.007,0.10225 ± 0.008,0.31002 ± 0.060,0.14684 ± 0.013,0.14915 ± 0.013,0.28326 ± 0.019,0.29763 ± 0.006
Q1_Q2_0.5,0.24895 ± 0.002,0.24814 ± 0.003,0.16770 ± 0.001,0.16992 ± 0.001,0.17324 ± 0.003,0.25056 ± 0.002,0.14397 ± 0.004,0.19198 ± 0.048,0.17036 ± 0.011,0.15616 ± 0.008,0.21019 ± 0.005,0.26988 ± 0.004
Q1_Q3_0.5,0.22855 ± 0.002,0.23933 ± 0.004,0.15804 ± 0.001,0.15813 ± 0.001,0.15049 ± 0.001,0.23051 ± 0.005,0.13375 ± 0.004,0.18732 ± 0.021,0.15962 ± 0.006,0.14370 ± 0.006,0.21890 ± 0.005,0.24863 ± 0.003
Q1_Q4_0.5,0.26831 ± 0.001,0.25680 ± 0.003,0.20063 ± 0.002,0.20230 ± 0.003,0.21947 ± 0.006,0.28559 ± 0.003,0.18288 ± 0.003,0.26428 ± 0.026,0.20630 ± 0.003,0.20657 ± 0.003,0.28502 ± 0.005,0.28648 ± 0.003
Q2_Q3_0.5,0.08387 ± 0.001,0.15179 ± 0.002,0.13364 ± 0.001,0.13439 ± 0.001,0.11496 ± 0.009,0.12078 ± 0.003,0.12515 ± 0.002,0.12126 ± 0.009,0.11605 ± 0.005,0.11658 ± 0.003,0.15892 ± 0.006,0.13167 ± 0.001
Q2_Q4_0.5,0.21355 ± 0.003,0.21072 ± 0.004,0.15194 ± 0.002,0.15425 ± 0.002,0.14434 ± 0.001,0.22409 ± 0.005,0.12748 ± 0.007,0.23764 ± 0.036,0.13398 ± 0.006,0.14348 ± 0.006,0.23031 ± 0.008,0.23481 ± 0.004
Q3_Q4_0.5,0.23959 ± 0.005,0.23980 ± 0.009,0.15961 ± 0.003,0.16282 ± 0.003,0.14954 ± 0.004,0.24945 ± 0.004,0.12013 ± 0.005,0.23189 ± 0.027,0.14992 ± 0.008,0.14553 ± 0.010,0.22324 ± 0.010,0.26091 ± 0.005
Q1_0.5,0.31515 ± 0.002,0.28802 ± 0.008,0.19039 ± 0.004,0.19322 ± 0.003,0.18759 ± 0.002,0.31534 ± 0.006,0.12478 ± 0.004,0.18322 ± 0.043,0.19209 ± 0.021,0.17838 ± 0.008,0.25587 ± 0.006,0.33021 ± 0.003
Q2_0.5,0.08177 ± 0.001,0.12619 ± 0.003,0.11576 ± 0.001,0.11861 ± 0.002,0.10825 ± 0.004,0.11591 ± 0.001,0.09930 ± 0.002,0.14732 ± 0.015,0.10532 ± 0.003,0.10972 ± 0.005,0.15864 ± 0.008,0.13190 ± 0.003
Q3_0.5,0.09769 ± 0.001,0.10610 ± 0.002,0.11675 ± 0.001,0.11596 ± 0.001,0.09915 ± 0.002,0.12927 ± 0.002,0.08529 ± 0.005,0.15378 ± 0.040,0.10290 ± 0.005,0.10284 ± 0.005,0.16253 ± 0.009,0.14066 ± 0.003
Q4_0.5,0.29740 ± 0.003,0.24789 ± 0.005,0.18284 ± 0.002,0.19054 ± 0.002,0.17563 ± 0.001,0.29421 ± 0.005,0.11085 ± 0.003,0.31766 ± 0.061,0.16420 ± 0.010,0.17879 ± 0.014,0.28359 ± 0.014,0.31551 ± 0.006
Q1_Q2_0.75,0.28866 ± 0.002,0.27767 ± 0.003,0.20286 ± 0.004,0.19655 ± 0.002,0.19972 ± 0.002,0.31529 ± 0.003,0.17606 ± 0.003,0.22222 ± 0.031,0.24371 ± 0.010,0.22381 ± 0.007,0.21083 ± 0.006,0.30415 ± 0.004
Q1_Q3_0.75,0.24000 ± 0.001,0.24696 ± 0.003,0.16849 ± 0.001,0.16810 ± 0.001,0.16439 ± 0.001,0.26054 ± 0.003,0.15637 ± 0.006,0.19468 ± 0.026,0.17559 ± 0.007,0.16837 ± 0.007,0.21946 ± 0.004,0.25845 ± 0.002
Q1_Q4_0.75,0.27424 ± 0.002,0.27367 ± 0.003,0.23969 ± 0.003,0.23914 ± 0.002,0.24944 ± 0.006,0.28913 ± 0.002,0.23749 ± 0.006,0.27105 ± 0.014,0.25098 ± 0.004,0.25481 ± 0.007,0.29342 ± 0.004,0.29079 ± 0.002
Q2_Q3_0.75,0.08917 ± 0.001,0.18451 ± 0.003,0.14682 ± 0.001,0.14672 ± 0.001,0.15507 ± 0.016,0.12397 ± 0.004,0.15878 ± 0.003,0.16479 ± 0.024,0.12604 ± 0.006,0.12990 ± 0.004,0.16290 ± 0.005,0.13442 ± 0.003
Q2_Q4_0.75,0.23270 ± 0.004,0.22896 ± 0.003,0.17355 ± 0.001,0.17412 ± 0.001,0.16804 ± 0.004,0.25857 ± 0.006,0.14924 ± 0.004,0.25313 ± 0.046,0.16124 ± 0.009,0.17515 ± 0.010,0.22338 ± 0.007,0.25407 ± 0.002
Q3_Q4_0.75,0.28250 ± 0.002,0.28765 ± 0.003,0.18602 ± 0.003,0.19520 ± 0.003,0.16870 ± 0.005,0.29905 ± 0.003,0.15502 ± 0.005,0.30498 ± 0.047,0.19269 ± 0.018,0.22075 ± 0.010,0.21734 ± 0.005,0.30015 ± 0.003
Q1_0.75,0.34372 ± 0.002,0.36097 ± 0.004,0.22870 ± 0.003,0.23377 ± 0.003,0.22950 ± 0.002,0.36849 ± 0.008,0.17678 ± 0.003,0.27140 ± 0.052,0.23956 ± 0.022,0.21283 ± 0.009,0.25758 ± 0.005,0.35679 ± 0.004
Q2_0.75,0.08606 ± 0.001,0.15446 ± 0.002,0.12363 ± 0.003,0.12568 ± 0.002,0.12277 ± 0.005,0.11946 ± 0.002,0.12170 ± 0.003,0.13944 ± 0.025,0.12251 ± 0.005,0.11465 ± 0.003,0.15572 ± 0.007,0.13315 ± 0.002
Q3_0.75,0.10475 ± 0.002,0.14039 ± 0.003,0.12396 ± 0.003,0.12520 ± 0.003,0.10934 ± 0.003,0.13384 ± 0.003,0.11064 ± 0.006,0.20231 ± 0.051,0.10907 ± 0.005,0.11165 ± 0.005,0.16304 ± 0.007,0.14556 ± 0.004
Q4_0.75,0.32158 ± 0.002,0.31814 ± 0.007,0.21407 ± 0.003,0.22601 ± 0.003,0.20468 ± 0.005,0.34475 ± 0.005,0.14938 ± 0.002,0.34697 ± 0.068,0.19914 ± 0.012,0.20267 ± 0.009,0.28100 ± 0.012,0.33702 ± 0.005
Q1_Q2_1.0,0.34601 ± 0.003,0.33294 ± 0.001,0.35994 ± 0.003,0.35842 ± 0.003,0.32335 ± 0.002,0.36677 ± 0.003,0.33143 ± 0.009,0.30448 ± 0.027,0.34391 ± 0.009,0.34275 ± 0.007,0.21367 ± 0.006,0.35963 ± 0.003
Q1_Q3_1.0,0.26868 ± 0.003,0.26897 ± 0.003,0.24885 ± 0.009,0.20458 ± 0.004,0.25910 ± 0.007,0.30035 ± 0.005,0.23426 ± 0.010,0.24070 ± 0.049,0.25302 ± 0.020,0.23479 ± 0.014,0.22042 ± 0.004,0.28653 ± 0.004
Q1_Q4_1.0,0.27666 ± 0.002,0.27959 ± 0.002,0.27364 ± 0.002,0.27432 ± 0.002,0.27563 ± 0.003,0.27910 ± 0.002,0.27506 ± 0.002,0.28150 ± 0.006,0.27447 ± 0.002,0.27453 ± 0.002,0.30227 ± 0.003,0.29405 ± 0.002
Q2_Q3_1.0,0.09529 ± 0.002,0.21562 ± 0.004,0.15601 ± 0.003,0.16307 ± 0.002,0.20839 ± 0.017,0.12994 ± 0.001,0.19332 ± 0.017,0.18903 ± 0.029,0.14296 ± 0.005,0.14419 ± 0.009,0.16090 ± 0.005,0.13961 ± 0.003
