,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.89463 ± 0.006,0.91046 ± 0.009,0.91894 ± 0.003,0.91593 ± 0.003,0.91861 ± 0.003,0.91005 ± 0.004,0.93976 ± 0.008,0.93634 ± 0.007,0.82770 ± 0.033,0.82426 ± 0.022,0.52527 ± 0.007,0.88081 ± 0.006
Q1_Q3_0.25,0.91774 ± 0.008,0.90419 ± 0.008,0.91367 ± 0.004,0.91045 ± 0.006,0.92217 ± 0.004,0.92134 ± 0.008,0.94666 ± 0.007,0.91379 ± 0.011,0.81540 ± 0.029,0.80382 ± 0.024,0.53158 ± 0.008,0.89707 ± 0.007
Q1_Q4_0.25,0.84866 ± 0.011,0.89026 ± 0.006,0.89930 ± 0.007,0.89515 ± 0.007,0.89941 ± 0.006,0.85369 ± 0.011,0.94027 ± 0.003,0.86718 ± 0.016,0.73882 ± 0.059,0.77842 ± 0.035,0.52650 ± 0.009,0.83951 ± 0.012
Q2_Q3_0.25,0.96327 ± 0.004,0.93748 ± 0.005,0.92043 ± 0.004,0.91813 ± 0.003,0.94016 ± 0.007,0.94872 ± 0.005,0.94721 ± 0.003,0.92595 ± 0.009,0.75490 ± 0.019,0.81015 ± 0.023,0.52867 ± 0.008,0.94177 ± 0.006
Q2_Q4_0.25,0.88614 ± 0.003,0.89102 ± 0.007,0.90185 ± 0.004,0.89787 ± 0.003,0.90964 ± 0.001,0.88921 ± 0.004,0.93844 ± 0.006,0.88840 ± 0.011,0.67834 ± 0.031,0.71399 ± 0.031,0.53407 ± 0.005,0.86788 ± 0.004
Q3_Q4_0.25,0.92031 ± 0.006,0.92409 ± 0.003,0.92391 ± 0.002,0.92247 ± 0.001,0.93380 ± 0.002,0.91372 ± 0.002,0.94586 ± 0.003,0.89196 ± 0.054,0.76060 ± 0.047,0.76245 ± 0.045,0.51796 ± 0.011,0.90286 ± 0.007
Q1_0.25,0.91107 ± 0.008,0.94407 ± 0.004,0.94003 ± 0.004,0.93460 ± 0.004,0.92976 ± 0.004,0.91924 ± 0.009,0.95719 ± 0.003,0.94170 ± 0.014,0.87953 ± 0.047,0.88952 ± 0.035,0.52645 ± 0.007,0.90218 ± 0.011
Q2_0.25,0.96511 ± 0.002,0.95173 ± 0.004,0.94264 ± 0.001,0.94161 ± 0.001,0.95180 ± 0.005,0.95764 ± 0.002,0.95765 ± 0.002,0.95362 ± 0.008,0.86444 ± 0.044,0.90838 ± 0.036,0.53123 ± 0.008,0.94936 ± 0.003
Q3_0.25,0.96778 ± 0.002,0.95568 ± 0.002,0.94081 ± 0.003,0.94062 ± 0.003,0.95451 ± 0.004,0.95675 ± 0.004,0.95999 ± 0.004,0.95364 ± 0.013,0.82012 ± 0.029,0.83400 ± 0.027,0.52277 ± 0.010,0.95650 ± 0.004
Q4_0.25,0.90560 ± 0.006,0.93043 ± 0.004,0.94355 ± 0.004,0.94189 ± 0.003,0.94167 ± 0.002,0.91075 ± 0.003,0.95671 ± 0.004,0.89839 ± 0.042,0.80212 ± 0.056,0.81082 ± 0.051,0.52236 ± 0.013,0.90357 ± 0.005
Q1_Q2_0.5,0.80682 ± 0.009,0.84688 ± 0.004,0.84535 ± 0.010,0.83845 ± 0.008,0.84499 ± 0.007,0.83101 ± 0.011,0.86968 ± 0.008,0.87049 ± 0.022,0.74543 ± 0.012,0.74013 ± 0.040,0.52575 ± 0.014,0.80881 ± 0.013
Q1_Q3_0.5,0.86534 ± 0.004,0.82460 ± 0.009,0.85493 ± 0.007,0.84781 ± 0.004,0.87269 ± 0.006,0.87702 ± 0.003,0.90585 ± 0.004,0.86390 ± 0.013,0.73710 ± 0.048,0.71073 ± 0.034,0.52700 ± 0.009,0.83229 ± 0.007
Q1_Q4_0.5,0.79079 ± 0.003,0.79653 ± 0.013,0.85009 ± 0.008,0.83295 ± 0.009,0.83648 ± 0.009,0.77893 ± 0.006,0.89239 ± 0.006,0.76091 ± 0.041,0.58808 ± 0.030,0.58406 ± 0.029,0.51718 ± 0.018,0.76977 ± 0.008
Q2_Q3_0.5,0.95388 ± 0.002,0.86465 ± 0.009,0.83940 ± 0.005,0.83664 ± 0.004,0.87817 ± 0.011,0.92786 ± 0.005,0.89762 ± 0.007,0.88138 ± 0.022,0.75217 ± 0.026,0.76717 ± 0.013,0.52858 ± 0.005,0.90403 ± 0.008
Q2_Q4_0.5,0.81437 ± 0.007,0.82912 ± 0.003,0.84453 ± 0.004,0.83438 ± 0.004,0.84728 ± 0.004,0.81069 ± 0.007,0.90330 ± 0.011,0.80475 ± 0.017,0.64121 ± 0.020,0.64857 ± 0.035,0.52408 ± 0.010,0.80256 ± 0.009
Q3_Q4_0.5,0.81796 ± 0.012,0.83410 ± 0.012,0.86973 ± 0.005,0.86386 ± 0.007,0.86603 ± 0.005,0.80721 ± 0.006,0.89524 ± 0.009,0.83644 ± 0.022,0.63770 ± 0.011,0.68711 ± 0.054,0.51617 ± 0.016,0.78994 ± 0.009
Q1_0.5,0.85914 ± 0.005,0.86700 ± 0.009,0.90758 ± 0.008,0.90477 ± 0.005,0.89770 ± 0.004,0.87032 ± 0.007,0.94180 ± 0.006,0.92529 ± 0.018,0.82271 ± 0.023,0.83117 ± 0.023,0.53318 ± 0.008,0.84911 ± 0.004
Q2_0.5,0.96219 ± 0.002,0.93069 ± 0.004,0.91625 ± 0.003,0.91112 ± 0.001,0.93025 ± 0.004,0.94422 ± 0.004,0.94169 ± 0.005,0.93372 ± 0.009,0.78792 ± 0.018,0.77055 ± 0.016,0.53750 ± 0.004,0.93423 ± 0.003
Q3_0.5,0.96720 ± 0.002,0.94354 ± 0.009,0.92417 ± 0.002,0.92103 ± 0.002,0.94479 ± 0.008,0.95024 ± 0.003,0.95041 ± 0.006,0.91896 ± 0.031,0.78686 ± 0.029,0.81168 ± 0.037,0.51662 ± 0.006,0.94156 ± 0.005
Q4_0.5,0.84328 ± 0.006,0.88015 ± 0.009,0.90735 ± 0.006,0.90323 ± 0.004,0.90735 ± 0.005,0.85225 ± 0.011,0.93991 ± 0.005,0.83903 ± 0.051,0.69857 ± 0.050,0.68448 ± 0.056,0.51846 ± 0.010,0.83403 ± 0.007
Q1_Q2_0.75,0.69571 ± 0.006,0.72922 ± 0.008,0.73066 ± 0.006,0.71500 ± 0.002,0.72751 ± 0.010,0.67406 ± 0.007,0.75729 ± 0.018,0.79800 ± 0.023,0.68137 ± 0.031,0.65405 ± 0.021,0.53655 ± 0.008,0.71278 ± 0.008
Q1_Q3_0.75,0.78178 ± 0.003,0.76563 ± 0.010,0.81460 ± 0.010,0.79542 ± 0.009,0.80873 ± 0.014,0.78959 ± 0.005,0.83960 ± 0.008,0.80241 ± 0.013,0.66225 ± 0.023,0.69543 ± 0.023,0.52868 ± 0.007,0.77095 ± 0.005
Q1_Q4_0.75,0.69872 ± 0.010,0.69411 ± 0.018,0.73514 ± 0.007,0.71655 ± 0.007,0.73057 ± 0.006,0.66622 ± 0.008,0.77888 ± 0.009,0.69272 ± 0.030,0.50567 ± 0.022,0.47608 ± 0.022,0.51265 ± 0.006,0.68760 ± 0.012
Q2_Q3_0.75,0.93156 ± 0.005,0.78655 ± 0.006,0.75205 ± 0.006,0.75290 ± 0.004,0.78613 ± 0.009,0.89627 ± 0.011,0.80498 ± 0.004,0.83406 ± 0.025,0.74192 ± 0.016,0.74319 ± 0.012,0.51449 ± 0.012,0.87194 ± 0.008
Q2_Q4_0.75,0.75007 ± 0.014,0.76268 ± 0.010,0.76372 ± 0.005,0.76641 ± 0.005,0.77028 ± 0.024,0.74256 ± 0.010,0.81259 ± 0.016,0.73847 ± 0.038,0.65375 ± 0.023,0.67203 ± 0.031,0.52450 ± 0.009,0.74106 ± 0.008
Q3_Q4_0.75,0.75262 ± 0.007,0.71387 ± 0.009,0.80087 ± 0.006,0.77082 ± 0.005,0.77162 ± 0.012,0.73845 ± 0.006,0.77088 ± 0.018,0.69713 ± 0.084,0.66909 ± 0.021,0.65605 ± 0.020,0.51569 ± 0.007,0.68692 ± 0.006
Q1_0.75,0.77436 ± 0.002,0.80041 ± 0.004,0.87027 ± 0.008,0.86246 ± 0.005,0.86013 ± 0.006,0.77948 ± 0.010,0.88929 ± 0.011,0.86525 ± 0.044,0.76779 ± 0.051,0.77409 ± 0.008,0.53022 ± 0.006,0.78951 ± 0.006
Q2_0.75,0.94951 ± 0.002,0.90784 ± 0.003,0.87625 ± 0.008,0.86845 ± 0.008,0.90282 ± 0.010,0.93014 ± 0.004,0.91949 ± 0.007,0.94138 ± 0.009,0.72846 ± 0.009,0.74267 ± 0.019,0.53526 ± 0.007,0.92155 ± 0.008
Q3_0.75,0.97314 ± 0.002,0.90264 ± 0.006,0.89008 ± 0.005,0.88417 ± 0.006,0.89368 ± 0.018,0.94352 ± 0.002,0.91377 ± 0.007,0.87048 ± 0.025,0.83224 ± 0.035,0.77227 ± 0.039,0.52811 ± 0.005,0.93367 ± 0.004
Q4_0.75,0.80156 ± 0.015,0.82901 ± 0.011,0.86351 ± 0.007,0.85839 ± 0.007,0.85949 ± 0.012,0.79601 ± 0.006,0.89335 ± 0.002,0.79936 ± 0.044,0.61689 ± 0.017,0.61657 ± 0.009,0.50977 ± 0.010,0.77456 ± 0.011
Q1_Q2_1.0,0.67079 ± 0.006,0.70361 ± 0.004,0.64209 ± 0.043,0.53912 ± 0.009,0.74274 ± 0.075,0.65829 ± 0.010,0.70915 ± 0.027,0.73069 ± 0.044,0.58866 ± 0.036,0.59108 ± 0.044,0.51943 ± 0.011,0.65702 ± 0.011
