,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.87183 ± 0.010,0.96665 ± 0.004,0.91006 ± 0.004,0.92533 ± 0.007,0.93350 ± 0.004,0.93154 ± 0.005,0.93544 ± 0.005,0.92057 ± 0.006,0.95674 ± 0.005,0.94526 ± 0.007,0.84506 ± 0.037,0.85578 ± 0.017,0.61636 ± 0.042,0.89775 ± 0.007
Q1_Q3_0.25,0.88003 ± 0.006,0.93659 ± 0.002,0.91923 ± 0.009,0.91637 ± 0.004,0.92407 ± 0.005,0.92049 ± 0.005,0.93331 ± 0.004,0.92723 ± 0.006,0.95764 ± 0.005,0.92518 ± 0.005,0.83869 ± 0.024,0.82839 ± 0.023,0.59993 ± 0.039,0.90484 ± 0.006
Q1_Q4_0.25,0.83590 ± 0.006,0.91972 ± 0.005,0.85864 ± 0.008,0.90496 ± 0.005,0.91378 ± 0.008,0.90547 ± 0.006,0.91084 ± 0.006,0.86642 ± 0.008,0.96143 ± 0.004,0.87711 ± 0.020,0.78033 ± 0.059,0.82214 ± 0.052,0.54065 ± 0.033,0.85256 ± 0.010
Q2_Q3_0.25,0.90220 ± 0.005,0.92919 ± 0.003,0.97825 ± 0.002,0.95563 ± 0.004,0.95072 ± 0.002,0.95047 ± 0.003,0.95848 ± 0.005,0.96844 ± 0.003,0.96857 ± 0.004,0.95102 ± 0.006,0.77331 ± 0.022,0.83321 ± 0.039,0.59170 ± 0.024,0.95827 ± 0.005
Q2_Q4_0.25,0.87791 ± 0.005,0.89886 ± 0.009,0.90978 ± 0.006,0.92781 ± 0.006,0.95165 ± 0.002,0.94153 ± 0.002,0.95244 ± 0.004,0.91966 ± 0.005,0.96558 ± 0.004,0.92450 ± 0.010,0.70311 ± 0.042,0.74397 ± 0.036,0.60128 ± 0.055,0.89883 ± 0.006
Q3_Q4_0.25,0.89652 ± 0.003,0.91142 ± 0.002,0.93935 ± 0.003,0.94263 ± 0.003,0.95099 ± 0.003,0.95222 ± 0.004,0.96341 ± 0.004,0.93211 ± 0.004,0.97480 ± 0.002,0.93792 ± 0.007,0.79630 ± 0.060,0.80921 ± 0.070,0.61675 ± 0.021,0.92186 ± 0.002
Q1_0.25,0.90617 ± 0.004,0.98033 ± 0.002,0.91465 ± 0.005,0.95134 ± 0.003,0.94821 ± 0.004,0.94571 ± 0.004,0.94258 ± 0.004,0.92989 ± 0.006,0.96998 ± 0.004,0.95263 ± 0.018,0.89983 ± 0.041,0.90955 ± 0.040,0.59549 ± 0.012,0.90931 ± 0.007
Q2_0.25,0.93414 ± 0.004,0.96381 ± 0.002,0.97867 ± 0.002,0.97189 ± 0.002,0.96488 ± 0.002,0.96467 ± 0.001,0.97373 ± 0.001,0.97270 ± 0.002,0.97598 ± 0.002,0.97499 ± 0.007,0.90243 ± 0.049,0.93836 ± 0.023,0.59293 ± 0.025,0.96195 ± 0.002
Q3_0.25,0.94187 ± 0.007,0.94103 ± 0.002,0.99035 ± 0.002,0.97991 ± 0.002,0.96861 ± 0.001,0.96921 ± 0.001,0.98191 ± 0.002,0.97908 ± 0.002,0.98420 ± 0.004,0.97642 ± 0.012,0.84677 ± 0.031,0.85443 ± 0.037,0.56233 ± 0.056,0.97579 ± 0.006
Q4_0.25,0.91979 ± 0.004,0.93436 ± 0.004,0.93364 ± 0.006,0.96001 ± 0.004,0.97090 ± 0.003,0.97334 ± 0.003,0.97272 ± 0.002,0.93613 ± 0.003,0.97971 ± 0.004,0.92563 ± 0.037,0.85139 ± 0.073,0.85040 ± 0.045,0.58361 ± 0.050,0.92634 ± 0.006
Q1_Q2_0.5,0.81385 ± 0.008,0.92801 ± 0.004,0.81576 ± 0.009,0.85978 ± 0.002,0.85935 ± 0.009,0.86424 ± 0.010,0.87202 ± 0.006,0.83508 ± 0.007,0.88968 ± 0.007,0.88440 ± 0.028,0.76400 ± 0.022,0.76027 ± 0.053,0.61721 ± 0.027,0.82061 ± 0.008
