,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.39148 ± 0.028,0.38528 ± 0.028,0.38153 ± 0.032,0.38107 ± 0.031,0.38168 ± 0.033,0.38816 ± 0.032,0.37750 ± 0.028,0.34475 ± 0.048,0.13381 ± 0.009,0.13259 ± 0.009,0.11356 ± 0.007,0.37919 ± 0.029
0.2,0.32824 ± 0.025,0.30313 ± 0.039,0.34056 ± 0.037,0.36058 ± 0.037,0.31963 ± 0.035,0.31222 ± 0.019,0.34860 ± 0.039,0.26420 ± 0.040,0.11497 ± 0.014,0.11821 ± 0.011,0.11860 ± 0.006,0.31456 ± 0.034
0.3,0.31038 ± 0.029,0.24651 ± 0.019,0.30337 ± 0.029,0.31272 ± 0.025,0.28508 ± 0.025,0.27780 ± 0.030,0.30718 ± 0.030,0.23702 ± 0.026,0.12520 ± 0.002,0.11225 ± 0.010,0.11809 ± 0.006,0.26910 ± 0.016
0.4,0.24003 ± 0.016,0.21632 ± 0.019,0.23307 ± 0.015,0.24806 ± 0.005,0.24302 ± 0.025,0.23224 ± 0.014,0.25363 ± 0.026,0.19100 ± 0.028,0.11428 ± 0.010,0.10958 ± 0.014,0.11392 ± 0.013,0.19880 ± 0.013
0.5,0.18719 ± 0.019,0.15035 ± 0.007,0.20193 ± 0.022,0.20029 ± 0.024,0.17614 ± 0.010,0.17286 ± 0.010,0.18592 ± 0.015,0.13576 ± 0.016,0.09547 ± 0.016,0.09247 ± 0.016,0.10991 ± 0.005,0.15884 ± 0.007
0.6,0.21295 ± 0.006,0.18600 ± 0.022,0.20853 ± 0.019,0.18592 ± 0.009,0.16806 ± 0.010,0.21252 ± 0.008,0.21635 ± 0.010,0.16692 ± 0.006,0.09192 ± 0.007,0.08388 ± 0.012,0.12193 ± 0.009,0.17032 ± 0.011
0.7,0.13069 ± 0.007,0.11300 ± 0.002,0.13004 ± 0.004,0.13304 ± 0.012,0.13832 ± 0.034,0.12092 ± 0.007,0.11514 ± 0.008,0.11203 ± 0.011,0.08507 ± 0.010,0.08346 ± 0.012,0.11253 ± 0.006,0.10882 ± 0.006
0.8,0.09232 ± 0.004,0.09459 ± 0.006,0.13664 ± 0.011,0.18241 ± 0.021,0.13756 ± 0.009,0.08685 ± 0.004,0.11980 ± 0.015,0.08885 ± 0.009,0.06487 ± 0.007,0.06825 ± 0.009,0.10642 ± 0.010,0.09022 ± 0.004
0.9,0.06820 ± 0.004,0.07649 ± 0.005,0.06816 ± 0.006,0.07057 ± 0.006,0.06997 ± 0.010,0.06450 ± 0.004,0.07456 ± 0.005,0.07352 ± 0.005,0.08049 ± 0.010,0.05967 ± 0.003,0.09015 ± 0.011,0.08027 ± 0.002
