,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.74975 ± 0.062,0.71132 ± 0.136,0.78833 ± 0.069,0.75463 ± 0.069,0.78082 ± 0.063,0.77249 ± 0.061,0.77249 ± 0.061,0.75164 ± 0.061,0.76212 ± 0.051,0.77615 ± 0.085,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.75630 ± 0.069
Q1_Q3_0.25,0.76352 ± 0.058,0.63654 ± 0.106,0.76508 ± 0.069,0.74621 ± 0.054,0.76508 ± 0.069,0.75620 ± 0.064,0.77390 ± 0.078,0.75620 ± 0.064,0.76040 ± 0.066,0.77473 ± 0.053,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.77088 ± 0.056
Q1_Q4_0.25,0.67101 ± 0.047,0.47716 ± 0.007,0.69629 ± 0.059,0.69820 ± 0.066,0.69629 ± 0.059,0.68391 ± 0.052,0.68391 ± 0.052,0.70305 ± 0.067,0.68391 ± 0.052,0.68938 ± 0.055,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.70197 ± 0.038
Q2_Q3_0.25,0.64842 ± 0.116,0.59252 ± 0.119,0.77856 ± 0.072,0.73501 ± 0.065,0.77856 ± 0.072,0.76893 ± 0.085,0.76306 ± 0.091,0.76959 ± 0.090,0.76306 ± 0.091,0.75574 ± 0.073,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.77024 ± 0.073
Q2_Q4_0.25,0.69894 ± 0.137,0.54809 ± 0.036,0.77629 ± 0.104,0.70822 ± 0.150,0.77629 ± 0.104,0.77629 ± 0.104,0.77629 ± 0.104,0.74367 ± 0.074,0.77629 ± 0.104,0.73009 ± 0.090,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.77629 ± 0.104
Q3_Q4_0.25,0.69507 ± 0.150,0.50424 ± 0.051,0.67255 ± 0.124,0.67166 ± 0.084,0.67255 ± 0.124,0.66918 ± 0.123,0.67855 ± 0.132,0.67855 ± 0.132,0.67255 ± 0.124,0.71210 ± 0.107,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.68161 ± 0.137
Q1_0.25,0.78408 ± 0.082,0.75604 ± 0.064,0.80046 ± 0.075,0.79879 ± 0.076,0.80046 ± 0.075,0.80544 ± 0.066,0.81292 ± 0.062,0.80425 ± 0.074,0.80425 ± 0.074,0.80057 ± 0.079,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.78916 ± 0.090
Q2_0.25,0.79593 ± 0.087,0.70455 ± 0.095,0.78356 ± 0.096,0.76296 ± 0.092,0.78356 ± 0.096,0.79321 ± 0.094,0.78356 ± 0.096,0.79321 ± 0.094,0.78356 ± 0.096,0.78994 ± 0.112,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.78356 ± 0.096
Q3_0.25,0.76510 ± 0.097,0.70772 ± 0.096,0.79881 ± 0.088,0.76893 ± 0.085,0.79881 ± 0.088,0.79881 ± 0.088,0.79881 ± 0.088,0.76678 ± 0.077,0.79881 ± 0.088,0.78295 ± 0.082,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.78224 ± 0.099
Q4_0.25,0.71369 ± 0.087,0.51570 ± 0.048,0.72751 ± 0.078,0.72535 ± 0.106,0.72751 ± 0.078,0.71247 ± 0.073,0.73088 ± 0.076,0.74465 ± 0.088,0.73088 ± 0.076,0.69751 ± 0.093,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.73088 ± 0.076
Q1_Q2_0.5,0.60853 ± 0.048,0.57929 ± 0.127,0.72959 ± 0.121,0.72355 ± 0.147,0.74951 ± 0.107,0.73333 ± 0.118,0.75978 ± 0.093,0.75602 ± 0.101,0.75978 ± 0.093,0.75602 ± 0.101,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.73710 ± 0.127
Q1_Q3_0.5,0.72424 ± 0.081,0.53806 ± 0.085,0.78981 ± 0.063,0.70197 ± 0.064,0.78981 ± 0.063,0.77287 ± 0.050,0.75563 ± 0.046,0.78099 ± 0.054,0.78099 ± 0.054,0.74943 ± 0.040,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.76578 ± 0.048
Q1_Q4_0.5,0.58016 ± 0.084,0.49353 ± 0.029,0.68946 ± 0.073,0.63454 ± 0.057,0.68639 ± 0.075,0.71208 ± 0.083,0.69801 ± 0.078,0.73758 ± 0.111,0.69507 ± 0.073,0.70112 ± 0.093,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.70452 ± 0.088
Q2_Q3_0.5,0.66534 ± 0.076,0.52935 ± 0.063,0.77318 ± 0.068,0.68768 ± 0.099,0.77318 ± 0.068,0.71323 ± 0.069,0.74550 ± 0.055,0.76933 ± 0.070,0.76755 ± 0.065,0.68310 ± 0.051,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.76293 ± 0.078
Q2_Q4_0.5,0.56889 ± 0.063,0.49149 ± 0.030,0.70183 ± 0.097,0.69894 ± 0.116,0.70183 ± 0.097,0.68669 ± 0.082,0.67658 ± 0.088,0.69841 ± 0.094,0.70183 ± 0.097,0.58858 ± 0.074,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.69264 ± 0.101
Q3_Q4_0.5,0.64576 ± 0.080,0.47716 ± 0.007,0.63429 ± 0.113,0.62947 ± 0.127,0.63429 ± 0.113,0.61106 ± 0.143,0.64507 ± 0.121,0.63774 ± 0.116,0.64430 ± 0.126,0.57375 ± 0.091,0.47769 ± 0.006,0.47718 ± 0.006,0.47769 ± 0.006,0.66823 ± 0.084
Q1_0.5,0.76035 ± 0.054,0.74508 ± 0.068,0.79305 ± 0.050,0.70773 ± 0.090,0.79305 ± 0.050,0.76892 ± 0.070,0.77900 ± 0.065,0.78144 ± 0.041,0.77900 ± 0.065,0.74592 ± 0.106,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.77587 ± 0.068
Q2_0.5,0.72049 ± 0.061,0.68413 ± 0.095,0.78953 ± 0.076,0.76411 ± 0.049,0.78953 ± 0.076,0.77988 ± 0.078,0.78953 ± 0.076,0.79357 ± 0.077,0.78953 ± 0.076,0.77988 ± 0.078,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.77531 ± 0.049
Q3_0.5,0.73549 ± 0.086,0.52205 ± 0.062,0.77180 ± 0.077,0.75606 ± 0.096,0.77180 ± 0.077,0.77180 ± 0.077,0.77180 ± 0.077,0.76379 ± 0.060,0.77180 ± 0.077,0.74339 ± 0.055,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.77180 ± 0.077
Q4_0.5,0.72911 ± 0.163,0.50620 ± 0.063,0.75026 ± 0.106,0.71435 ± 0.099,0.75026 ± 0.106,0.75026 ± 0.106,0.75026 ± 0.106,0.76205 ± 0.121,0.75026 ± 0.106,0.73960 ± 0.123,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.74098 ± 0.092
Q1_Q2_0.75,0.65567 ± 0.125,0.61123 ± 0.079,0.60644 ± 0.107,0.60470 ± 0.110,0.61791 ± 0.121,0.51083 ± 0.043,0.63217 ± 0.094,0.55346 ± 0.067,0.63809 ± 0.079,0.58716 ± 0.106,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.58881 ± 0.058
