,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.51862 ± 0.084,0.54078 ± 0.086,0.54131 ± 0.086,0.51862 ± 0.084,0.54131 ± 0.086,0.51862 ± 0.084,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.53364 ± 0.114
Q1_Q3_0.25,0.47769 ± 0.006,0.47716 ± 0.007,0.50037 ± 0.047,0.52306 ± 0.058,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.50037 ± 0.047
Q1_Q4_0.25,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006
Q2_Q3_0.25,0.50037 ± 0.047,0.50037 ± 0.047,0.54131 ± 0.086,0.50037 ± 0.047,0.54131 ± 0.086,0.54131 ± 0.086,0.54131 ± 0.086,0.54131 ± 0.086,0.54131 ± 0.086,0.53729 ± 0.052,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.54078 ± 0.086
Q2_Q4_0.25,0.47769 ± 0.006,0.47769 ± 0.006,0.49985 ± 0.048,0.47769 ± 0.006,0.49985 ± 0.048,0.47716 ± 0.007,0.49985 ± 0.048,0.50037 ± 0.047,0.49985 ± 0.048,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.50037 ± 0.047
Q3_Q4_0.25,0.47668 ± 0.006,0.47769 ± 0.006,0.51622 ± 0.048,0.47769 ± 0.006,0.51622 ± 0.048,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.51622 ± 0.048
Q1_0.25,0.52254 ± 0.059,0.54078 ± 0.086,0.52254 ± 0.059,0.52254 ± 0.059,0.52254 ± 0.059,0.52254 ± 0.059,0.52254 ± 0.059,0.52306 ± 0.058,0.52254 ± 0.059,0.52306 ± 0.058,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.52254 ± 0.059
Q2_0.25,0.50037 ± 0.047,0.51810 ± 0.084,0.51862 ± 0.084,0.52306 ± 0.058,0.51862 ± 0.084,0.51862 ± 0.084,0.51862 ± 0.084,0.50037 ± 0.047,0.51862 ± 0.084,0.47716 ± 0.007,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.50037 ± 0.047
Q3_0.25,0.52306 ± 0.058,0.49985 ± 0.048,0.54078 ± 0.086,0.54131 ± 0.086,0.54078 ± 0.086,0.54078 ± 0.086,0.54078 ± 0.086,0.54131 ± 0.086,0.54078 ± 0.086,0.54078 ± 0.086,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.54078 ± 0.086
Q4_0.25,0.47769 ± 0.006,0.47769 ± 0.006,0.50037 ± 0.047,0.51862 ± 0.084,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.50037 ± 0.047,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.50037 ± 0.047
