,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.55663 ± 0.079,0.58567 ± 0.074,0.60042 ± 0.053,0.60042 ± 0.053,0.60042 ± 0.053,0.60042 ± 0.053,0.60042 ± 0.053,0.60042 ± 0.053,0.60042 ± 0.053,0.58567 ± 0.074,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.60042 ± 0.053
Q1_Q3_0.25,0.55663 ± 0.079,0.53839 ± 0.053,0.63232 ± 0.053,0.56679 ± 0.048,0.63232 ± 0.053,0.63232 ± 0.053,0.63232 ± 0.053,0.58504 ± 0.068,0.63232 ± 0.053,0.59932 ± 0.072,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.63232 ± 0.053
Q1_Q4_0.25,0.53786 ± 0.054,0.47716 ± 0.007,0.55663 ± 0.079,0.53839 ± 0.053,0.55663 ± 0.079,0.53839 ± 0.053,0.55663 ± 0.079,0.55663 ± 0.079,0.55663 ± 0.079,0.53839 ± 0.053,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.53839 ± 0.053
Q2_Q3_0.25,0.53839 ± 0.053,0.53207 ± 0.043,0.58963 ± 0.081,0.53839 ± 0.053,0.58963 ± 0.081,0.60042 ± 0.053,0.58963 ± 0.081,0.58504 ± 0.068,0.58963 ± 0.081,0.60757 ± 0.097,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.57138 ± 0.067
Q2_Q4_0.25,0.56298 ± 0.084,0.55948 ± 0.051,0.61757 ± 0.080,0.58963 ± 0.081,0.61757 ± 0.080,0.61866 ± 0.063,0.63232 ± 0.053,0.61757 ± 0.080,0.63232 ± 0.053,0.61866 ± 0.063,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.59978 ± 0.080
Q3_Q4_0.25,0.57138 ± 0.067,0.51622 ± 0.048,0.58963 ± 0.081,0.55314 ± 0.040,0.58963 ± 0.081,0.58963 ± 0.081,0.58963 ± 0.081,0.58963 ± 0.081,0.58963 ± 0.081,0.61866 ± 0.063,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.60328 ± 0.079
Q1_0.25,0.57488 ± 0.094,0.63597 ± 0.070,0.61866 ± 0.063,0.61866 ± 0.063,0.61866 ± 0.063,0.61866 ± 0.063,0.61866 ± 0.063,0.61866 ± 0.063,0.61866 ± 0.063,0.61866 ± 0.063,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.61866 ± 0.063
Q2_0.25,0.57488 ± 0.094,0.62232 ± 0.078,0.59932 ± 0.072,0.61757 ± 0.080,0.59932 ± 0.072,0.62122 ± 0.092,0.59932 ± 0.072,0.62122 ± 0.092,0.59932 ± 0.072,0.61757 ± 0.080,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.61757 ± 0.080
Q3_0.25,0.64056 ± 0.080,0.58567 ± 0.074,0.64056 ± 0.080,0.62232 ± 0.078,0.64056 ± 0.080,0.64056 ± 0.080,0.64056 ± 0.080,0.64056 ± 0.080,0.64056 ± 0.080,0.64056 ± 0.080,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.63642 ± 0.078
Q4_0.25,0.58029 ± 0.100,0.47769 ± 0.006,0.63259 ± 0.096,0.64449 ± 0.098,0.63259 ± 0.096,0.63259 ± 0.096,0.63259 ± 0.096,0.61757 ± 0.080,0.63259 ± 0.096,0.59166 ± 0.108,0.47769 ± 0.006,0.47769 ± 0.006,0.47769 ± 0.006,0.61757 ± 0.080
