,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.75931 ± 0.023,0.81520 ± 0.029,0.83635 ± 0.026,0.83665 ± 0.034,0.83162 ± 0.033,0.83069 ± 0.032,0.83619 ± 0.036,0.83702 ± 0.027,0.83635 ± 0.026,0.76581 ± 0.022,0.79980 ± 0.024,0.79342 ± 0.036,0.36726 ± 0.061,0.82859 ± 0.032
Q1_Q3_0.25,0.78340 ± 0.035,0.81585 ± 0.036,0.83271 ± 0.028,0.82648 ± 0.037,0.83408 ± 0.036,0.83506 ± 0.037,0.82971 ± 0.041,0.83004 ± 0.032,0.83271 ± 0.028,0.75725 ± 0.041,0.80305 ± 0.027,0.80319 ± 0.025,0.39842 ± 0.008,0.83058 ± 0.030
Q1_Q4_0.25,0.77252 ± 0.038,0.79428 ± 0.035,0.82354 ± 0.033,0.82956 ± 0.036,0.82591 ± 0.036,0.82807 ± 0.035,0.82701 ± 0.034,0.82262 ± 0.032,0.82354 ± 0.033,0.73839 ± 0.065,0.78301 ± 0.027,0.79024 ± 0.026,0.39842 ± 0.008,0.81511 ± 0.034
Q2_Q3_0.25,0.79887 ± 0.031,0.80237 ± 0.030,0.83503 ± 0.041,0.83139 ± 0.039,0.83195 ± 0.037,0.82932 ± 0.033,0.83245 ± 0.039,0.83210 ± 0.043,0.83412 ± 0.041,0.75809 ± 0.024,0.79061 ± 0.032,0.79485 ± 0.029,0.39842 ± 0.008,0.83271 ± 0.039
Q2_Q4_0.25,0.81252 ± 0.040,0.80125 ± 0.033,0.82531 ± 0.042,0.82938 ± 0.041,0.83152 ± 0.042,0.83109 ± 0.041,0.83350 ± 0.036,0.83141 ± 0.034,0.82658 ± 0.042,0.74368 ± 0.033,0.77485 ± 0.030,0.77781 ± 0.028,0.39842 ± 0.008,0.82516 ± 0.029
Q3_Q4_0.25,0.82011 ± 0.040,0.82133 ± 0.031,0.82872 ± 0.039,0.83459 ± 0.040,0.83441 ± 0.040,0.83086 ± 0.039,0.83901 ± 0.037,0.83103 ± 0.038,0.82967 ± 0.039,0.74709 ± 0.046,0.79012 ± 0.026,0.77720 ± 0.036,0.39842 ± 0.008,0.82595 ± 0.036
Q1_0.25,0.78943 ± 0.045,0.81585 ± 0.034,0.83361 ± 0.033,0.83689 ± 0.036,0.82955 ± 0.039,0.83421 ± 0.036,0.83747 ± 0.037,0.83431 ± 0.032,0.83361 ± 0.033,0.75588 ± 0.038,0.81104 ± 0.030,0.79252 ± 0.031,0.36726 ± 0.061,0.83968 ± 0.025
Q2_0.25,0.81079 ± 0.038,0.82575 ± 0.039,0.83756 ± 0.039,0.83484 ± 0.042,0.83555 ± 0.037,0.83782 ± 0.038,0.83861 ± 0.040,0.83472 ± 0.043,0.83732 ± 0.043,0.76049 ± 0.027,0.79725 ± 0.039,0.80349 ± 0.030,0.39842 ± 0.008,0.83077 ± 0.037
Q3_0.25,0.81660 ± 0.027,0.82101 ± 0.037,0.83536 ± 0.038,0.83733 ± 0.041,0.83611 ± 0.044,0.83638 ± 0.042,0.83632 ± 0.041,0.83566 ± 0.040,0.83732 ± 0.043,0.76149 ± 0.026,0.79648 ± 0.037,0.79357 ± 0.024,0.39842 ± 0.008,0.83652 ± 0.037
Q4_0.25,0.82446 ± 0.033,0.81705 ± 0.037,0.82751 ± 0.033,0.83459 ± 0.038,0.83704 ± 0.042,0.83604 ± 0.040,0.83602 ± 0.039,0.83084 ± 0.038,0.83162 ± 0.037,0.76850 ± 0.032,0.78621 ± 0.031,0.78719 ± 0.037,0.39842 ± 0.008,0.82717 ± 0.034
