,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.79591 ± 0.030,0.84381 ± 0.026,0.83760 ± 0.013,0.84615 ± 0.027,0.84747 ± 0.031,0.84808 ± 0.029,0.84214 ± 0.035,0.85016 ± 0.036,0.83760 ± 0.013,0.79470 ± 0.067,0.79834 ± 0.023,0.79781 ± 0.031,0.39842 ± 0.008,0.82968 ± 0.027
Q1_Q3_0.25,0.77798 ± 0.065,0.83698 ± 0.041,0.84226 ± 0.020,0.84807 ± 0.032,0.84589 ± 0.036,0.84448 ± 0.033,0.84522 ± 0.032,0.84136 ± 0.026,0.84226 ± 0.020,0.80035 ± 0.043,0.80838 ± 0.028,0.80728 ± 0.029,0.39842 ± 0.008,0.84078 ± 0.030
Q1_Q4_0.25,0.79414 ± 0.044,0.83465 ± 0.045,0.84095 ± 0.018,0.85044 ± 0.039,0.84427 ± 0.036,0.84857 ± 0.029,0.84513 ± 0.041,0.84401 ± 0.030,0.84095 ± 0.018,0.79055 ± 0.061,0.79479 ± 0.033,0.79127 ± 0.033,0.39842 ± 0.008,0.82852 ± 0.031
Q2_Q3_0.25,0.82880 ± 0.040,0.82516 ± 0.038,0.84362 ± 0.035,0.84794 ± 0.029,0.84931 ± 0.027,0.84711 ± 0.030,0.84259 ± 0.032,0.84798 ± 0.031,0.84524 ± 0.032,0.79769 ± 0.054,0.79727 ± 0.039,0.81482 ± 0.034,0.39842 ± 0.008,0.84710 ± 0.042
Q2_Q4_0.25,0.81816 ± 0.028,0.83347 ± 0.034,0.83466 ± 0.031,0.84630 ± 0.039,0.85023 ± 0.027,0.84755 ± 0.030,0.84370 ± 0.035,0.84097 ± 0.032,0.83656 ± 0.029,0.78242 ± 0.028,0.79049 ± 0.048,0.80104 ± 0.042,0.39842 ± 0.008,0.83502 ± 0.038
Q3_Q4_0.25,0.85422 ± 0.027,0.82470 ± 0.039,0.83625 ± 0.035,0.84085 ± 0.029,0.84772 ± 0.031,0.84564 ± 0.029,0.84187 ± 0.027,0.83826 ± 0.029,0.84119 ± 0.032,0.76599 ± 0.044,0.78858 ± 0.019,0.77752 ± 0.059,0.39842 ± 0.008,0.83751 ± 0.025
Q1_0.25,0.82297 ± 0.035,0.84153 ± 0.039,0.83796 ± 0.021,0.84464 ± 0.033,0.84578 ± 0.029,0.83996 ± 0.039,0.84818 ± 0.032,0.85095 ± 0.024,0.83796 ± 0.021,0.79775 ± 0.085,0.80389 ± 0.035,0.78956 ± 0.023,0.39842 ± 0.008,0.83746 ± 0.025
Q2_0.25,0.82906 ± 0.039,0.83423 ± 0.028,0.84639 ± 0.031,0.84446 ± 0.030,0.84509 ± 0.031,0.84604 ± 0.030,0.84427 ± 0.032,0.84819 ± 0.031,0.84640 ± 0.031,0.79785 ± 0.053,0.78324 ± 0.048,0.80557 ± 0.029,0.39842 ± 0.008,0.84303 ± 0.035
Q3_0.25,0.84208 ± 0.031,0.82963 ± 0.040,0.84448 ± 0.035,0.84214 ± 0.037,0.84606 ± 0.032,0.84525 ± 0.032,0.84708 ± 0.033,0.84515 ± 0.037,0.84843 ± 0.035,0.79475 ± 0.065,0.78261 ± 0.037,0.78102 ± 0.058,0.39842 ± 0.008,0.84172 ± 0.040
Q4_0.25,0.83306 ± 0.039,0.83243 ± 0.038,0.84380 ± 0.027,0.84787 ± 0.033,0.84995 ± 0.030,0.84867 ± 0.029,0.84858 ± 0.023,0.85066 ± 0.028,0.84500 ± 0.028,0.78603 ± 0.045,0.77779 ± 0.035,0.80126 ± 0.043,0.39842 ± 0.008,0.83675 ± 0.027
