,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.74934 ± 0.035,0.77705 ± 0.048,0.80432 ± 0.037,0.80954 ± 0.034,0.80813 ± 0.038,0.80455 ± 0.037,0.80799 ± 0.038,0.81151 ± 0.035,0.80432 ± 0.037,0.75535 ± 0.036,0.79093 ± 0.039,0.78901 ± 0.042,0.37122 ± 0.044,0.80289 ± 0.038
Q1_Q3_0.25,0.76658 ± 0.040,0.77362 ± 0.057,0.81413 ± 0.033,0.80810 ± 0.031,0.81195 ± 0.037,0.80796 ± 0.037,0.80814 ± 0.035,0.81028 ± 0.035,0.81413 ± 0.033,0.75467 ± 0.034,0.77910 ± 0.032,0.79159 ± 0.038,0.34972 ± 0.056,0.80902 ± 0.034
Q1_Q4_0.25,0.76931 ± 0.038,0.75871 ± 0.050,0.80123 ± 0.043,0.80408 ± 0.032,0.80932 ± 0.038,0.80717 ± 0.037,0.80399 ± 0.029,0.79336 ± 0.034,0.80123 ± 0.043,0.75272 ± 0.069,0.77589 ± 0.036,0.77434 ± 0.040,0.36652 ± 0.080,0.78154 ± 0.045
Q2_Q3_0.25,0.78699 ± 0.045,0.77679 ± 0.048,0.80954 ± 0.035,0.81067 ± 0.034,0.80847 ± 0.032,0.80826 ± 0.032,0.81038 ± 0.036,0.80669 ± 0.036,0.80938 ± 0.033,0.76019 ± 0.033,0.78086 ± 0.052,0.78302 ± 0.045,0.31205 ± 0.057,0.80314 ± 0.038
Q2_Q4_0.25,0.79117 ± 0.046,0.77501 ± 0.044,0.80087 ± 0.029,0.80208 ± 0.034,0.80734 ± 0.033,0.80525 ± 0.032,0.80841 ± 0.036,0.80090 ± 0.033,0.79958 ± 0.030,0.73735 ± 0.040,0.77789 ± 0.036,0.76956 ± 0.036,0.31834 ± 0.063,0.79390 ± 0.030
Q3_Q4_0.25,0.79703 ± 0.035,0.77825 ± 0.046,0.79367 ± 0.035,0.80924 ± 0.031,0.80494 ± 0.038,0.80715 ± 0.037,0.81108 ± 0.033,0.79930 ± 0.035,0.79422 ± 0.035,0.73688 ± 0.043,0.78238 ± 0.050,0.77471 ± 0.043,0.30021 ± 0.066,0.78983 ± 0.030
Q1_0.25,0.77560 ± 0.046,0.78896 ± 0.049,0.81029 ± 0.038,0.81157 ± 0.038,0.80803 ± 0.034,0.81269 ± 0.034,0.80955 ± 0.037,0.81353 ± 0.037,0.81029 ± 0.038,0.76256 ± 0.050,0.78966 ± 0.024,0.78929 ± 0.047,0.33289 ± 0.074,0.81014 ± 0.035
Q2_0.25,0.78798 ± 0.042,0.78883 ± 0.040,0.80851 ± 0.034,0.80575 ± 0.032,0.80722 ± 0.036,0.80722 ± 0.036,0.80722 ± 0.036,0.80767 ± 0.034,0.80814 ± 0.035,0.76016 ± 0.032,0.77976 ± 0.043,0.78683 ± 0.035,0.31814 ± 0.082,0.80618 ± 0.034
Q3_0.25,0.78725 ± 0.049,0.78683 ± 0.041,0.80548 ± 0.035,0.80884 ± 0.032,0.81059 ± 0.035,0.80937 ± 0.034,0.80972 ± 0.038,0.80547 ± 0.032,0.80943 ± 0.033,0.75691 ± 0.032,0.78110 ± 0.049,0.77748 ± 0.041,0.28940 ± 0.075,0.80121 ± 0.041
Q4_0.25,0.79835 ± 0.039,0.77993 ± 0.047,0.79798 ± 0.043,0.80095 ± 0.037,0.80976 ± 0.036,0.81072 ± 0.037,0.80644 ± 0.038,0.80059 ± 0.038,0.79920 ± 0.044,0.76858 ± 0.039,0.78194 ± 0.037,0.77528 ± 0.039,0.27614 ± 0.058,0.80069 ± 0.042
Q1_Q2_0.5,0.71332 ± 0.050,0.75182 ± 0.059,0.78132 ± 0.019,0.81195 ± 0.033,0.81069 ± 0.035,0.81128 ± 0.036,0.80505 ± 0.034,0.81517 ± 0.029,0.80308 ± 0.026,0.74958 ± 0.045,0.78953 ± 0.038,0.79216 ± 0.032,0.39901 ± 0.008,0.78906 ± 0.022
