,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.74635 ± 0.004,0.73821 ± 0.004,0.73557 ± 0.004,34601853186.96243 ± 68815679216.765,0.73668 ± 0.004,0.74289 ± 0.005,0.73202 ± 0.004,0.75678 ± 0.007,0.78000 ± 0.017,0.78443 ± 0.006,16513.02237 ± 933.793,0.75550 ± 0.006
0.2,0.76181 ± 0.007,0.75866 ± 0.005,0.74405 ± 0.006,208532361854567840.00000 ± 417064723703604672.000,0.75659 ± 0.007,0.76375 ± 0.007,0.74963 ± 0.004,0.76870 ± 0.005,0.79148 ± 0.007,0.79722 ± 0.014,15545.77129 ± 1219.246,0.78414 ± 0.005
0.3,0.78590 ± 0.006,0.78573 ± 0.006,0.76325 ± 0.011,87166267285420952245271265280.00000 ± 174332534570752676922925252608.000,0.77110 ± 0.004,0.78381 ± 0.009,0.75763 ± 0.004,0.78610 ± 0.003,0.81327 ± 0.011,0.80666 ± 0.006,16181.55606 ± 707.424,0.80865 ± 0.010
0.4,0.80220 ± 0.006,0.80948 ± 0.003,0.78349 ± 0.007,195257415681539521699119104.00000 ± 390514831363078974678761472.000,0.78542 ± 0.005,0.80168 ± 0.005,0.77349 ± 0.006,0.80089 ± 0.005,0.82691 ± 0.012,0.82370 ± 0.005,16325.55778 ± 261.888,0.82592 ± 0.006
0.5,0.80295 ± 0.002,0.82900 ± 0.006,0.77784 ± 0.003,0.80295 ± 0.002,0.79107 ± 0.007,0.80873 ± 0.004,0.77891 ± 0.004,0.80449 ± 0.004,0.83099 ± 0.012,0.82640 ± 0.013,15104.62566 ± 690.572,0.83265 ± 0.005
0.6,0.82117 ± 0.005,0.84209 ± 0.004,0.81064 ± 0.006,0.82117 ± 0.005,0.81605 ± 0.009,0.82721 ± 0.006,0.80645 ± 0.004,0.83127 ± 0.004,0.82837 ± 0.004,0.84129 ± 0.007,15766.76547 ± 385.507,0.85349 ± 0.008
0.7,0.84950 ± 0.005,0.85914 ± 0.005,0.84219 ± 0.007,0.84950 ± 0.005,0.85319 ± 0.007,0.85658 ± 0.005,0.84440 ± 0.007,0.85828 ± 0.003,0.85867 ± 0.005,0.85666 ± 0.007,14148.39485 ± 435.368,0.86699 ± 0.005
0.8,0.85719 ± 0.004,0.87223 ± 0.004,0.85777 ± 0.004,0.85719 ± 0.004,0.86362 ± 0.005,0.86636 ± 0.004,0.86536 ± 0.003,0.87225 ± 0.004,0.87770 ± 0.007,0.87547 ± 0.015,10496.09765 ± 319.871,0.87915 ± 0.005
0.9,0.89165 ± 0.008,0.87658 ± 0.004,0.88146 ± 0.006,0.89165 ± 0.008,0.88232 ± 0.002,0.87832 ± 0.004,0.88247 ± 0.006,0.88234 ± 0.007,0.88731 ± 0.005,0.89083 ± 0.010,5099.19523 ± 607.224,0.88648 ± 0.004
