,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,9.01425,8.99125,9.00742,9.03791,8.99896,9.00645,9.00506,8.98090,9.00628,10.99079,10.53109,12.57070,15.10029,8.99158
0.2,9.56632,9.08335,11.13656,10.30228,11.33139,11.23885,11.14553,10.83661,11.16331,11.89583,12.74813,12.35987,15.26522,10.93003
0.3,8.95241,8.99100,9.00538,9.01016,8.99368,8.99248,8.98892,9.01679,8.99417,10.88221,12.74349,12.05621,15.08286,8.96476
0.4,10.18419,9.76113,20.09588,16.06575,20.17977,20.03825,18.97347,17.40271,19.55403,13.55666,13.68697,13.31614,15.29629,17.07810
0.5,8.98575,8.97190,8.99989,9.05113,9.02134,9.03509,9.03436,8.96510,9.01689,10.88015,12.02703,11.26274,15.10312,9.02962
0.6,8.97991,8.96404,8.97374,9.05242,8.95599,8.95931,9.00986,9.29323,9.05799,10.88105,13.62685,13.08073,15.08249,9.29261
0.7,10.08629,10.48433,27.29399,21.88384,26.38596,26.86702,25.23852,21.03659,25.56018,15.18693,13.41332,13.98234,15.42904,17.89000
0.8,8.94921,9.01419,8.95646,8.92318,8.95131,8.94276,8.97397,9.63645,8.99220,10.88829,13.08957,12.85355,15.04884,9.60819
