,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,9.28477 ± 0.934,10.10950 ± 1.166,9.07896 ± 0.834,9.14895 ± 0.931,9.09343 ± 0.824,9.09364 ± 0.837,9.10992 ± 0.843,9.09119 ± 0.845,9.11197 ± 0.831,11.32119 ± 1.313,11.93972 ± 1.306,11.80992 ± 2.826,15.05392 ± 1.606,9.06825 ± 0.842
0.2,9.40547 ± 1.032,10.53174 ± 0.760,9.02200 ± 0.730,9.23267 ± 0.961,9.02911 ± 0.763,9.05587 ± 0.788,9.04041 ± 0.809,9.12905 ± 0.828,9.03858 ± 0.787,11.69385 ± 1.046,12.05182 ± 1.620,12.60941 ± 2.033,15.12230 ± 1.628,9.03938 ± 0.753
0.3,9.69126 ± 0.920,11.78756 ± 0.779,9.13999 ± 0.575,9.35702 ± 0.823,9.10543 ± 0.585,9.20329 ± 0.547,9.11321 ± 0.628,9.47837 ± 0.613,9.21634 ± 0.620,12.37860 ± 1.512,12.27519 ± 2.433,11.82596 ± 1.693,16.08191 ± 1.667,9.10777 ± 0.699
0.4,10.09111 ± 1.242,11.79409 ± 0.924,9.11744 ± 0.774,9.58632 ± 1.169,9.16453 ± 0.770,9.52688 ± 0.783,9.35110 ± 0.858,9.43233 ± 0.857,9.50112 ± 0.717,12.24555 ± 1.574,11.97473 ± 2.119,12.83274 ± 2.343,15.03030 ± 1.594,9.10514 ± 0.880
0.5,10.51736 ± 1.277,12.27343 ± 1.100,9.35368 ± 0.798,10.50071 ± 1.105,9.72173 ± 1.519,11.07255 ± 1.533,9.92734 ± 0.889,9.91897 ± 0.689,9.65833 ± 1.039,12.73764 ± 1.234,11.57884 ± 0.580,10.71974 ± 0.769,15.12651 ± 1.599,9.30470 ± 0.886
0.6,11.33170 ± 1.311,13.61113 ± 1.038,9.26587 ± 0.887,10.46008 ± 1.273,9.74999 ± 1.002,10.06057 ± 1.209,9.97058 ± 1.280,9.64138 ± 0.801,9.90695 ± 1.016,13.28876 ± 1.032,11.91357 ± 1.949,11.64995 ± 2.430,15.04712 ± 1.569,9.52707 ± 0.911
0.7,13.30991 ± 1.101,13.26600 ± 0.961,9.71306 ± 0.788,11.72359 ± 1.635,10.35478 ± 1.621,12.46279 ± 1.516,11.26677 ± 1.388,9.97819 ± 0.920,11.33757 ± 1.850,14.48559 ± 0.518,12.58459 ± 1.003,12.53196 ± 1.601,15.06699 ± 1.508,10.54892 ± 1.341
0.8,12.98111 ± 1.422,13.21308 ± 1.787,9.84658 ± 1.172,11.23749 ± 1.410,11.41396 ± 0.828,14.37045 ± 1.557,11.77124 ± 0.827,10.10997 ± 0.902,12.26876 ± 1.593,13.56269 ± 1.248,12.75142 ± 1.693,13.31668 ± 1.422,15.08000 ± 1.485,10.88446 ± 1.108
0.9,13.83115 ± 0.949,14.41806 ± 0.876,9.92240 ± 1.096,11.55680 ± 1.447,11.79965 ± 2.283,12.98700 ± 1.446,12.45336 ± 1.231,10.16492 ± 1.112,12.64223 ± 1.350,14.62093 ± 0.853,16.42835 ± 3.486,13.09328 ± 2.327,15.10250 ± 1.449,11.37914 ± 0.829
