,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,0.890738811,0,0,0.866179658,0.878663938,0.899532684,0.872293482,0.902863792,0.891766774,0.868809901,0.915741654,0.894361106,0.898100079,0.886344973
Cali,0.747605051,0,0,0.742871682,0.577573289,0.665503348,0.779069647,0.661819107,0.359779066,0.735481848,0.748783296,0.539906838,0.513825306,0.589235726
Climate,0.670457826,0,0,0.673549587,0.673286719,0.665734725,0.675374977,0.663603918,0.671544995,0.673604863,0.671314766,0.666868071,0.667248554,0.631368052
Concre,0.557928449,0,0,0.541421455,0.569103783,0.473003436,0.517533269,0.533403899,0.55085703,0.501307531,0.530857999,0.51323571,0.497323937,0.50797058
Qsar,0.281771119,0,0,0.40029507,0.280242159,0.267710391,0.402703137,0.356805895,0.275083516,0.40530754,0.360570376,0.290038419,0.299079593,0.255194779
Red,0.832514801,0,0,0.836124654,0.828578736,0.852344633,0.868500774,0.850109925,0.833353368,0.857622536,0.839855155,0.865728047,0.857602032,0.833373979
Sonar,0.724406014,0,0,0.7296288,0.737496096,0.66876066,0.743739219,0.729419913,0.723438777,0.736259104,0.545512318,0.745277912,0.748086882,0.67582272
White,0.741799102,0,0,0.742005181,0.74472962,0.78304034,0.788816002,0.768995944,0.704502396,0.743383784,0.747759716,0.745881373,0.749815734,0.745859006
Yacht,0.584694249,0,0,0.640880039,0.600670731,0.260629246,0.610593997,0.61200325,0.589867617,0.611604509,0.589734888,0.613485269,0.600003024,0.516995582
Yeast,0.622642813,0,0,0.636119859,0.630083142,0.6293888,0.63988319,0.626847087,0.620392426,0.682049154,0.792816309,0.627772173,0.627065249,0.59934907
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8.91,0,0,8.66,8.79,9,8.72,9.03,8.92,8.69,9.16,8.94,8.98,8.86,
7.48,0,0,7.43,5.78,6.66,7.79,6.62,3.6,7.35,7.49,5.4,5.14,5.89,
6.7,0,0,6.74,6.73,6.66,6.75,6.64,6.72,6.74,6.71,6.67,6.67,6.31,
5.58,0,0,5.41,5.69,4.73,5.18,5.33,5.51,5.01,5.31,5.13,4.97,5.08,
2.82,0,0,4,2.8,2.68,4.03,3.57,2.75,4.05,3.61,2.9,2.99,2.55,
8.33,0,0,8.36,8.29,8.52,8.69,8.5,8.33,8.58,8.4,8.66,8.58,8.33,
7.24,0,0,7.3,7.37,6.69,7.44,7.29,7.23,7.36,5.46,7.45,7.48,6.76,
7.42,0,0,7.42,7.45,7.83,7.89,7.69,7.05,7.43,7.48,7.46,7.5,7.46,
5.85,0,0,6.41,6.01,2.61,6.11,6.12,5.9,6.12,5.9,6.13,6,5.17,
6.23,0,0,6.36,6.3,6.29,6.4,6.27,6.2,6.82,7.93,6.28,6.27,5.99,
