,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
Cali,9.4995671051512e-05,0.5194315004731005,0.3194315004731004,0.3194315004731004,0.25750591278309265,0.3769512828731313,0.5194315004731005,0.3631545317346657,0.4759147385783139,0.5194315004731005,0.3194315004731004,0.2,0.2,0.2
Climate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Concre,0.06425105011731522,0.1646084500428148,0.33377161188303417,0.26131171659728625,0.27054467416480127,0.34041883942649004,0.3622413938379524,0.3892050652654564,0.32476992330012583,0.14171168442182028,0.29532427128661887,0.0,0.0,0.0
Qsar,0.0,0.0907173554725452,0.39692236977797835,0.46100877475694324,0.4120819812130946,0.44091143517303155,0.5377471690355262,0.3853230716845757,0.14721723611440618,0.42995997084294146,0.3439474974728,0.0,0.0,0.0
Red,0.03962293681989361,0.2521197317036735,0.3900521774768378,0.36002125562777326,0.3619282563247931,0.2788899180143274,0.41850456843745676,0.2842432671602508,0.38247531053773054,0.3900521774768378,0.4183841587815563,0.0,0.0,0.0
Sonar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.6,1.0
White,0.0013023866456272303,0.39975727315615617,0.3167660996791022,0.4711095372918588,0.587875636970961,0.34365043894998315,0.4,0.5167660996791021,0.5167401678410378,0.34362450711191883,0.34365043894998315,0.2,0.2,0.2
Yacht,0.13810919406399572,0.1942627575318607,0.14546041251501124,0.23735478113275602,0.11750849316304454,0.2079391313087585,0.13461542582695882,0.1721504260266037,0.1211428742179201,0.13067020003114918,0.12261622582145235,0.0,0.0,0.0
Yeast,0.022875181488277174,0.4686256365973387,0.5050262699644303,0.29325043280447893,0.4802389220436198,0.5680542260676097,0.317529264036782,0.5019594567616099,0.5084602449611071,0.10757111690264239,0.46065086982626385,0.0,0.0,0.0
