,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cali,0.0038494066478079467,1.0,1.0,1.0,0.6,0.6388104921083557,0.8,0.7194052460541778,0.8,0.7194052460541778,1.0,0.2,0.2,0.2
Climate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Concre,0.03663538010175592,0.13297284771308385,0.6296584233610016,0.28911764584972,0.6202304836240302,0.461481373576612,0.464172835184804,0.3936098278083497,0.5755314913671656,0.6430054550160533,0.406954612482735,0.0,0.0,0.0
Qsar,0.0,0.02833309188477335,0.8800479882874477,0.8326702985802943,0.8686178086752919,0.8515406958134196,0.7767919095848967,0.867296600048433,0.5180007910881086,0.8923968807514793,0.5858531035802121,0.008216777061517671,0.011481784785946908,0.0
Red,0.03417783438015122,0.3890535662890567,0.9604984512775487,0.9261517111689163,0.8800021468123191,0.7830160701846836,0.8964698622097848,0.21277713212909816,0.8436845728871504,0.93733441974323,0.8839697511189705,0.0,0.0,0.0
Sonar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
White,0.004208763831546903,0.3635241859604664,1.0,0.8332509206798908,0.9166254603399455,0.42906308170130136,0.8,0.8,0.9166254603399455,0.8,1.0,0.2,0.2,0.2
Yacht,0.2587773016003939,0.07728368571859447,0.4769319730703187,0.31889998365039596,0.35410879989104355,0.5318844518538338,0.5515568685658186,0.565067057939018,0.48832206123436367,0.41340441580437987,0.17006170744499763,0.11130115412470751,0.12731823738799394,0.0
Yeast,0.7248923924700952,0.8834720200614207,1.0,0.96919454274658,0.96919454274658,0.96919454274658,0.96919454274658,0.96919454274658,0.9579465057982451,0.96919454274658,0.9294244309262911,0.0,0.0,0.0
