,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,0.6628995519208337,0.0,0.0,0.7712758966959914,0.6205430906774122,0.7768882529807402,0.8283302882011215,0.7837547452342768,0.6654503105962479,0.7985491972194472,0.7343948296892078,0.7936405864442158,0.7919320767291838,0.692569093106693
Cali,0.6671756534859128,0.0,0.0,0.6756000977857177,0.4920015414992064,0.7211470249057192,0.7980838843979793,0.681821225873338,0.396352368546107,0.7640947130945123,0.7004129275556674,0.6169867604423636,0.6492158552750553,0.6998191796414679
Climate,0.66913459808938,0.0,0.0,0.6622141871469204,0.6648580707773395,0.6474633857842378,0.6706294547888816,0.5646959249198279,0.6726919907394137,0.6668495536138056,0.6707577500456962,0.6672590001489713,0.6618852108918526,0.6459405096776782
Concre,0.5945093966936147,0.0,0.0,0.6653628564534336,0.5303129673527419,0.6739404906059911,0.7004942213318216,0.6469802572615088,0.569215529274728,0.6986638221248194,0.5682864822091606,0.6866494334554495,0.6833481243302255,0.5726474106970297
Qsar,0.4851658335953952,0.0,0.0,0.6077514312306842,0.4968569284746115,0.5838082081227848,0.6596713776498977,0.5026380143310858,0.36072990901097196,0.6479215241089522,0.34750101777857223,0.5574030472526234,0.5651891200454539,0.44521057190135094
Red,0.6660115182284116,0.0,0.0,0.6840833928108785,0.6747021242705566,0.7630005642051777,0.7730860100030278,0.6243635558531039,0.6178183047924083,0.7657007040087178,0.738293843329806,0.7723946935842937,0.7643560400178646,0.6667172116880019
Sonar,0.6776547777272964,0.0,0.0,0.774910563953119,0.7308855192981005,0.6670033356070825,0.8216636271094673,0.5972909654037902,0.6525483751055576,0.7912696829065651,0.5658288774927945,0.8056564343921357,0.8039558270398164,0.6605478697627121
White,0.6683598650775072,0.0,0.0,0.6782552213207732,0.6662849959250666,0.7561016812154919,0.7746247797395155,0.8193323586576753,0.588199035225289,0.7633628029771679,0.7364784027995477,0.7367849651422239,0.7420042093433027,0.7033581314758968
Yacht,0.6758819132458239,0.0,0.0,0.7406878677741395,0.7122763661797945,0.7303297501725023,0.7579288341811482,0.6848051263210186,0.6896728702490157,0.7423720393968437,0.41816960974583656,0.7420244648153547,0.7406246868911458,0.600652729196424
Yeast,0.711497479971691,0.0,0.0,0.7475346229100887,0.548891799630845,0.6344310035098604,0.7820384560266472,0.5798249433767954,0.5230320973112541,0.7851592266556014,0.5155711806057898,0.5743013294302198,0.5567513860518647,0.5264859875577689
