,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
0.1,0.77080 ± 0.013,0.75469 ± 0.011,0.76235 ± 0.011,0.75818 ± 0.011,0.75623 ± 0.011,0.80719 ± 0.052,0.75822 ± 0.011,0.75888 ± 0.011,0.75696 ± 0.011,0.77827 ± 0.019,0.82867 ± 0.028,0.83787 ± 0.024,0.88559 ± 0.014,0.76230 ± 0.011
0.2,0.77402 ± 0.014,0.75653 ± 0.011,0.76309 ± 0.012,0.75790 ± 0.012,0.75628 ± 0.012,0.75770 ± 0.012,0.75761 ± 0.011,0.75978 ± 0.012,0.75616 ± 0.011,0.78017 ± 0.017,0.87721 ± 0.041,0.89041 ± 0.044,0.88560 ± 0.014,0.76377 ± 0.012
0.3,0.79601 ± 0.017,0.75719 ± 0.011,0.78838 ± 0.015,0.76676 ± 0.012,0.76264 ± 0.011,0.81233 ± 0.052,0.77074 ± 0.012,0.77481 ± 0.014,0.76469 ± 0.011,0.78639 ± 0.012,0.82276 ± 0.008,0.84726 ± 0.022,0.88562 ± 0.014,0.77658 ± 0.015
0.4,0.78951 ± 0.014,0.75726 ± 0.011,0.78824 ± 0.015,0.76862 ± 0.014,0.76558 ± 0.012,0.77689 ± 0.016,0.76831 ± 0.012,0.77652 ± 0.014,0.76581 ± 0.012,0.79433 ± 0.021,0.82822 ± 0.010,0.83623 ± 0.032,0.88560 ± 0.014,0.77260 ± 0.014
0.5,0.79382 ± 0.017,0.76241 ± 0.013,0.77358 ± 0.014,0.77076 ± 0.015,0.76948 ± 0.015,0.76948 ± 0.015,0.76754 ± 0.013,0.76725 ± 0.013,0.76587 ± 0.015,0.80076 ± 0.021,0.84250 ± 0.032,0.83581 ± 0.035,0.88560 ± 0.014,0.77655 ± 0.016
0.6,0.81755 ± 0.016,0.76993 ± 0.012,0.79972 ± 0.015,0.78049 ± 0.013,0.78375 ± 0.014,0.77477 ± 0.015,0.78666 ± 0.016,0.80321 ± 0.015,0.77057 ± 0.012,0.80976 ± 0.040,1.18464 ± 0.139,1.11047 ± 0.056,0.88564 ± 0.014,0.79042 ± 0.015
0.7,0.75915 ± 0.011,0.75747 ± 0.012,0.76640 ± 0.013,0.76205 ± 0.013,0.76133 ± 0.013,0.76177 ± 0.013,0.76679 ± 0.013,0.77312 ± 0.011,0.76512 ± 0.012,0.79451 ± 0.025,0.91242 ± 0.047,0.91692 ± 0.034,0.88563 ± 0.014,0.75949 ± 0.012
0.8,0.82429 ± 0.015,0.80502 ± 0.011,0.84328 ± 0.019,0.81947 ± 0.020,0.85086 ± 0.031,0.80513 ± 0.017,0.81678 ± 0.012,0.85897 ± 0.017,0.81776 ± 0.015,0.87275 ± 0.035,1.20797 ± 0.152,1.13158 ± 0.170,0.88565 ± 0.014,0.81820 ± 0.021
